Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Round,Pick,RAS,arm_length_inches
2025,Travis Hunter,CB,Colorado,72.375,188.0,,,,,,,,,,31.375
2025,Jahdae Barron,CB,Texas,70.75,194.0,4.39,35.0,,123.0,,,1.0,20.0,8.8,29.5
2025,Will Johnson,CB,Michigan,73.75,194.0,,,,,,,2.0,47.0,,30.125
2025,Maxwell Hairston,CB,Kentucky,71.25,183.0,4.28,39.5,,129.0,,,1.0,30.0,9.62,31.0
2025,Trey Amos,CB,Ole Miss,72.75,195.0,4.43,32.5,13.0,126.0,,,2.0,61.0,8.85,31.25
2025,Azareye'h Thomas,CB,Flordia State,73.5,197.0,,,,122.0,,,,,,32.375
2025,Benjamin Morrison,CB,Notre Dame,72.25,193.0,,,,,,,2.0,53.0,,30.375
2025,Darien Porter,CB,Iowa State,74.875,195.0,4.3,36.5,,131.0,6.71,4.04,3.0,68.0,9.99,31.125
2025,Shavon Revel Jr,CB,East Carolina,73.875,194.0,,,,,,,3.0,76.0,,32.5
2025,Cobee Bryant,CB,Kansas,72.0,180.0,4.53,,,,,,,,,31.25
2025,Quincy Riley,CB,Louisville,70.625,194.0,4.48,,,,,,4.0,131.0,,31.0
2025,Zy Alexander,CB,LSU,73.375,187.0,4.56,31.5,,116.0,,,,,3.4,31.0
2025,Dorian Strong,CB,Virginia Tech,73.0,185.0,4.5,36.0,15.0,116.0,,,6.0,177.0,6.98,30.75
2025,Jacob Parrish,CB,Kansas State,69.75,191.0,4.35,37.5,12.0,129.0,,,3.0,84.0,8.74,30.75
2025,Denzel Burke,CB,Ohio State,71.25,186.0,4.48,,,,,,5.0,174.0,,31.375
2025,Zah Frazier,CB,UTSA,74.875,186.0,4.36,36.5,,126.0,7.0,4.26,,,9.43,32.75
2025,Nohl Williams,CB,California,72.375,199.0,4.5,,19.0,120.0,,,3.0,85.0,7.02,30.625
2025,Upton Stout,CB,Western Kentucky,73.0,181.0,4.44,37.5,21.0,128.0,,4.29,3.0,100.0,7.51,30.0
2025,Mello Dotson,CB,Kansas,72.625,192.0,4.59,34.5,,123.0,,,,,5.72,31.5
2025,Bilhal Kone,CB,Western Michigan,73.25,190.0,4.43,,,124.0,,,6.0,178.0,7.69,30.75
2025,Jaylin Smith,CB,USC,68.5,187.0,4.45,32.5,15.0,122.0,,,3.0,97.0,4.73,29.75
2025,Caleb Ransaw,CB,Tulane,71.375,197.0,4.33,,16.0,129.0,,,,,9.95,30.625
2025,BJ Adams,CB,UCF,73.75,182.0,4.43,,,117.0,,,,,4.77,31.325
2025,Jermari Harris,CB,Iowa,72.5,191.0,,,,120.0,,,,,,31.375
2025,Tommi Hill,CB,Nebraska,72.5,213.0,,,,,,,,,,32.75
2025,Alijah Huzzie,CB,North Carolina,69.75,193.0,,,,,,,,,,29.5
2025,Justin Walley,CB,Minnesota,70.125,190.0,4.4,,,,,,3.0,80.0,,30.625
2025,Jordan Hancock,CB,Ohio State,72.125,195.0,,,,,,,,,,30.625
2025,O'Donnell Fortune,CB,South Carolina,72.75,185.0,,,,117.0,,,,,,31.5
2025,Mac McWilliams,CB,UCF,70.25,191.0,4.41,,,,,,,,8.04,29.75
2025,Robert Longerbeam,CB,Rutgers,71.0,175.0,4.39,,,134.0,,,6.0,212.0,8.78,31.5
2025,Jason Marshall Jr.,CB,Florida,72.375,194.0,4.49,,,125.0,,,5.0,150.0,9.03,30.25
2025,Isas Waxter,CB,Villanova,73.25,209.0,4.56,,,124.0,,,,,8.01,31.625
2025,Jabbar Muhammad,CB,Oregon,69.125,182.0,,,13.0,,7.01,4.19,,,2.33,28.5
2025,Marcus Harris,CB,California,70.75,189.0,4.45,,,,,,6.0,183.0,,29.625
