Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season,speed_score,explosive_score,agility_score
1,16,Byron Murphy II,DT,Texas,2024,72.0,306.0,4.87,33,,112,,,7.5,14.5,6.0,4.5,8.0,6.0,,,
2,35,Ruke Orhorhoro,DT,Clemson,2024,76.0,294.0,4.89,32,,116,,,12.0,25.5,6.0,5.0,8.0,3.0,,,
2,36,Johnny Newton,DT,Illinois,2024,74.0,304.0,4.95,,,117,,,17.5,26.0,22.0,7.5,8.5,9.0,,,
2,38,T'Vondre Sweat,DT,Texas,2024,76.0,366.0,5.27,26,,98,,,4.0,17.0,10.0,2.0,7.5,5.0,,,
2,39,Braden Fiske,DT,Florida State,2024,75.0,292.0,4.78,33.5,,124.0,,,,6.0,9.0,5.0,6.0,9.0,5.0,,
3,73,Kris Jenkins,DT,Michigan,2024,75.0,299.0,4.91,30,,115,,,4.0,8.0,6.0,2.0,4.0,3.0,,,
3,80,McKinnley Jackson,DT,Texas A&M,2024,73.0,326.0,5.26,23,,106,,,7.0,15.0,12.0,2.5,5.0,3.0,,,
4,109,Maason Smith,DT,LSU,2024,78.0,315.0,5.01,31,,108,,,6.5,9.5,4.0,2.5,4.5,3.0,,,
4,111,Justin Eboigbe,DT,Alabama,2024,77.0,297.0,5.18,28,,,,,9.0,16.0,12.0,7.0,11.5,4.0,,,
5,139,Logan Lee,DT,Iowa,2024,77.0,281.0,5.05,31.5,,114,,,9.0,18.0,3.0,3.0,5.5,1.0,,,
5,158,Taylor Upshaw,DT,Michigan,2024,76.0,260.0,4.82,30,,111,,,5.5,10.0,6.0,0.0,0.0,0.0,,,
6,189,Jaden Crumedy,DT,Mississippi State,2024,76.0,301.0,4.92,29.5,,105,,,8.5,15.5,13.0,2.5,3.5,2.0,,,
7,249,Jowon Briggs,DT,Cincinnati,2024,73.0,310.0,5.04,26,,104,,,8.0,13.5,8.0,2.0,6.0,2.0,,,
