Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season,speed_score,explosive_score,agility_score
1,15,Laiatu Latu,DE,UCLA,2024,77.0,259.0,4.64,32.0,25.0,116.0,,,24.0,35.5,55.1,13.0,21.5,30.0,,,
1,17,Dallas Turner,DE,Alabama,2024,74.0,247.0,4.47,40.5,,127.0,,,23.5,33.5,53.7,10.0,14.5,22.9,,,
1,19,Jared Verse,DE,Florida State,2024,76.0,254.0,4.58,35.0,31.0,127.0,7.31,4.44,31.5,51.0,73.2,9.0,12.5,20.5,,,
1,21,Chop Robinson,DE,Penn State,2024,75.0,254.0,4.48,34.5,,128.0,,4.25,11.5,20.0,27.0,4.0,7.5,9.5,,,
2,56,Marshawn Kneeland,DE,Western Michigan,2024,75.0,267.0,4.75,35.5,21.0,119.0,7.02,4.18,10.5,25.5,26.1,4.5,7.5,10.5,,,
2,57,Chris Braswell,DE,Alabama,2024,75.0,251.0,4.6,33.5,,115.0,,,10.5,15.5,24.1,8.0,10.5,18.1,,,
3,74,Bralen Trice,DE,Washington,2024,75.5,245.0,4.72,,,,,,18.0,28.5,41.7,7.0,11.5,16.3,,,
3,76,Jonah Elliss,DE,Utah,2024,74.0,248.0,,,,,,,16.0,23.0,36.6,12.0,16.0,27.2,,,
3,94,Jalyx Hunt,DE,Houston Christian,2024,76.0,252.0,4.64,37.5,19.0,128.0,,,13.5,20.5,31.1,6.5,9.0,14.8,,,
5,138,Xavier Thomas,DE,Clemson,2024,74.0,244.0,4.62,32.5,26.0,120.0,,,17.5,34.0,41.8,3.0,4.0,6.8,,,
5,144,Austin Booker,DE,Kansas,2024,76.5,240.0,4.79,32.5,,120.0,,,8.0,12.0,18.4,8.0,12.0,18.4,,,
5,154,Brennan Jackson,DE,Washington State,2024,76.0,264.0,4.69,33.5,19.0,114.0,,,20.0,33.5,46.7,8.5,12.5,19.5,,,
5,158,Mohamed Kamara,DE,Colorado State,2024,73.0,248.0,4.57,34.5,23.0,123.0,,,30.5,45.5,70.1,13.0,17.0,29.4,,,
5,168,Javon Solomon,DE,Troy,2024,73.0,246.0,4.72,37.0,23.0,119.0,,,33.0,42.5,74.5,16.0,18.0,35.6,,,
6,214,Cedric Johnson,DE,Mississippi,2024,75.0,260.0,4.63,38.0,25.0,122.0,,,19.0,22.0,42.4,5.5,6.5,12.3,,,
7,222,Javontae Jean-Baptiste,DE,Notre Dame,2024,77.0,239.0,4.66,34.5,21.0,127.0,,,13.0,21.5,30.3,5.0,10.5,12.1,,,
7,234,Jonah Laulu,DE,Oklahoma,2024,77.0,289.0,,,,,,,10.5,27.5,26.5,1.0,3.0,2.6,,,
7,238,Solomon Byrd,DE,USC,2024,75.0,255.0,,,,,,,10.0,18.5,23.7,6.0,11.0,14.2,,,
