Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent
1,1,Rueben Bain Jr.,DE,Miami,2026,75.0,276.0,4.72,,,,,,,31.0,30.3,23.5,557.0,6.9
1,4,Arvell Reese,DE,Ohio State,2026,76.0,238.0,4.52,,,,,,,,27.1,13.0,119.0,6.4
1,9,T.J. Parker,DE,Clemson,2026,75.5,263.0,4.68,34.0,,120.0,,,,33.125,27.6,15.5,324.0,7.6
1,10,Keldric Faulk,DE,Auburn,2026,77.875,276.0,4.74,35.0,,117.0,,,,34.375,19.2,11.6,316.0,8.6
1,12,David Bailey,DE,Texas Tech,2026,75.625,251.0,4.5,35.0,,129.0,,,,33.75,38.6,21.6,380.0,9.0
1,17,Cashius Howell,DE,Texas A&M,2026,74.5,253.0,4.59,32.5,,115.0,,,,30.25,28.8,19.9,300.0,3.1
1,26,Romello Height,DE,Texas Tech,2026,75.0,239.0,4.64,39.0,,125.0,,,,32.25,28.0,21.8,350.0,7.1
1,30,R Mason Thomas,DE,Oklahoma,2026,74.25,241.0,4.67,,,,,,,31.625,35.1,20.3,191.0,6.2
2,37,Joshua Josephs,DE,Tennessee,2026,75.0,242.0,4.68,,,,,,,34.25,34.8,21.3,183.0,8.2
2,49,Matayo Uiagalelei,DE,Oregon,2026,77.0,270.0,4.85,,,,,,,,25.2,15.4,383.0,3.7
2,52,Gabe Jacas,DE,Illinois,2026,76.0,260.0,,,30.0,,,,,33.0,24.1,14.9,292.0,7.0
3,67,Anthony Lucas,DE,USC,2026,77.5,256.0,4.85,,,,,,,33.5,27.3,12.5,276.0,5.5
3,74,Derrick Moore,DE,Michigan,2026,76.0,255.0,4.65,,,,,,,33.375,36.0,19.8,234.0,5.5
3,76,Zion Young,DE,Missouri,2026,78.0,262.0,4.76,,,,,,,33.0,25.6,17.4,326.0,9.3
3,88,Mikail Kamara,DE,Indiana,2026,73.0,262.0,4.8,,,,,,,,22.2,16.7,340.0,5.9
3,100,Jaishawn Barham,DE,Michigan,2026,75.5,240.0,4.64,33.0,,123.0,,,,34.125,20.0,13.1,162.0,12.8
4,106,Tyreak Sapp,DE,Florida,2026,74.0,273.0,4.76,,28.0,,,,,32.0,11.7,8.4,189.0,7.5
4,117,Boubacar Traore,DE,Notre Dame,2026,76.0,244.0,4.68,,,,,,,,16.3,12.6,294.0,7.8
4,119,Akheem Mesidor,DE,Miami,2026,75.0,259.0,4.9,,,,,,,32.125,36.6,20.8,445.0,4.9
4,121,Dani Dennis-Sutton,DE,Penn State,2026,78.0,256.0,4.63,39.5,,131.0,6.9,,,33.5,22.2,15.8,320.0,5.8
4,139,Anto Saka,DE,Northwestern,2026,76.0,257.0,,,,,,,,,28.9,20.1,196.0,1.5
5,146,Kenyatta Jackson Jr.,DE,Ohio State,2026,78.0,261.0,,,,,,,,,22.6,12.9,287.0,5.5
5,151,Trey Moore,DE,Texas,2026,74.0,243.0,4.54,38.5,,120.0,,4.43,,31.625,11.6,11.6,120.0,5.4
5,155,Clev Lubin,DE,Louisville,2026,75.0,250.0,,,,,,,,,36.4,24.0,301.0,7.5
5,167,Malachi Lawrence,DE,UCF,2026,76.0,253.0,4.52,40.0,,130.0,,,,33.625,34.7,19.2,228.0,4.2
5,174,Will Heldt,DE,Clemson,2026,78.0,265.0,,,,,,,,,21.6,15.5,342.0,7.4
6,185,George Gumbs Jr.,DE,Florida,2026,76.0,245.0,4.66,41.0,,121.0,7.0,,,33.625,14.3,8.6,136.0,8.3
6,195,Suntarine Perkins,DE,Ole Miss,2026,73.0,210.0,,,,,,,,,16.4,7.7,213.0,9.1
6,209,Max Llewellyn,DE,Iowa,2026,78.0,258.0,4.81,32.5,,115.0,,,,32.25,24.5,17.2,306.0,4.1
6,221,TJ Guy,DE,Michigan,2026,76.0,250.0,,,,,,,,,18.6,13.0,152.0,3.9
7,233,Vincent Anthony Jr.,DE,Duke,2026,78.0,258.0,4.84,32.5,,123.0,,,,34.125,12.1,11.3,323.0,3.4
7,255,Patrick Payton,DE,LSU,2026,77.0,260.0,,,,,,,,33.5,9.2,9.0,340.0,6.5
7,269,Eric O'Neill,DE,Rutgers,2026,75.0,261.0,4.78,,,,,,,,17.9,12.9,262.0,9.7
7,286,John Henry Daley,DE,Utah,2026,76.0,247.0,,,,,,,,,33.6,23.0,279.0,8.8
7,302,Ben Bell,DE,Virginia Tech,2026,74.0,245.0,,,,,,,,,28.0,18.1,233.0,4.7
