Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,RAS,arm_length_inches,is_center,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
Olaivavega Ioane,OG,Penn State,2026,6-4,330,5.35,,,,,,,,0,0.0,0.0,97.0,303.0,78.6,0.65,0.29,0.0
Emmanuel Pregnon,OG,Wyoming,2026,6-5,318,5.2,,,,,,,,0,,,,,,,,
Gennings Dunker,OG,Iowa,2026,6-5,320,5.3,,,,,,,,0,0.0875,0.0125,80.0,413.0,80.0,0.257,0.632,0.004056795131845842
Brian Parker II,OG,Duke,2026,6-5,300,5.2,,,,,,,,0,0.0653061224489796,0.00816326530612245,245.0,364.0,83.9,0.255,0.695,0.003284072249589491
Chase Bisontis,OG,Texas A&M,2026,6-5,315,5.1,,,,,,,,0,0.028169014084507043,0.0,213.0,354.0,62.7,0.49200000000000005,0.475,0.007054673721340388
Jaeden Roberts,OG,Alabama,2026,6-5,327,5.0,,,,,,,,0,0.02197802197802198,0.01098901098901099,91.0,115.0,62.6,0.478,0.426,0.0048543689320388345
Keylan Rutledge,OG,Middle Tennessee,2026,6-3,316,5.2,,,,,,,,0,,,,,,,,
Billy Schrauth,OG,Notre Dame,2026,6-4,305,5.25,,,,,,,,0,0.023255813953488372,0.0,86.0,223.0,73.1,0.435,0.511,0.0
Ar'maj Reed-Adams,OG,Kansas,2026,6-5,325,5.3,,,,,,,,0,0.06111111111111111,0.005555555555555556,180.0,300.0,72.7,0.48,0.47700000000000004,0.0125
Beau Stephens,OG,Iowa,2026,6-5,315,5.3,,,,,,,,0,0.02564102564102564,0.0,78.0,378.0,83.0,0.262,0.624,0.0
Jalen Farmer,OG,Florida,2026,6-5,318,5.25,,,,,,,,0,,,,,,,,
Febechi Nwaiwu,OG,North Texas,2026,6-4,326,5.35,,,,,,,,0,,,,,,,,
Jake Slaughter,C,Florida,2026,6-4,305,5.2,,,,,,,,1,0.028368794326241134,0.0070921985815602835,141.0,326.0,80.2,0.316,0.635,0.008565310492505354
Connor Lew,C,Auburn,2026,6-3,300,5.0,,,,,,,,1,0.02631578947368421,0.013157894736842105,76.0,176.0,64.9,0.494,0.409,0.007936507936507936
Sam Hecht,C,Kansas State,2026,6-4,300,5.25,,,,,,,,1,0.05737704918032787,0.0,122.0,367.0,77.7,0.523,0.406,0.0
Parker Brailsford,C,Washington,2026,6-2,290,4.95,,,,,,,,1,0.03278688524590164,0.0,244.0,330.0,60.0,0.47,0.44799999999999995,0.005226480836236934
Logan Jones,C,Iowa,2026,6-3,302,4.9,,,,,,,,1,0.022988505747126436,0.011494252873563218,87.0,430.0,73.0,0.258,0.628,0.0
Connor Tollison,C,Missouri,2026,6-4,285,4.98,,,,,,,,1,0.055944055944055944,0.006993006993006993,143.0,451.0,59.7,0.348,0.579,0.006734006734006734
Matt Gulbin,C,Wake Forest,2026,6-4,312,5.3,,,,,,,,1,0.024242424242424242,0.012121212121212121,165.0,301.0,81.9,0.256,0.635,0.004291845493562232
Pat Coogan,C,Notre Dame,2026,6-5,310,5.2,,,,,,,,1,0.028735632183908046,0.0,174.0,544.0,75.3,0.434,0.491,0.0
Bryce Foster,C,Texas A&M,2026,6-5,310,4.95,,,,,,,,1,0.03418803418803419,0.0,117.0,347.0,66.9,0.461,0.43799999999999994,0.0
Jordan White,C,West Virginia,2026,6-2,300,5.1,,,,,,,,1,0.07333333333333333,0.006666666666666667,150.0,294.0,78.7,0.687,0.201,0.01126126126126126
Raheem Anderson II,C,Michigan,2026,6-2,321,5.1,,,,,,,,1,0.0,0.0,60.0,499.0,69.6,0.5329999999999999,0.389,0.0
Zach Rice,C,North Carolina,2026,6-5,320,5.0,,,,,,,,1,0.0,0.0,2.0,10.0,69.7,0.2,0.6,0.0
