Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,PD_cumulative,SOLO_cumulative,TOT_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season,PD_final_season,SOLO_final_season,TOT_final_season,speed_score,explosive_score,agility_score
1,15,Jalon Walker,LB,Georgia,2025,73.0,243.0,,,,,,,12.5,18.0,8.0,2.0,57.0,90.0,6.5,10.5,7.0,2.0,38.0,61.0,,,
1,31,Jihaad Campbell,LB,Alabama,2025,74.7,235.0,4.52,,,127,,,5.5,16.0,6.0,5.0,89.0,186.0,5.0,12.0,3.0,2.0,55.0,119.0,,,
2,33,Carson Schwesinger,LB,UCLA,2025,74.4,242.0,,39.5,20,127,7.05,4.25,5.0,11.0,4.0,3.0,109.0,163.0,4.0,8.5,3.0,3.0,90.0,136.0,,,
2,49,Demetrius Knight Jr,LB,South Carolina,2025,73.5,235.0,4.58,31.5,22,118,7.12,4.25,4.5,16.5,0.0,7.0,127.0,219.0,2.0,8.0,0.0,1.0,57.0,82.0,,,
3,75,Nick Martin,LB,Oklahoma State,2025,71.5,221.0,4.53,38.0,,123,,,,,,,,,,,,,,,,,
4,107,Jack Kiser,LB,Notre Dame,2025,73.5,231.0,4.62,34.5,,117,6.67,4.29,5.5,14.5,10.0,6.0,158.0,260.0,2.0,5.0,3.0,1.0,55.0,90.0,,,
4,112,Danny Stutsman,LB,Oklahoma,2025,75.2,233.0,4.52,34.0,,119,,,7.0,33.5,8.0,7.0,176.0,354.0,1.0,8.0,3.0,0.0,44.0,110.0,,,
4,115,Cody Simon,LB,Ohio State,2025,74.1,229.0,4.59,33.5,,120,7.19,4.3,10.0,22.5,4.0,11.0,115.0,259.0,7.0,12.5,0.0,7.0,51.0,112.0,,,
4,119,Barrett Carter,LB,Clemson,2025,72.1,231.0,4.64,34.5,,116,,4.41,12.0,29.5,17.0,18.0,113.0,210.0,3.5,9.5,7.0,6.0,37.0,74.0,,,
4,129,Teddye Buchanan,LB,California,2025,73.7,233.0,4.60,40.0,26,125,,,5.0,12.0,6.0,4.0,42.0,108.0,5.0,12.0,6.0,4.0,42.0,108.0,,,
5,152,Shemar James,LB,Florida,2025,73.0,222.0,4.69,32.0,,117,7.09,4.27,5.0,11.5,5.0,3.0,72.0,159.0,2.0,4.0,2.0,3.0,34.0,64.0,,,
5,156,Jeffrey Bassa,LB,Oregon,2025,73.1,232.0,4.63,38.5,21,118,7.34,,4.5,14.0,17.0,4.0,113.0,218.0,1.5,3.0,2.0,2.0,21.0,51.0,,,
5,159,Collin Oliver,LB,Oklahoma State,2025,73.7,240.0,4.56,39.0,,126,,,23.5,40.5,33.0,7.0,86.0,133.0,1.0,2.0,7.0,1.0,2.0,4.0,,,
5,161,Smael Mondon Jr,LB,Georgia,2025,74.2,224.0,4.58,,,130,,,7.0,17.0,6.0,6.0,110.0,194.0,3.0,3.5,0.0,3.0,29.0,57.0,,,
5,162,Francisco Mauigoa,LB,Miami,2025,73.4,233.0,4.60,35.0,,121,7.15,4.24,9.5,27.5,11.0,8.0,96.0,174.0,2.0,11.0,5.0,5.0,51.0,96.0,,,
5,172,Chris Paul Jr,LB,Ole Miss,2025,72.7,222.0,4.63,36.0,,117,,,11.0,26.5,14.0,5.0,109.0,212.0,3.5,12.0,9.0,4.0,49.0,87.0,,,
6,194,Jalen McLeod,LB,Auburn,2025,73.4,241.0,4.65,31.5,,,,,22.5,36.5,19.0,5.0,95.0,144.0,8.0,13.5,2.0,1.0,40.0,56.0,,,
6,201,Kobe King,LB,Penn State,2025,72.5,236.0,4.63,,,118,,,4.5,17.5,4.0,4.0,106.0,188.0,3.0,7.5,1.0,1.0,47.0,87.0,,,
6,205,Kain Medrano,LB,UCLA,2025,74.4,222.0,4.46,38.0,,125,,,3.5,21.0,10.0,9.0,121.0,190.0,1.5,11.0,4.0,4.0,50.0,72.0,,,
7,222,Cody Lindenberg,LB,Minnesota,2025,74.1,236.0,4.71,36.5,,118,,,2.0,12.5,4.0,8.0,107.0,197.0,1.0,5.0,3.0,6.0,45.0,94.0,,,
7,226,Carson Bruener,LB,Washington,2025,72.7,227.0,4.58,33.5,,119,,,1.0,9.0,7.0,9.0,175.0,295.0,0.0,2.0,3.0,5.0,60.0,104.0,,,
