Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate
,,Arvell Reese,LB,Ohio State,2026,76.0,243.0,4.52,,,,,,,,27.1,13.0,119.0,6.4,4.7,1.9,281.0,0.0,0.9,3.6,251.0,67.8,0.0,1.0,8.5,0.0,0.00398406374501992
,,Sonny Styles,LB,Ohio State,2026,76.0,243.0,4.48,,,,,,,,12.9,14.3,64.0,11.3,3.4,3.1,282.0,0.0,0.6,8.8,317.0,83.2,1.0,3.0,8.9,0.0031545741324921135,0.00946372239747634
,,CJ Allen,LB,Georgia,2026,73.0,235.0,4.55,,,,,,,,7.9,9.9,88.0,10.7,4.7,3.3,236.0,2.0,1.3,6.8,255.0,74.3,0.0,3.0,5.5,0.0,0.011764705882352941
,,Anthony Hill Jr,LB,Texas,2026,75.0,238.0,4.5,,,,,,,,16.1,10.8,86.0,8.6,4.4,2.4,227.0,0.0,0.9,3.4,250.0,74.4,2.0,1.0,8.2,0.008,0.004
,,Deontae Lawson,LB,Alabama,2026,74.0,228.0,4.6,,,,,,,,10.0,7.0,105.0,8.5,11.3,2.9,298.0,1.0,0.7,6.3,299.0,74.0,0.0,2.0,8.8,0.0,0.006688963210702341
,,Josiah Trotter,LB,Missouri,2026,74.0,237.0,4.61,,,,,,,,40.9,26.5,53.0,11.1,10.3,2.7,218.0,0.0,1.0,0.0,245.0,82.2,0.0,0.0,7.2,0.0,0.0
,,Jake Golday,LB,Cincinnati,2026,76.0,240.0,4.55,,,,,,,,4.3,5.6,80.0,7.8,7.7,3.4,315.0,1.0,0.8,8.6,286.0,78.1,0.0,3.0,7.7,0.0,0.01048951048951049
,,Taurean York,LB,Texas A&M,2026,70.0,227.0,4.58,,,,,,,,4.8,8.7,48.0,9.5,14.3,3.7,277.0,0.0,0.6,8.8,368.0,88.5,0.0,1.0,9.9,0.0,0.002717391304347826
,,Jacob Rodriguez,LB,Texas Tech,2026,73.0,233.0,4.7,,,,,,,,8.3,2.9,40.0,15.3,10.3,2.8,285.0,4.0,1.2,4.5,447.0,91.8,4.0,3.0,6.4,0.008948545861297539,0.006711409395973154
,,Harold Perkins Jr,LB,LSU,2026,73.0,222.0,4.45,,,,,,,,9.7,6.6,79.0,5.7,15.0,2.8,288.0,0.0,0.9,2.8,339.0,81.1,3.0,0.0,8.9,0.008849557522123894,0.0
,,Jaishawn Barham,LB,Michigan,2026,75.0,243.0,4.55,,,,,,,,20.0,13.1,162.0,12.8,16.7,1.6,150.0,0.0,0.5,20.0,63.0,28.0,0.0,2.0,6.2,0.0,0.031746031746031744
,,Kyle Louis,LB,Pittsburgh,2026,72.0,224.0,4.65,,,,,,,,29.4,16.7,86.0,5.6,8.2,6.7,292.0,0.0,1.5,5.0,290.0,77.1,2.0,3.0,4.6,0.006896551724137931,0.010344827586206896
,,Bryce Boettcher,LB,Oregon,2026,73.0,227.0,4.7,,,,,,,,20.0,13.3,64.0,9.6,9.3,3.4,371.0,2.0,0.6,6.7,344.0,84.3,1.0,3.0,7.3,0.0029069767441860465,0.00872093023255814
,,Lander Barton,LB,Utah,2026,77.0,236.0,4.55,,,,,,,,13.8,11.1,104.0,4.3,13.3,4.0,306.0,0.0,0.3,7.7,227.0,68.6,1.0,1.0,16.3,0.004405286343612335,0.004405286343612335
,,Red Murdock,LB,Buffalo,2026,75.0,240.0,4.77,,,,,,,,21.1,19.6,47.0,9.8,6.9,3.8,410.0,3.0,0.6,8.0,380.0,89.0,0.0,2.0,14.4,0.0,0.005263157894736842
,,Trey Moore,LB,Texas,2026,75.0,249.0,4.6,,,,,,,,11.6,11.6,120.0,5.4,4.8,1.9,185.0,0.0,1.1,4.8,181.0,60.1,0.0,0.0,8.3,0.0,0.0
,,Raylen Wilson,LB,Georgia,2026,73.0,235.0,4.52,,,,,,,,10.0,6.0,89.0,7.0,9.5,4.4,233.0,0.0,0.5,4.0,228.0,71.9,0.0,1.0,8.8,0.0,0.0043859649122807015
,,Kalil Alexander,LB,Texas State,2026,75.0,225.0,4.62,,,,,,,,28.8,19.1,278.0,6.4,30.4,1.8,270.0,0.0,0.8,14.3,64.0,18.7,0.0,1.0,8.9,0.0,0.015625
