Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,RAS,arm_length_inches
,,Jeremiyah Love,RB,Notre Dame,2026,72.0,212.0,4.36,,,,,,,32.0
,,Jonah Coleman,RB,Washington,2026,68.0,220.0,4.5,,22.0,,,,,28.875
,,Jadarian Price,RB,Notre Dame,2026,71.0,203.0,4.49,35.0,21.0,124.0,,,,30.875
,,Emmett Johnson,RB,Nebraska,2026,70.0,202.0,4.56,,16.0,120.0,7.32,4.29,,30.25
,,Nicholas Singleton,RB,Penn State,2026,72.0,219.0,4.39,,,,,,,31.0
,,Mike Washington Jr.,RB,Arkansas,2026,73.0,223.0,4.33,39.0,,128.0,,,,33.625
,,Kaytron Allen,RB,Penn State,2026,71.0,216.0,4.55,,,,,,,29.5
,,Demond Claiborne,RB,Wake,2026,70.0,188.0,4.37,,,122.0,,,,30.125
,,J'Mari Taylor,RB,Virginia,2026,70.0,199.0,4.39,34.5,20.0,115.0,,,,30.0
,,Seth McGowan,RB,Kentucky,2026,72.0,223.0,4.49,42.5,,131.0,,4.5,,31.375
,,Jaydn Ott,RB,Oklahoma,2026,71.0,208.0,4.46,,,,,,,
,,Le'Veon Moss,RB,Texas A&M,2026,71.0,203.0,4.42,,,,,,,31.0
