Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Round,Pick,RAS,arm_length_inches
2025,Nick Emmanwori,S,South Carolina,75.125,220.0,4.38,43.0,20.0,138.0,,,2.0,35.0,10.0,32.5
2025,Malaki Starks,S,Georgia,72.875,197.0,4.5,33.0,,,7.26,4.45,1.0,27.0,5.13,31.5
2025,Xavier Watts,S,Notre Dame,71.75,204.0,,,,,,,3.0,96.0,,31.125
2025,Andrew Mukuba,S,Texas,71.25,186.0,4.45,,,,,,2.0,64.0,,30.0
2025,Kevin Winston Jr.,S,Penn State,73.5,215.0,,,,,,,3.0,82.0,,32.5
2025,Lathan Ransom,S,Ohio State,72.25,206.0,,,,,,,4.0,122.0,,30.5
2025,Billy Bowman Jr.,S,Oklahoma,69.875,192.0,4.42,35.5,17.0,123.0,,,4.0,118.0,7.52,28.5
2025,Sebastian Castro,S,Iowa,71.25,203.0,4.59,30.5,,117.0,,4.34,,,4.48,30.625
2025,Jonas Sanker,S,Virginia,72.375,206.0,4.48,36.5,12.0,128.0,,,3.0,93.0,8.2,32.25
2025,Malachi Moore,S,Alabama,71.25,196.0,,,,,,,4.0,130.0,,29.5
2025,Jaylen Reed,S,Penn State,71.625,211.0,4.49,33.5,19.0,,,,6.0,187.0,8.39,30.375
2025,Hunter Wohler,S,Wisconsin,74.0,213.0,4.57,37.0,,120.0,6.72,4.25,7.0,232.0,9.55,30.5
2025,Craig Woodson,S,California,72.125,200.0,4.45,36.0,13.0,127.0,,,4.0,106.0,8.82,30.5
2025,Kitan Crawford,S,Nevada,70.625,202.0,4.41,41.5,18.0,128.0,,,7.0,225.0,9.9,31.0
2025,Dante Trader Jr.,S,Maryland,70.875,196.0,,31.0,12.0,117.0,7.09,4.32,5.0,155.0,2.13,31.25
2025,Rayuan Lane III,S,Navy,70.875,200.0,4.57,37.0,,124.0,7.1,4.28,6.0,200.0,6.72,30.25
2025,Marques Sigle,S,Kansas State,71.375,199.0,4.37,38.0,,130.0,,,5.0,160.0,9.54,30.625
2025,Maxen Hook,S,Toledo,72.5,202.0,4.55,34.5,,124.0,,,,,8.22,31.5
2025,R.J. Mickens,S,Clemson,72.0,199.0,4.49,41.5,,121.0,,,6.0,214.0,8.51,32.25
2025,Malik Verdon,S,Iowa State,75.625,218.0,,,,,,,,,,32.5
2025,Alijah Clark,S,Syracuse,72.75,188.0,4.5,33.0,,122.0,6.81,4.03,,,6.99,30.75
