Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
,,Caleb Downs,S,Alabama,2026,6-0,205,4.45,,,,,,,,10.0,4.3,24.0,7.2,15.6,4.6,293.0,0.0,0.5,7.7,365.0,93.8,2.0,1.0,8.9,0.005479452054794521,0.0027397260273972603,54.5,66.7,5.6
,,Dillon Thieneman,S,Purdue,2026,6-0,205,4.44,,,,,,,,0.0,20.0,5.0,4.9,11.1,6.8,371.0,0.0,0.4,17.2,436.0,98.9,2.0,4.0,14.2,0.0045871559633027525,0.009174311926605505,80.4,62.1,11.0
,,Emmanuel McNeil-Warren,S,Toledo,2026,6-2,202,4.52,,,,,,,,0.0,0.0,6.0,3.6,16.1,5.0,312.0,0.0,0.4,33.3,336.0,98.2,2.0,5.0,20.9,0.005952380952380952,0.01488095238095238,50.3,40.0,9.6
,,Michael Taaffe,S,Texas,2026,6-0,193,4.55,,,,,,,,66.7,50.0,6.0,4.0,14.3,7.8,255.0,0.0,0.3,0.0,339.0,98.3,2.0,0.0,18.1,0.0058997050147492625,0.0,59.7,66.7,5.2
,,A.J. Haulcy,S,New Mexico,2026,6-0,222,4.55,,,,,,,,33.3,16.7,6.0,4.3,14.3,6.7,289.0,0.0,0.7,13.5,406.0,98.5,3.0,4.0,10.4,0.007389162561576354,0.009852216748768473,59.0,62.2,7.9
,,Kamari Ramsey,S,UCLA,2026,6-0,199,4.52,,,,,,,,0.0,0.0,19.0,1.0,0.0,18.2,209.0,0.0,0.7,9.7,255.0,93.1,0.0,3.0,7.7,0.0,0.011764705882352941,96.2,61.3,6.8
,,Zakee Wheatley,S,Penn State,2026,6-3,201,4.4,,,,,,,,0.0,5.9,17.0,4.5,10.4,6.5,316.0,0.0,0.1,10.0,325.0,95.0,1.0,1.0,30.9,0.003076923076923077,0.003076923076923077,69.2,70.0,7.4
,,Genesis Smith,S,Arizona,2026,6-2,202,4.5,,,,,,,,16.7,6.7,16.0,3.8,20.0,6.5,373.0,2.0,0.5,26.1,382.0,96.0,1.0,6.0,15.7,0.002617801047120419,0.015706806282722512,91.4,69.6,7.6
,,Bishop Fitzgerald,S,North Carolina State,2026,5-11,205,4.42,,,,,,,,0.0,11.1,9.0,2.5,6.1,10.4,241.0,0.0,0.6,12.5,290.0,97.0,5.0,3.0,11.3,0.017241379310344827,0.010344827586206896,88.4,70.8,5.9
,,Jalon Kilgore,S,South Carolina,2026,6-1,211,4.48,,,,,,,,33.3,33.3,10.0,2.0,13.3,5.0,304.0,1.0,1.1,16.9,380.0,97.4,2.0,9.0,5.5,0.005263157894736842,0.02368421052631579,68.1,52.3,9.5
,,Jakobe Thomas,S,Middle Tennessee,2026,6-2,200,4.55,,,,,,,,16.7,18.2,44.0,3.5,22.9,6.0,319.0,0.0,0.9,12.0,411.0,90.3,5.0,6.0,7.9,0.012165450121654502,0.014598540145985401,55.8,62.0,8.6
,,Jalen Stroman,S,Virginia Tech,2026,6-0,198,4.5,,,,,,,,0.0,0.0,3.0,3.9,5.9,5.2,128.0,0.0,0.7,7.7,204.0,98.6,1.0,1.0,14.4,0.004901960784313725,0.004901960784313725,94.7,69.2,4.4
,,Xavier Nwankpa,S,Iowa,2026,6-2,213,4.39,,,,,,,,40.0,30.0,11.0,4.4,12.5,5.8,325.0,2.0,0.5,3.7,405.0,97.4,1.0,0.0,14.3,0.0024691358024691358,0.0,79.4,59.3,11.6
,,Bud Clark,S,TCU,2026,6-1,185,4.48,,,,,,,,0.0,0.0,4.0,2.5,10.3,6.3,321.0,0.0,0.7,17.1,400.0,99.0,4.0,6.0,9.0,0.01,0.015,75.9,65.9,10.3
,,Isaiah Nwokobia,S,SMU,2026,6-1,205,4.48,,,,,,,,0.0,0.0,11.0,4.4,6.4,7.0,279.0,0.0,0.9,12.2,435.0,97.5,2.0,5.0,10.1,0.004597701149425287,0.011494252873563218,95.8,70.7,9.6
,,Robert Spears-Jennings,S,Oklahoma,2026,6-0,213,4.44,,,,,,,,0.0,0.0,14.0,3.2,11.1,6.4,227.0,0.0,1.0,3.3,348.0,96.1,1.0,1.0,11.0,0.0028735632183908046,0.0028735632183908046,118.9,73.3,10.5
,,Peyton Bowen,S,Oklahoma,2026,6-0,201,4.45,,,,,,,,,0.0,5.0,2.6,8.7,4.2,278.0,0.0,1.0,18.8,396.0,98.8,2.0,6.0,11.6,0.005050505050505051,0.015151515151515152,124.5,75.0,8.7
,,Isaac Smith,S,Mississippi State,2026,6-0,220,4.6,,,,,,,,16.7,17.6,21.0,6.1,2.9,5.3,182.0,1.0,0.3,26.7,217.0,91.2,1.0,4.0,13.5,0.004608294930875576,0.018433179723502304,26.8,40.0,11.8
,,Ahmaad Moses,S,SMU,2026,5-10,205,4.6,,,,,,,,0.0,8.7,24.0,3.8,12.7,6.8,352.0,0.0,0.6,4.1,556.0,95.9,5.0,2.0,10.6,0.008992805755395683,0.0035971223021582736,84.2,71.4,8.4
