rank,Player,School,Pos,Year,actual_round,actual_pick,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
1,Ashton Jeanty,Boise State,RB,2025,1,6,1.0,68.5,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,0.54,,,,,,,,152.0,,,,,1970.0,5.25,216.5,0.4053333333333333,52.6,0.168,0.1294117647058823,0.0100502512562814
2,Nick Emmanwori,South Carolina,S,2025,2,35,1.0,75.125,220.0,32.5,4.38,43.0,138.0,20.0,,,10.0,119.55183169250033,5.06336844507895,,1.0,0.5,10.5,417.0,96.8,10.3,0.0095923261390887,0.0071942446043165,37.1,63.2,3.9,8.5,7.1,342.0,0.0,4.0,3.0,40.0,23.1,14.0,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,
3,Armand Membou,Missouri,OT,2025,1,7,1.0,76.25,332.0,33.5,4.91,34.0,115.0,31.0,,,9.89,114.24629132976334,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0232558139534883,0.0,129.0,416.0,87.6,0.3339999999999999,0.603,0.0073394495412844,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Abdul Carter,Penn State,ED,2025,1,3,1.1211,75.0,252.0,,4.5,,127.0,,,,,122.90809327846365,1.4149354728151013,,1.0,,,,,,,,,,7.6,,,,,,,35.1,22.6,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tre Harris,Mississippi,WR,2025,2,55,1.2251,74.375,205.0,31.88,4.54,38.5,125.0,,,,9.23,96.50736218172179,0.9905210800687139,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.12,17.2,78.9,12.0,149.5,61.5,7.7,7.7,11.0,13.6,86.0,0.5,93.9,,,,,,,,
6,Will Howard,Ohio State,QB,2025,6,185,1.4871,76.25,236.0,32.0,,31.5,112.0,,7.13,4.33,8.8,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.1,9.5,119.9,13.0,3.5,0.35,54.8,16.0,,,,8.5,,,,,,,,,,,,,,,,,
7,Darien Porter,Iowa State,CB,2025,3,68,1.5904,74.875,195.0,31.125,4.3,36.5,131.0,,6.71,4.04,9.99,114.07508070811961,1.4183485611407654,,1.0,0.4,23.5,203.0,98.1,11.5,0.0147783251231527,0.0098522167487684,4.7,29.4,1.4,30.8,17.9,218.0,0.0,3.0,2.0,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,
8,Derrick Harmon,Oregon,DT,2025,1,21,1.6289,76.0,313.0,34.38,4.95,,,,,,,104.26859882543128,0.0,,1.0,,,,,,,,,,7.1,,,,,,,26.9,17.6,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,James Pearce Jr.,Tennessee,ED,2025,1,26,1.6707,77.0,245.0,32.75,4.47,31.0,123.0,,,,9.4,122.73431059647969,0.08895797955690987,,1.0,,,,,,,,,,10.1,,,,,,,29.8,23.0,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ashton Gillotte,Louisville,ED,2025,3,66,1.8771,74.0,264.0,31.88,4.63,36.5,120.0,,,,9.75,114.89733578105705,1.2788578048683763,,1.0,,,,,,,,,,6.9,,,,,,,31.6,20.9,363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
