rank,Player,School,Pos,Year,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
1,Rueben Bain Jr.,Miami,ED,2026,1.0,75.0,276.0,31.0,4.72,,,,,,,111.21697620463732,0.0,,1.0,,,,,,,,,,6.9,,,,,,,30.3,23.5,557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,David Bailey,Texas Tech,ED,2026,1.0,75.625,251.0,33.75,4.5,35.0,129.0,,,,,122.42036274958086,2.2330870374285277,,1.0,,,,,,,,,,9.0,,,,,,,38.6,21.6,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fernando Mendoza,Indiana,QB,2026,1.0,76.75,236.0,31.78,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,2.6,9.3,129.4,18.9,5.7,0.39,58.3,16.0,,,,9.8,,,,,,,,,,,,,,,,,
4,Sonny Styles,Ohio State,LB,2026,1.6317,77.0,244.0,32.875,4.46,43.5,134.0,,7.09,4.26,,123.33330999166198,5.219539956803906,,1.0,0.6,8.8,317.0,83.2,8.9,0.0031545741324921,0.0094637223974763,,,11.3,3.4,3.1,282.0,0.0,1.0,3.0,12.9,14.3,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jalon Kilgore,South Carolina,S,2026,2.0,73.0,210.0,,4.4,,,,,4.32,,112.05689502083187,0.0,,1.0,1.1,16.9,380.0,97.4,5.5,0.0052631578947368,0.0236842105263157,68.1,52.3,2.0,13.3,5.0,304.0,1.0,2.0,9.0,33.3,33.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,
6,Spencer Fano,Utah,OT,2026,2.0334,77.0,311.0,,4.91,32.0,111.0,,7.34,4.67,,107.01986928782048,,2.0384212580581984,1.0,,,,,,,,,,,,,,,,,,,,0.0198019801980198,0.0,101.0,440.0,80.0,0.7,0.245,0.0073937153419593,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dani Dennis-Sutton,Penn State,ED,2026,2.251,78.0,256.0,33.5,4.63,39.5,131.0,,6.9,,,111.41559833314624,3.902848339623472,,1.0,,,,,,,,,,5.8,,,,,,,22.2,15.8,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Kenyon Sadiq,Oregon,TE,2026,2.322,75.0,241.0,31.5,4.39,43.5,133.0,,,,,129.77437837626428,3.386391048170691,,1.0,,,,,,,,,,,,,,,,,,,,,,,332.0,66.3,,,,,,,,,,,,,,,14.0,1.62,11.0,76.1,8.3,139.9,58.3,10.5,4.9,8.0,58.5,10.7,27.7,84.0,,,,,,,,
9,Jeremiyah Love,Notre Dame,RB,2026,2.3918,72.0,212.0,32.0,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,1.83,,,,,,,,56.0,,,,,896.0,4.5,127.5,0.2814070351758794,52.9,0.1959798994974874,0.2222222222222222,0.0044247787610619
10,Romello Height,Texas Tech,ED,2026,2.5128,75.0,239.0,32.25,4.64,39.0,125.0,,,,,103.1231034323699,2.814302647067249,,1.0,,,,,,,,,,7.1,,,,,,,28.0,21.8,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
