Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
2015,Alex Carter,CB,Stanford,6-0,196.0,4.51,40.0,17.0,121.0,7.05,4.07,True,3.0,80.0,,,,,,0.9,14.3,11.3,330.0,1.0,1.0,10.4,482.0,100.0,1.0,8.0,5.9,0.002074688796680498,0.016597510373443983,71.5,50.6,11.9
2015,Donald Celiscar,CB,West. Michigan,5-11,194.0,4.62,,,120.0,,,False,,,,,,,,2.7,17.9,4.6,371.0,1.0,1.0,20.0,431.0,100.0,4.0,15.0,5.4,0.009280742459396751,0.03480278422273782,45.9,41.3,14.5
2015,Justin Coleman,CB,Tennessee,5-11,185.0,4.53,37.5,20.0,124.0,6.61,3.98,False,,,,,0.0,10.0,10.0,2.8,5.0,3.4,428.0,0.0,1.2,5.8,437.0,97.8,4.0,4.0,6.1,0.009153318077803204,0.009153318077803204,66.3,58.0,10.7
2015,Jalen Collins,CB,LSU,6-1,203.0,4.48,36.0,,124.0,6.77,4.27,True,2.0,42.0,,,,,,2.3,6.3,9.7,263.0,0.0,0.7,15.9,296.0,100.0,1.0,7.0,6.5,0.0033783783783783786,0.02364864864864865,61.4,40.9,14.2
2015,Justin Cox,CB,Mississippi State,6-1,191.0,4.36,38.0,15.0,129.0,7.05,4.07,False,,,,,,0.0,1.0,1.0,25.0,13.5,99.0,0.0,0.4,12.5,176.0,99.4,1.0,1.0,21.5,0.005681818181818182,0.005681818181818182,77.6,50.0,11.4
2015,Ronald Darby,CB,Florida State,5-11,193.0,4.38,41.5,12.0,129.0,6.94,4.14,True,2.0,50.0,,,,,1.0,1.4,7.7,6.6,445.0,1.0,0.8,6.5,468.0,99.8,0.0,3.0,9.8,0.0,0.00641025641025641,87.2,52.2,13.3
2015,Quandre Diggs,CB,Texas,5-9,196.0,4.56,35.5,17.0,113.0,7.22,4.15,True,6.0,200.0,,,20.0,14.3,15.0,2.4,7.7,4.3,476.0,1.0,0.8,7.0,478.0,97.0,3.0,4.0,8.1,0.006276150627615063,0.008368200836820083,76.3,63.2,7.5
2015,Lorenzo Doss,CB,Tulane,5-10,182.0,4.5,33.5,9.0,115.0,7.2,4.26,True,5.0,164.0,,,0.0,0.0,1.0,2.2,20.0,9.9,376.0,0.0,1.1,8.6,433.0,99.8,3.0,6.0,5.9,0.006928406466512702,0.013856812933025405,70.7,47.1,13.0
2015,Ifo Ekpre-Olomu,CB,Oregon,5-9,192.0,4.52,,,,,,True,7.0,241.0,,,100.0,25.0,5.0,1.3,19.0,9.2,303.0,0.0,0.9,12.7,482.0,99.0,2.0,8.0,7.3,0.004149377593360996,0.016597510373443983,82.2,58.7,9.5
2015,Charles Gaines,CB,Louisville,5-10,180.0,4.44,34.5,,123.0,7.07,4.2,True,6.0,189.0,,,50.0,25.0,6.0,0.3,15.4,20.8,344.0,0.0,0.8,9.3,461.0,98.7,2.0,5.0,8.2,0.004338394793926247,0.010845986984815618,66.6,48.1,14.2
2015,Jacoby Glenn,CB,Central Florida,6-0,179.0,4.64,34.0,,123.0,6.97,4.26,False,,,,,,,,0.0,20.0,19.3,336.0,0.0,0.6,9.9,543.0,100.0,7.0,7.0,7.2,0.01289134438305709,0.01289134438305709,29.7,47.9,11.9
2015,Senquez Golson,CB,Mississippi,5-9,176.0,4.46,33.5,15.0,120.0,6.81,4.2,True,2.0,56.0,,,33.3,37.5,8.0,2.8,30.4,4.6,327.0,0.0,1.0,4.8,339.0,97.7,10.0,3.0,5.3,0.029498525073746312,0.008849557522123894,44.9,46.0,14.5
