Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2010,Rahim Alem,DE,LSU,6-3,251.0,4.75,30.5,,106.0,7.54,4.8,False,,,,,,,,
2010,Tyson Alualu,DE,California,6-2,295.0,4.87,35.5,21.0,116.0,7.15,4.43,True,1.0,10.0,,,,,,
2010,Kevin Basped,DE,Nevada,6-4,258.0,4.75,29.0,26.0,104.0,7.54,4.88,False,,,,,,,,
2010,Alex Carrington,DE,Arkansas State,6-5,285.0,4.92,,26.0,,,,True,3.0,72.0,,,,,,
2010,Jermaine Cunningham,DE,Florida,6-3,266.0,4.89,,,,,,True,2.0,53.0,,,,,,
2010,Hall Davis,DE,Louisiana-Lafayette,6-4,271.0,4.84,,28.0,,,,True,5.0,149.0,,,,,,
2010,Carlos Dunlap,DE,Florida,6-6,277.0,4.68,31.5,21.0,111.0,7.21,4.61,True,2.0,54.0,,,,,,
2010,Clifton Geathers,DE,South Carolina,6-7,299.0,4.98,36.0,26.0,112.0,7.69,,True,6.0,186.0,,,,,,
2010,Everson Griffen,DE,USC,6-3,273.0,4.65,,32.0,,,,True,4.0,100.0,,,,,,
2010,Greg Hardy,DE,Mississippi,6-4,281.0,4.82,35.0,21.0,117.0,7.25,4.65,True,6.0,175.0,,,,,,
2010,Jammie Kirlew,DE,Indiana,6-1,260.0,5.05,33.0,26.0,111.0,7.5,4.74,True,7.0,232.0,,,,,,
2010,Brandon Lang,DE,Troy,6-4,266.0,5.0,28.5,20.0,104.0,,4.68,False,,,,,,,,
2010,Erik Lorig,DE,Stanford,6-3,281.0,4.86,,,,,,True,7.0,253.0,,,,,,
2010,Greg Middleton,DE,Indiana,6-3,268.0,4.96,38.0,,116.0,7.65,4.69,False,,,,,,,,
2010,Derrick Morgan,DE,Georgia Tech,6-3,266.0,4.77,34.0,,112.0,7.12,4.43,True,1.0,16.0,,,,,,
2010,Jason Pierre-Paul,DE,South Florida,6-5,270.0,4.71,30.5,19.0,115.0,7.18,4.67,True,1.0,15.0,,,,,,
2010,George Selvie,DE,South Florida,6-4,252.0,4.93,30.5,24.0,109.0,7.48,4.63,True,7.0,226.0,,,,,,
