Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent
2015,Mike Bennett,DT,Ohio State,6-2,293.0,5.04,,,,,,True,6.0,180.0,,,,,,
2015,Angelo Blackson,DT,Auburn,6-4,318.0,5.02,31.0,20.0,101.0,7.5,4.57,True,4.0,100.0,,33.75,5.5,5.2,198.0,4.3
2015,Malcom Brown,DT,Texas,6-2,319.0,5.05,29.5,26.0,98.0,7.84,4.59,True,1.0,32.0,,32.5,13.6,7.3,401.0,11.1
2015,Xavier Cooper,DT,Washington State,6-3,293.0,4.86,29.0,29.0,110.0,7.23,4.37,True,3.0,96.0,,31.5,11.5,5.9,410.0,4.6
2015,Christian Covington,DT,Rice,6-2,289.0,4.9,,,,,,True,6.0,216.0,,33.25,11.1,6.6,139.0,11.2
2015,Carl Davis,DT,Iowa,6-5,320.0,5.07,33.0,,103.0,7.91,4.47,True,3.0,90.0,,34.62,15.3,11.2,286.0,5.0
2015,Tyeler Davison,DT,Fresno State,6-2,316.0,5.18,33.0,32.0,105.0,7.53,4.46,True,5.0,154.0,,34.0,8.6,5.2,396.0,5.4
2015,Eddie Goldman,DT,Florida State,6-4,336.0,5.28,,,,,,True,2.0,39.0,,33.12,10.9,6.2,368.0,4.8
2015,Marcus Hardison,DT,Arizona State,6-3,307.0,4.91,,27.0,,,,True,4.0,135.0,,33.5,9.4,6.6,488.0,5.4
2015,Grady Jarrett,DT,Clemson,6-1,304.0,5.06,31.0,30.0,112.0,7.37,4.56,True,5.0,137.0,,32.38,24.2,14.3,288.0,13.8
2015,Derrick Lott,DT,Tenn-Chattanooga,6-4,314.0,4.99,26.5,30.0,106.0,7.3,4.44,False,,,,33.62,,,,
2015,Joey Mbu,DT,Houston,6-3,313.0,5.54,22.5,,97.0,8.2,5.01,False,,,,35.0,5.8,7.2,331.0,6.1
2015,Ellis McCarthy,DT,UCLA,6-5,338.0,5.21,32.0,24.0,109.0,8.16,5.07,False,,,,34.12,12.0,5.4,216.0,6.2
2015,Rakeem Nunez-Roches,DT,Southern Miss,6-2,307.0,5.02,34.0,26.0,114.0,7.67,4.69,True,6.0,217.0,,,,,,
2015,Leon Orr,DT,Florida,6-5,323.0,5.16,28.0,,100.0,8.26,4.9,False,,,,34.12,0.0,0.0,96.0,7.5
2015,David Parry,DT,Stanford,6-1,308.0,5.38,29.0,34.0,103.0,,,True,5.0,151.0,,31.0,16.5,8.7,277.0,8.3
2015,Jordan Phillips,DT,Oklahoma,6-5,329.0,5.17,30.0,28.0,105.0,7.88,4.68,True,2.0,52.0,,34.75,12.5,7.0,345.0,8.8
2015,Darius Philon,DT,Arkansas,6-1,298.0,5.0,31.0,26.0,107.0,8.0,,True,6.0,192.0,,32.38,13.6,9.3,348.0,6.6
2015,Bobby Richardson,DT,Indiana,6-3,283.0,5.16,32.5,,106.0,7.57,4.41,False,,,,34.62,13.3,8.0,338.0,7.9
2015,Danny Shelton,DT,Washington,6-2,339.0,5.64,30.5,34.0,95.0,7.99,4.65,True,1.0,12.0,,32.0,14.8,6.8,537.0,9.6
