Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2010,Charles Alexander,DT,LSU,6-4,300.0,5.4,,,,,,False,,,,,,,,
2010,Geno Atkins,DT,Georgia,6-1,293.0,4.75,33.0,34.0,117.0,7.33,4.43,True,4.0,120.0,,,,,,
2010,Terrence Cody,DT,Alabama,6-4,354.0,5.71,20.5,,90.0,8.19,5.03,True,2.0,57.0,,,,,,
2010,Brandon Deaderick,DT,Alabama,6-4,314.0,5.08,,,,,,True,7.0,247.0,,,,,,
2010,Lamarr Houston,DT,Texas,6-3,305.0,4.84,33.5,30.0,114.0,7.61,4.71,True,2.0,44.0,,,,,,
2010,Arthur Jones,DT,Syracuse,6-3,301.0,5.04,,,,,,True,5.0,157.0,,,,,,
2010,Linval Joseph,DT,East Carolina,6-4,328.0,5.09,30.0,39.0,100.0,8.12,4.71,True,2.0,46.0,,,,,,
2010,Gerald McCoy,DT,Oklahoma,6-4,295.0,5.04,30.5,23.0,114.0,7.32,4.48,True,1.0,3.0,,,,,,
2010,Earl Mitchell,DT,Arizona,6-2,296.0,4.75,28.5,25.0,107.0,7.68,4.55,True,3.0,81.0,,,,,,
2010,Aleric Mullins,DT,North Carolina,6-1,321.0,4.95,,,,,,False,,,,,,,,
2010,Mike Neal,DT,Purdue,6-3,294.0,4.87,33.0,31.0,113.0,7.53,4.53,True,2.0,56.0,,,,,,
2010,Jared Odrick,DT,Penn State,6-5,304.0,5.03,29.0,26.0,106.0,7.22,4.59,True,1.0,28.0,,,,,,
2010,Vince Oghobaase,DT,Duke,6-5,303.0,5.46,26.0,27.0,90.0,7.84,,False,,,,,,,,
2010,Jeff Owens,DT,Georgia,6-1,304.0,4.97,30.0,44.0,101.0,,4.68,True,7.0,243.0,,,,,,
2010,Corey Peters,DT,Kentucky,6-3,300.0,4.98,33.0,,98.0,7.56,4.76,True,3.0,83.0,,,,,,
2010,Brian Price,DT,UCLA,6-1,303.0,5.12,28.5,34.0,96.0,,,True,2.0,35.0,,,,,,
2010,Jay Ross,DT,East Carolina,6-3,313.0,5.1,32.0,30.0,100.0,7.83,4.64,False,,,,,,,,
2010,Malcolm Sheppard,DT,Arkansas,6-2,285.0,5.11,28.0,19.0,100.0,7.81,4.78,False,,,,,,,,
2010,D'Anthony Smith,DT,Louisiana Tech,6-2,304.0,5.01,,,,,,True,3.0,74.0,,,,,,
2010,Ndamukong Suh,DT,Nebraska,6-4,307.0,5.03,35.5,32.0,105.0,7.21,4.44,True,1.0,2.0,,,,,,
2010,Cam Thomas,DT,North Carolina,6-4,330.0,5.16,29.0,31.0,102.0,7.68,4.78,True,5.0,146.0,,,,,,
2010,Torell Troup,DT,Central Florida,6-3,314.0,5.12,29.0,34.0,98.0,7.61,4.73,True,2.0,41.0,,,,,,
2010,Lorenzo Washington,DT,Alabama,6-4,291.0,5.21,30.0,25.0,107.0,7.4,4.68,False,,,,,,,,
2010,Dan Williams,DT,Tennessee,6-2,327.0,5.19,32.0,27.0,96.0,7.88,4.87,True,1.0,26.0,,,,,,
2010,Al Woods,DT,LSU,6-4,309.0,5.15,37.0,,109.0,7.45,4.67,True,4.0,123.0,,,,,,
2010,Doug Worthington,DT,Ohio State,6-5,292.0,5.02,,19.0,,,,True,7.0,242.0,,,,,,
2011,Ladi Ajiboye,DT,South Carolina,6-1,297.0,5.3,24.0,23.0,91.0,7.72,4.71,False,,,,,,,,
2011,Marvin Austin,DT,North Carolina,6-2,309.0,4.84,30.5,38.0,112.0,7.33,4.4,True,2.0,52.0,,,,,,
2011,Jurrell Casey,DT,USC,6-1,300.0,5.04,27.5,26.0,101.0,7.51,4.78,True,3.0,77.0,,,,,,
2011,Marcell Dareus,DT,Alabama,6-3,319.0,4.93,27.0,24.0,,7.83,4.62,True,1.0,3.0,,,,,,
2011,Kenrick Ellis,DT,Kansas State,6-5,346.0,5.19,,26.0,,,,True,3.0,94.0,,,,,,
2011,Nick Fairley,DT,Auburn,6-4,291.0,4.84,31.0,,113.0,7.14,4.56,True,1.0,13.0,,,,,,
2011,Sione Fua,DT,Stanford,6-1,308.0,5.28,24.0,30.0,101.0,7.54,4.54,True,3.0,97.0,,,,,,
2011,John Graves,DT,Virginia Tech,6-3,286.0,5.09,28.5,29.0,114.0,7.49,4.49,False,,,,,,,,
2011,Lawrence Guy,DT,Arizona State,6-4,305.0,4.96,29.0,28.0,,7.6,4.43,True,7.0,233.0,,,,,,
2011,Jarvis Jenkins,DT,Clemson,6-4,310.0,5.03,26.5,17.0,98.0,7.42,4.83,True,2.0,41.0,,,,,,
2011,Corey Liuget,DT,Illinois,6-2,298.0,4.97,27.5,27.0,102.0,7.48,4.68,True,1.0,18.0,,,,,,
2011,Terrell McClain,DT,South Florida,6-2,297.0,4.98,28.0,29.0,104.0,7.48,4.56,True,3.0,65.0,,,,,,
2011,Chris Neild,DT,West Virginia,6-2,319.0,5.06,29.0,30.0,106.0,7.56,4.46,True,7.0,253.0,,,,,,
2011,Drake Nevis,DT,LSU,6-1,294.0,5.06,30.5,31.0,112.0,7.71,4.65,True,3.0,87.0,,,,,,
2011,Stephen Paea,DT,Oregon State,6-1,303.0,4.98,,49.0,,,,True,2.0,53.0,,,,,,
2011,Martin Parker,DT,Richmond,6-2,303.0,4.95,29.0,22.0,104.0,7.56,4.57,False,,,,,,,,
2011,Jerrell Powe,DT,Mississippi,6-2,335.0,5.25,25.0,27.0,93.0,8.17,5.06,True,6.0,199.0,,,,,,
2011,Sealver Siliga,DT,Utah,6-2,305.0,5.38,29.0,29.0,100.0,7.7,4.75,False,,,,,,,,
2011,Adrian Taylor,DT,Oklahoma,6-3,311.0,5.22,,34.0,,,,False,,,,,,,,
2011,Phil Taylor,DT,Baylor,6-3,334.0,5.09,29.5,31.0,100.0,7.75,4.77,True,1.0,21.0,,,,,,
2011,Cedric Thornton,DT,Southern Arkansas,6-3,309.0,5.25,27.0,23.0,101.0,7.7,4.71,False,,,,,,,,
2011,Colby Whitlock,DT,Texas Tech,6-2,302.0,5.27,30.5,25.0,105.0,7.73,4.75,False,,,,,,,,
2011,Muhammad Wilkerson,DT,Temple,6-4,315.0,4.96,26.0,27.0,106.0,7.31,4.59,True,1.0,30.0,,,,,,
2011,Ian Williams,DT,Notre Dame,6-1,319.0,5.21,28.5,31.0,98.0,,4.78,False,,,,,,,,
2012,Chas Alecxih,DT,Pittsburgh,6-4,296.0,5.31,25.5,19.0,99.0,7.74,4.62,False,,,,,,,,
2012,Michael Brockers,DT,LSU,6-5,322.0,5.31,26.5,,105.0,7.46,4.81,True,1.0,14.0,,,,,,
2012,Josh Chapman,DT,Alabama,6-1,316.0,5.02,,,,,,True,5.0,136.0,,,,,,
2012,Fletcher Cox,DT,Mississippi State,6-4,298.0,4.77,26.0,30.0,103.0,7.07,4.53,True,1.0,12.0,,,,,,
2012,Mike Daniels,DT,Iowa,6-0,291.0,4.84,,,,,,True,4.0,132.0,,,,,,
2012,Loni Fangupo,DT,BYU,6-1,323.0,5.12,31.5,36.0,99.0,7.94,4.62,False,,,,,,,,
2012,Marcus Forston,DT,Miami (FL),6-1,301.0,5.05,28.0,35.0,105.0,7.64,4.79,False,,,,,,,,
2012,Dominique Hamilton,DT,Missouri,6-5,313.0,5.45,,31.0,,7.82,4.78,False,,,,,,,,
2012,DaJohn Harris,DT,USC,6-3,306.0,4.97,,,,,,False,,,,,,,,
2012,Jaye Howard,DT,Florida,6-3,301.0,4.78,27.5,24.0,106.0,7.32,4.47,True,4.0,114.0,,,,,,
2012,John Hughes,DT,Cincinnati,6-2,309.0,5.32,,28.0,,,,True,3.0,87.0,,,,,,
2012,Markus Kuhn,DT,North Carolina State,6-5,299.0,4.87,34.5,28.0,112.0,7.43,4.41,True,7.0,239.0,,,,,,
2012,Mike Martin,DT,Michigan,6-1,306.0,4.8,33.5,36.0,113.0,7.19,4.25,True,3.0,82.0,,,,,,
2012,Vaughn Meatoga,DT,Hawaii,6-1,294.0,4.93,30.0,27.0,108.0,7.1,4.21,False,,,,,,,,
2012,Rennie Moore,DT,Clemson,6-3,268.0,5.0,30.5,21.0,109.0,,4.53,False,,,,,,,,
2012,Dontari Poe,DT,Memphis,6-3,346.0,4.89,29.5,44.0,105.0,7.9,4.56,True,1.0,11.0,,,,,,
2012,Tydreke Powell,DT,North Carolina,6-2,311.0,5.28,28.5,29.0,99.0,7.31,4.62,False,,,,,,,,
2012,Kheeston Randall,DT,Texas,6-5,293.0,5.0,34.0,28.0,111.0,7.49,4.84,True,7.0,215.0,,,,,,
2012,Kendall Reyes,DT,Connecticut,6-4,299.0,4.82,34.5,36.0,113.0,7.43,4.53,True,2.0,49.0,,,,,,
2012,Travian Robertson,DT,South Carolina,6-4,302.0,5.12,26.0,30.0,102.0,,,True,7.0,249.0,,,,,,
2012,Brett Roy,DT,Nevada,6-3,275.0,5.0,30.5,32.0,108.0,7.31,4.62,False,,,,,,,,
2012,Devon Still,DT,Penn State,6-5,303.0,5.01,29.5,26.0,,,,True,2.0,53.0,,,,,,
2012,J.R. Sweezy,DT,North Carolina State,6-5,298.0,4.97,36.0,21.0,113.0,7.4,4.41,True,7.0,225.0,,,,,,
2012,Alameda Ta'amu,DT,Washington,6-2,348.0,5.3,26.0,35.0,103.0,,,True,4.0,109.0,,,,,,
2012,Brandon Thompson,DT,Clemson,6-2,314.0,5.2,31.0,35.0,100.0,7.97,4.71,True,3.0,93.0,,,,,,
2012,Christian Tupou,DT,USC,6-2,289.0,5.38,24.0,30.0,92.0,8.07,4.87,False,,,,,,,,
2012,DeAngelo Tyson,DT,Georgia,6-2,315.0,5.0,,,,,,True,7.0,236.0,,,,,,
2012,Derek Wolfe,DT,Cincinnati,6-5,295.0,4.93,33.5,33.0,108.0,7.26,4.44,True,2.0,36.0,,,,,,
2012,Jerel Worthy,DT,Michigan State,6-2,308.0,5.0,28.5,,107.0,7.6,4.56,True,2.0,51.0,,,,,,
2013,T.J. Barnes,DT,Georgia Tech,6-6,369.0,5.3,22.0,25.0,97.0,8.26,4.96,False,,,,,,,,
2013,Josh Boyd,DT,Mississippi State,6-3,310.0,5.14,26.5,32.0,104.0,7.16,4.64,True,5.0,167.0,,,,,,
