Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,is_center,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2015,Al Bond,OG,Memphis,6-4,303.0,5.57,23.5,22.0,90.0,7.9,4.65,False,,,,33.38,0,0.11267605633802817,0.014084507042253521,71.0,503.0,66.7,0.276,0.0,0.003484320557491289
2015,Brett Boyko,OG,UNLV,6-7,301.0,5.6,25.0,,103.0,7.91,4.75,False,,,,32.0,0,0.053061224489795916,0.0163265306122449,245.0,338.0,88.8,0.231,0.0,0.003430531732418525
2015,Trenton Brown,OG,Florida,6-8,355.0,5.21,23.5,20.0,97.0,8.23,4.78,True,7.0,244.0,,36.0,0,0.04,0.013333333333333334,75.0,178.0,74.7,0.34299999999999997,0.0,0.011857707509881422
2015,A.J. Cann,OG,South Carolina,6-3,313.0,5.47,,26.0,,,,True,3.0,67.0,,32.62,0,0.04633204633204633,0.003861003861003861,259.0,428.0,82.1,0.243,0.002,0.001455604075691412
2015,Reese Dismukes,C,Auburn,6-3,296.0,5.31,27.5,23.0,107.0,8.14,4.7,False,,,,,1,0.02654867256637168,0.0,113.0,558.0,82.3,0.335,0.0,0.0
2015,Jamil Douglas,OG,Arizona State,6-4,304.0,5.25,29.0,28.0,99.0,7.99,4.75,True,4.0,114.0,,33.38,0,0.07894736842105263,0.021052631578947368,190.0,430.0,79.4,0.419,0.0,0.0032258064516129032
2015,Cameron Erving,C,Florida State,6-5,313.0,5.15,30.5,30.0,112.0,7.48,4.63,True,1.0,19.0,,,1,0.06716417910447761,0.014925373134328358,268.0,389.0,81.0,0.247,0.003,0.0015220700152207
2015,Tayo Fabuluje,OG,TCU,6-6,353.0,5.55,29.5,,,,4.77,True,6.0,183.0,,34.0,0,0.04929577464788732,0.007042253521126761,142.0,297.0,77.3,0.037000000000000005,0.0,0.00683371298405467
2015,Jon Feliciano,OG,Miami (FL),6-4,323.0,5.33,26.5,,97.0,,4.74,True,4.0,128.0,,32.38,0,0.024390243902439025,0.006097560975609756,164.0,383.0,78.1,0.243,0.0,0.0018281535648994515
2015,B.J. Finney,C,Kansas State,6-4,318.0,5.25,24.0,20.0,99.0,,4.76,False,,,,,1,0.03365384615384615,0.014423076923076924,208.0,398.0,73.1,0.254,0.0,0.0
2015,Andy Gallik,C,Boston Col.,6-2,306.0,5.5,27.0,29.0,96.0,7.66,4.58,True,6.0,208.0,,,1,0.03896103896103896,0.025974025974025976,77.0,572.0,67.4,0.406,0.0,0.0030816640986132513
2015,Max Garcia,C,Florida,6-4,309.0,5.24,,,,,,True,4.0,133.0,,,1,0.02857142857142857,0.0,140.0,456.0,72.9,0.38799999999999996,0.0,0.0016778523489932886
2015,Mark Glowinski,OG,West Virginia,6-4,307.0,5.2,29.5,31.0,113.0,7.56,4.58,True,4.0,134.0,,33.12,0,0.07035175879396985,0.010050251256281407,199.0,496.0,75.0,0.135,0.0,0.004316546762589928
2015,Hroniss Grasu,C,Oregon,6-3,297.0,5.03,,,,,,True,3.0,71.0,,,1,0.02857142857142857,0.014285714285714285,70.0,394.0,82.8,0.231,0.003,0.00646551724137931
2015,Chad Hamilton,C,Coastal Carolina,6-2,292.0,4.97,,,,,,False,,,,,1,,,,,,,,
2015,Jarvis Harrison,OG,Texas A&M,6-4,330.0,5.19,29.5,26.0,102.0,7.51,4.62,True,5.0,152.0,,33.5,0,0.08387096774193549,0.01935483870967742,155.0,236.0,75.0,0.22899999999999998,0.0,0.0025575447570332483
2015,Bobby Hart,OG,Florida State,6-5,329.0,5.61,,,,,,True,7.0,226.0,,33.0,0,0.07462686567164178,0.0037313432835820895,268.0,389.0,82.1,0.247,0.003,0.0045662100456621
2015,Tre Jackson,OG,Florida State,6-4,330.0,5.52,25.0,,96.0,,,True,4.0,111.0,,32.62,0,0.03731343283582089,0.0,268.0,389.0,77.9,0.247,0.003,0.0045662100456621
2015,Arie Kouandjio,OG,Alabama,6-5,310.0,5.48,,,,,,True,4.0,112.0,,34.12,0,0.027522935779816515,0.0,109.0,459.0,88.1,0.183,0.0,0.0017605633802816902
2015,Greg Mancz,C,Toledo,6-4,301.0,5.08,,,,,,False,,,,,1,0.017699115044247787,0.0,113.0,391.0,94.8,0.42200000000000004,0.0,0.001984126984126984
2015,Ali Marpet,OG,Hobart & William Smith,6-4,307.0,4.98,30.5,30.0,108.0,7.33,4.47,True,2.0,61.0,,33.38,0,,,,,,,,
2015,Josue Matias,OG,Florida State,6-5,309.0,5.52,17.5,,84.0,8.19,5.12,False,,,,33.12,0,0.03731343283582089,0.0,268.0,388.0,83.0,0.245,0.003,0.007621951219512195
2015,John Miller,OG,Louisville,6-2,303.0,5.33,27.0,29.0,104.0,8.2,4.75,True,3.0,81.0,,33.25,0,0.08653846153846154,0.009615384615384616,208.0,415.0,89.7,0.371,0.0,0.0016051364365971107
2015,Mitch Morse,OG,Missouri,6-5,305.0,5.14,31.0,36.0,112.0,7.6,4.5,True,2.0,49.0,,32.25,0,0.05069124423963134,0.004608294930875576,217.0,462.0,67.5,0.23600000000000002,0.0,0.005891016200294551
2015,Robert Myers,OG,Tennessee State,6-5,326.0,5.44,27.5,,94.0,8.1,4.91,True,5.0,176.0,,33.75,0,,,,,,,,
2015,Jeremiah Poutasi,OG,Utah,6-5,335.0,5.32,26.5,26.0,95.0,8.09,4.89,True,3.0,66.0,,33.88,0,0.06818181818181818,0.0,132.0,456.0,67.1,0.193,0.0,0.00510204081632653
2015,Adam Shead,OG,Oklahoma,6-4,338.0,5.74,,26.0,,,,False,,,,33.75,0,0.01834862385321101,0.0,109.0,415.0,77.6,0.198,0.0,0.0019083969465648854
2015,Laken Tomlinson,OG,Duke,6-3,323.0,5.33,31.5,25.0,103.0,8.17,4.87,True,1.0,28.0,,33.62,0,0.012987012987012988,0.0,154.0,426.0,89.4,0.183,0.0,0.0017241379310344827
2016,Jack Allen,C,Michigan State,6-1,294.0,5.29,26.5,23.0,101.0,7.9,4.73,False,,,,,1,0.06832298136645963,0.012422360248447204,161.0,436.0,89.9,0.6559999999999999,0.19699999999999998,0.0
2016,Austin Blythe,C,Iowa,6-2,298.0,5.36,27.5,29.0,99.0,7.52,4.53,True,7.0,248.0,,,1,0.043689320388349516,0.009708737864077669,206.0,480.0,95.4,0.256,0.61,0.004373177842565598
2016,Evan Boehm,C,Missouri,6-2,302.0,5.33,28.5,24.0,96.0,7.52,4.69,True,4.0,128.0,,,1,0.06875,0.0125,160.0,326.0,77.0,0.267,0.531,0.00411522633744856
2016,Jake Brendel,C,UCLA,6-3,303.0,5.01,28.0,25.0,108.0,7.31,4.27,False,,,,,1,0.037037037037037035,0.0,216.0,413.0,80.5,0.409,0.47700000000000004,0.003179650238473768
