Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate
2015,Kwon Alexander,OLB,LSU,6-1,227.0,4.55,36.0,24.0,121.0,7.14,4.2,True,4.0,124.0,,30.25,29.2,12.5,75.0,9.7,13.3,3.1,312.0,2.0,0.6,0.0,245.0,76.6,0.0,0.0,9.2,0.0,0.0
2015,Stephone Anthony,ILB,Clemson,6-3,243.0,4.56,37.0,23.0,122.0,7.07,4.03,True,1.0,31.0,,32.5,22.2,17.6,55.0,8.4,7.1,3.2,316.0,2.0,0.5,8.8,358.0,86.7,1.0,3.0,10.0,0.002793296089385475,0.008379888268156424
2015,Neiron Ball,OLB,Florida,6-2,236.0,4.65,,22.0,,,,True,5.0,161.0,,33.62,15.6,12.3,59.0,5.4,27.6,2.4,205.0,0.0,0.3,0.0,175.0,74.8,0.0,0.0,10.6,0.0,0.0
2015,Vic Beasley,OLB,Clemson,6-3,246.0,4.53,41.0,35.0,130.0,6.91,4.15,True,1.0,8.0,,32.5,20.6,14.3,315.0,6.8,9.1,0.2,238.0,0.0,-0.7,0.0,8.0,2.5,0.0,0.0,7.0,0.0,0.0
2015,Yannick Cudjoe-Virgil,OLB,Maryland,6-2,248.0,4.8,,25.0,,,,False,,,,,20.0,14.7,199.0,2.2,7.1,6.8,224.0,0.0,1.2,0.0,82.0,29.2,0.0,0.0,7.3,0.0,0.0
2015,Aaron Davis,OLB,Colorado State,6-0,225.0,4.95,29.0,16.0,107.0,7.38,4.37,False,,,,31.0,11.1,5.7,59.0,8.9,16.2,4.0,382.0,0.0,0.7,5.0,394.0,87.0,1.0,2.0,9.6,0.0025380710659898475,0.005076142131979695
2015,Paul Dawson,ILB,TCU,6-0,235.0,4.93,28.0,21.0,109.0,,4.49,True,3.0,99.0,,31.5,13.0,7.2,101.0,23.3,8.8,2.6,319.0,2.0,0.7,10.3,337.0,76.9,4.0,4.0,8.3,0.011869436201780416,0.011869436201780416
2015,Trey DePriest,ILB,Alabama,6-0,254.0,4.93,,,,,,False,,,,31.62,8.3,3.9,51.0,7.7,11.3,2.8,356.0,0.0,0.7,2.1,444.0,89.7,0.0,1.0,8.9,0.0,0.0022522522522522522
2015,Xzavier Dickson,OLB,Alabama,6-3,260.0,4.74,29.5,19.0,100.0,7.56,4.53,True,7.0,253.0,,33.5,17.0,9.4,318.0,8.7,10.3,3.9,210.0,0.0,0.4,0.0,33.0,9.4,0.0,0.0,15.5,0.0,0.0
2015,Kyle Emanuel,OLB,North Dakota State,6-3,255.0,4.77,34.0,27.0,120.0,7.1,4.25,True,5.0,153.0,,31.0,,,,,,,,,,,,,,,,,
