Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,Sacks_final_season,TFL_cumulative,TFL_final_season,QB_Hurry_cumulative,QB_Hurry_final_season,PD_cumulative,PD_final_season,SOLO_cumulative,SOLO_final_season,TOT_cumulative,TOT_final_season
2010,Pat Angerer,ILB,Iowa,6-0,235.0,4.71,35.0,26.0,110.0,7.04,4.29,True,2.0,63.0,,,,,,,,,,,,
2010,Jason Beauchamp,ILB,UNLV,6-3,244.0,4.89,39.5,21.0,120.0,7.1,,False,,,,,,,,,,,,,,
2010,Kyle Bosworth,OLB,UCLA,6-1,236.0,4.69,32.5,25.0,117.0,6.67,4.11,False,,,,,,,,,,,,,,
2010,Navorro Bowman,OLB,Penn State,6-0,242.0,4.7,29.5,26.0,115.0,6.91,4.59,True,3.0,91.0,,,,,,,,,,,,
2010,Donald Butler,ILB,Washington,6-1,245.0,4.61,,35.0,,,,True,3.0,79.0,,,,,,,,,,,,
2010,Lee Campbell,ILB,Minnesota,6-2,247.0,4.88,34.0,17.0,108.0,7.27,4.4,False,,,,,,,,,,,,,,
2010,Jamar Chaney,ILB,Mississippi State,6-1,242.0,4.54,39.0,26.0,124.0,6.9,4.29,True,7.0,220.0,,,,,,,,,,,,
2010,Keenan Clayton,OLB,Oklahoma,6-1,229.0,4.59,41.5,27.0,124.0,,,True,4.0,121.0,,,,,,,,,,,,
2010,Justin Cole,OLB,San Jose State,6-3,242.0,4.76,34.5,22.0,117.0,7.13,4.42,False,,,,,,,,,,,,,,
2010,Antonio Coleman,OLB,Auburn,6-1,255.0,4.76,,18.0,113.0,,,False,,,,,,,,,,,,,,
2010,Kavell Conner,OLB,Clemson,6-0,242.0,4.59,33.5,24.0,110.0,7.36,4.6,True,7.0,240.0,,,,,,,,,,,,
2010,Rennie Curran,OLB,Georgia,5-11,235.0,4.75,34.5,25.0,,,,True,3.0,97.0,,,,,,,,,,,,
2010,Dexter Davis,OLB,Arizona State,6-1,244.0,4.62,35.0,25.0,109.0,7.08,4.3,True,7.0,236.0,,,,,,,,,,,,
2010,Phillip Dillard,ILB,Nebraska,6-0,245.0,4.65,31.5,,106.0,7.16,4.43,True,4.0,115.0,,,,,,,,,,,,
2010,A.J. Edds,OLB,Iowa,6-4,246.0,4.62,33.0,16.0,117.0,7.19,4.28,True,4.0,119.0,,,,,,,,,,,,
2010,Junior Galette,OLB,Temple,6-2,257.0,4.77,33.5,25.0,113.0,7.04,4.16,False,,,,,,,,,,,,,,
2010,Thaddeus Gibson,OLB,Ohio State,6-2,243.0,4.78,32.0,32.0,115.0,6.84,4.27,True,4.0,116.0,,,,,,,,,,,,
2010,Travis Goethel,ILB,Arizona State,6-2,240.0,4.81,35.0,21.0,111.0,6.93,4.54,True,6.0,190.0,,,,,,,,,,,,
2010,Brandon Graham,OLB,Michigan,6-1,268.0,4.71,,31.0,,,,True,1.0,13.0,,,,,,,,,,,,
2010,Jerry Hughes,OLB,TCU,6-2,255.0,4.65,34.5,26.0,118.0,6.99,4.15,True,1.0,31.0,,,,,,,,,,,,
2010,Josh Hull,ILB,Penn State,6-3,237.0,4.93,32.5,25.0,115.0,6.86,4.07,True,7.0,254.0,,,,,,,,,,,,
2010,Carl Ihenacho,OLB,San Jose State,6-2,255.0,4.86,,20.0,,,,False,,,,,,,,,,,,,,
2010,Micah Johnson,ILB,Kentucky,6-1,258.0,4.99,29.0,31.0,,,,False,,,,,,,,,,,,,,
2010,Sergio Kindle,OLB,Texas,6-3,250.0,4.65,36.5,25.0,118.0,7.26,4.53,True,2.0,43.0,,,,,,,,,,,,
2010,Keaton Kristick,OLB,Oregon State,6-3,234.0,4.7,34.0,16.0,120.0,6.96,4.21,False,,,,,,,,,,,,,,
2010,Simoni Lawrence,OLB,Minnesota,6-0,232.0,4.59,40.0,21.0,123.0,7.3,4.43,False,,,,,,,,,,,,,,
2010,Boris Lee,ILB,Troy,6-0,238.0,4.94,32.5,27.0,112.0,,,False,,,,,,,,,,,,,,
2010,Sean Lee,ILB,Penn State,6-2,236.0,4.71,37.5,24.0,120.0,,,True,2.0,55.0,,,,,,,,,,,,
2010,Sam Maxwell,OLB,Kentucky,6-2,246.0,4.98,33.0,,108.0,7.37,4.52,False,,,,,,,,,,,,,,
2010,Rolando McClain,ILB,Alabama,6-3,254.0,4.68,,24.0,,,,True,1.0,8.0,,,,,,,,,,,,
2010,Albert McClellan,ILB,Marshall,6-1,247.0,4.75,36.5,26.0,119.0,7.24,4.21,False,,,,,,,,,,,,,,
2010,Mike McLaughlin,ILB,Boston Col.,6-0,242.0,4.84,38.5,29.0,114.0,6.85,4.11,False,,,,,,,,,,,,,,
2010,Koa Misi,OLB,Utah,6-3,251.0,4.75,38.0,,127.0,7.07,4.27,True,2.0,40.0,,,,,,,,,,,,
2010,Arthur Moats,OLB,James Madison,6-0,246.0,4.64,36.5,24.0,122.0,7.22,4.37,True,6.0,178.0,,,,,,,,,,,,
2010,Roddrick Muckelroy,OLB,Texas,6-2,246.0,4.68,31.0,19.0,110.0,7.25,4.39,True,4.0,131.0,,,,,,,,,,,,
2010,Eric Norwood,OLB,South Carolina,6-1,245.0,4.71,36.5,,115.0,7.08,4.23,True,4.0,124.0,,,,,,,,,,,,
2010,Perry Riley,OLB,LSU,6-1,239.0,4.69,35.5,,119.0,6.97,4.25,True,4.0,103.0,,,,,,,,,,,,
2010,Ricky Sapp,OLB,Clemson,6-4,252.0,4.65,34.0,23.0,114.0,7.29,4.41,True,5.0,134.0,,,,,,,,,,,,
2010,O'Brien Schofield,OLB,Wisconsin,6-2,221.0,4.63,,,,,,True,4.0,130.0,,,,,,,,,,,,
2010,Darryl Sharpton,ILB,Miami (FL),5-11,236.0,4.81,,24.0,,7.19,4.42,True,4.0,102.0,,,,,,,,,,,,
2010,Cameron Sheffield,OLB,Troy,6-2,257.0,4.92,33.0,,115.0,7.23,4.53,True,5.0,142.0,,,,,,,,,,,,
2010,Brandon Spikes,ILB,Florida,6-3,249.0,5.05,29.0,,111.0,6.97,,True,2.0,62.0,,,,,,,,,,,,
2010,Stevenson Sylvester,OLB,Utah,6-2,231.0,4.71,,23.0,,,,True,5.0,166.0,,,,,,,,,,,,
2010,Adrian Tracy,OLB,William & Mary,6-3,248.0,4.76,35.5,20.0,110.0,7.08,4.34,True,6.0,184.0,,,,,,,,,,,,
2010,Nate Triplett,OLB,Minnesota,6-3,250.0,4.7,33.0,20.0,115.0,7.02,4.37,True,5.0,167.0,,,,,,,,,,,,
2010,Daryl Washington,OLB,TCU,6-2,230.0,4.58,31.0,17.0,114.0,,,True,2.0,47.0,,,,,,,,,,,,
2010,Dekoda Watson,OLB,Florida State,6-1,240.0,4.55,40.0,24.0,134.0,7.06,4.11,True,7.0,217.0,,,,,,,,,,,,
2010,Sean Weatherspoon,OLB,Missouri,6-1,239.0,4.62,40.0,34.0,123.0,6.99,4.38,True,1.0,19.0,,,,,,,,,,,,
2010,Kion Wilson,ILB,South Florida,6-0,239.0,4.87,36.5,27.0,123.0,,4.53,False,,,,,,,,,,,,,,
2010,Jason Worilds,OLB,Virginia Tech,6-1,254.0,4.65,38.0,24.0,114.0,6.95,4.29,True,2.0,52.0,,,,,,,,,,,,
2011,Sam Acho,OLB,Texas,6-2,262.0,4.67,33.5,23.0,112.0,6.69,4.32,True,4.0,103.0,,,,,,,,,,,,
2011,Akeem Ayers,OLB,UCLA,6-2,254.0,4.81,31.0,18.0,116.0,7.49,4.28,True,2.0,39.0,,,,,,,,,,,,
2011,Nick Bellore,ILB,Central Michigan,6-1,245.0,4.84,32.5,23.0,109.0,6.98,4.0,False,,,,,,,,,,,,,,
2011,Bruce Carter,OLB,North Carolina,6-1,241.0,4.57,,25.0,,,,True,2.0,40.0,,,,,,,,,,,,
2011,Chris Carter,OLB,Fresno State,6-1,248.0,4.58,36.0,27.0,114.0,6.88,4.34,True,5.0,162.0,,,,,,,,,,,,
2011,Wayne Daniels,OLB,TCU,6-0,260.0,5.03,25.0,,106.0,7.81,4.68,False,,,,,,,,,,,,,,
2011,Akeem Dent,ILB,Georgia,6-1,242.0,4.73,37.5,24.0,123.0,,,True,3.0,91.0,,,,,,,,,,,,
2011,Mason Foster,OLB,Washington,6-1,245.0,4.75,31.0,22.0,110.0,7.14,4.45,True,3.0,84.0,,,,,,,,,,,,
2011,Mark Herzlich,OLB,Boston Col.,6-4,244.0,4.91,32.5,29.0,112.0,7.32,4.46,False,,,,,,,,,,,,,,
2011,Doug Hogue,OLB,Syracuse,6-2,235.0,4.62,36.0,18.0,121.0,7.09,4.57,True,5.0,157.0,,,,,,,,,,,,
2011,Ross Homan,OLB,Ohio State,6-1,240.0,4.66,35.5,32.0,111.0,7.21,4.34,True,6.0,200.0,,,,,,,,,,,,
2011,Justin Houston,OLB,Georgia,6-3,270.0,4.62,36.5,30.0,125.0,6.95,4.37,True,3.0,70.0,,,,,,,,,,,,
2011,Jeremiha Hunter,OLB,Iowa,6-0,239.0,4.77,31.5,20.0,116.0,,,False,,,,,,,,,,,,,,
2011,Nate Irving,ILB,North Carolina State,6-1,240.0,4.74,,,,,,True,3.0,67.0,,,,,,,,,,,,
2011,Greg Jones,ILB,Michigan State,6-0,242.0,4.75,31.5,21.0,117.0,7.27,4.27,True,6.0,185.0,,,,,,,,,,,,
2011,Elijah Joseph,ILB,Temple,6-1,243.0,4.8,,,,,,False,,,,,,,,,,,,,,
2011,Orie Lemon,ILB,Oklahoma State,6-1,242.0,4.87,30.0,27.0,113.0,7.45,4.4,False,,,,,,,,,,,,,,
2011,Greg Lloyd,ILB,Connecticut,6-1,246.0,4.8,32.0,22.0,109.0,7.17,4.46,True,7.0,237.0,,,,,,,,,,,,
2011,Scott Lutrus,OLB,Connecticut,6-2,241.0,4.68,38.0,,121.0,6.89,4.09,False,,,,,,,,,,,,,,
2011,Casey Matthews,ILB,Oregon,6-1,231.0,4.78,,13.0,,,,True,4.0,116.0,,,,,,,,,,,,
2011,Colin McCarthy,ILB,Miami (FL),6-1,238.0,4.59,36.5,23.0,119.0,6.93,4.2,True,4.0,109.0,,,,,,,,,,,,
2011,Bruce Miller,OLB,Central Florida,6-1,254.0,4.81,31.0,35.0,113.0,7.05,4.34,True,7.0,211.0,,,,,,,,,,,,
2011,Von Miller,OLB,Texas A&M,6-3,246.0,4.42,37.0,21.0,126.0,6.7,4.06,True,1.0,2.0,,,,,,,,,,,,
2011,Dontay Moch,OLB,Nevada,6-1,248.0,4.4,42.0,21.0,128.0,7.09,4.38,True,3.0,66.0,,,,,,,,,,,,
2011,Mike Mohamed,ILB,California,6-3,239.0,4.65,32.0,21.0,115.0,6.7,4.0,True,6.0,189.0,,,,,,,,,,,,
2011,Adrian Moten,OLB,Maryland,6-2,228.0,4.53,31.0,18.0,114.0,7.05,4.21,False,,,,,,,,,,,,,,
2011,Jonas Mouton,OLB,Michigan,6-1,239.0,4.84,31.5,,115.0,7.08,4.34,True,2.0,61.0,,,,,,,,,,,,
2011,Brooks Reed,OLB,Arizona,6-2,263.0,4.65,30.5,30.0,113.0,7.11,4.28,True,2.0,42.0,,,,,,,,,,,,
2011,Brian Rolle,OLB,Ohio State,5-10,229.0,4.53,33.0,28.0,115.0,6.89,4.26,True,6.0,193.0,,,,,,,,,,,,
2011,Kelvin Sheppard,ILB,LSU,6-2,250.0,4.7,33.5,22.0,110.0,,4.28,True,3.0,68.0,,,,,,,,,,,,
2011,D.J. Smith,OLB,Appalachian State,5-11,239.0,4.71,31.0,20.0,104.0,7.35,4.45,True,6.0,186.0,,,,,,,,,,,,
2011,Derrell Smith,ILB,Syracuse,6-0,243.0,4.76,,,,,,False,,,,,,,,,,,,,,
