Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2015,Jamon Brown,OT,Louisville,6-4,323.0,5.08,,,,,,True,3.0,72.0,,34.38,0.04807692307692308,0.004807692307692308,208.0,417.0,84.3,0.37200000000000005,0.0,0.0
2015,Cameron Clear,OT,Texas A&M,6-5,277.0,4.98,32.0,,108.0,7.52,4.48,False,,,,33.62,,,,,,,,
2015,T.J. Clemmings,OT,Pittsburgh,6-5,309.0,5.14,32.5,22.0,111.0,7.68,4.54,True,4.0,110.0,,35.12,0.043209876543209874,0.012345679012345678,162.0,553.0,84.0,0.45799999999999996,0.024,0.006993006993006993
2015,Takoby Cofield,OT,Duke,6-4,310.0,5.19,30.0,23.0,101.0,8.09,4.79,False,,,,34.0,0.08387096774193549,0.0064516129032258064,155.0,428.0,73.3,0.187,0.0,0.003430531732418525
2015,La'el Collins,OT,LSU,6-4,305.0,5.1,27.0,21.0,108.0,7.7,4.63,False,,,,33.25,0.009433962264150943,0.0,106.0,522.0,90.7,0.159,0.0,0.004777070063694267
2015,Rob Crisp,OT,Boise State,6-7,301.0,5.26,32.5,26.0,107.0,8.07,4.6,False,,,,34.5,,,,,,,,
2015,Andrew Donnal,OT,Iowa,6-6,313.0,5.31,32.0,17.0,101.0,7.84,4.77,True,4.0,119.0,,33.5,0.07234042553191489,0.00425531914893617,235.0,446.0,82.1,0.11699999999999999,0.0,0.0
2015,Jake Fisher,OT,Oregon,6-6,306.0,5.01,32.5,25.0,,7.25,4.33,True,2.0,53.0,,33.75,0.0684931506849315,0.0136986301369863,73.0,407.0,72.8,0.221,0.002,0.014583333333333334
2015,Ereck Flowers,OT,Miami (FL),6-6,329.0,5.31,,37.0,,,,True,1.0,9.0,,34.5,0.04516129032258064,0.0,155.0,341.0,78.2,0.235,0.0,0.010080645161290322
2015,Laurence Gibson,OT,Virginia Tech,6-6,305.0,5.04,33.5,24.0,113.0,7.72,4.56,True,7.0,243.0,,35.12,0.08928571428571429,0.0035714285714285713,280.0,443.0,81.7,0.312,0.0,0.004149377593360996
2015,Chaz Green,OT,Florida,6-5,314.0,5.16,29.5,21.0,106.0,8.0,4.7,True,3.0,91.0,,33.38,0.05714285714285714,0.0,105.0,304.0,62.5,0.385,0.0,0.0024449877750611247
2015,Rob Havenstein,OT,Wisconsin,6-7,321.0,5.46,28.5,16.0,96.0,8.28,4.87,True,2.0,57.0,,33.75,0.0875,0.00625,160.0,596.0,80.4,0.258,0.0,0.0013227513227513227
2015,Sean Hickey,OT,Syracuse,6-5,309.0,5.39,,35.0,,,,False,,,,32.75,0.026490066225165563,0.006622516556291391,151.0,367.0,76.5,0.177,0.0,0.003861003861003861
2015,D.J. Humphries,OT,Florida,6-5,307.0,5.12,31.0,26.0,104.0,7.87,4.64,True,1.0,24.0,,33.62,0.054945054945054944,0.01098901098901099,91.0,337.0,71.7,0.389,0.0,0.0
2015,Darrian Miller,OT,Kentucky,6-5,307.0,5.51,25.0,,97.0,7.91,4.87,False,,,,33.0,0.1349206349206349,0.023809523809523808,126.0,308.0,78.0,0.43799999999999994,0.0,0.002304147465437788
2015,Cedric Ogbuehi,OT,Texas A&M,6-5,306.0,4.98,,23.0,,,,True,1.0,21.0,,35.88,0.06072874493927125,0.016194331983805668,247.0,331.0,71.7,0.263,0.0,0.0034602076124567475
2015,Andrus Peat,OT,Stanford,6-7,313.0,5.18,31.0,,105.0,8.01,4.62,True,1.0,13.0,,34.38,0.03333333333333333,0.009523809523809525,210.0,401.0,73.7,0.564,0.0,0.004909983633387889
2015,Terry Poole,OT,San Diego State,6-5,307.0,5.09,31.0,25.0,113.0,7.9,4.66,True,4.0,130.0,,33.25,0.072,0.016,125.0,488.0,81.2,0.39299999999999996,0.0,0.004893964110929853
2015,Corey Robinson,OT,South Carolina,6-7,324.0,5.34,,28.0,,,,True,7.0,240.0,,35.62,0.03088803088803089,0.003861003861003861,259.0,423.0,86.5,0.243,0.002,0.001466275659824047
2015,Ty Sambrailo,OT,Colorado State,6-6,311.0,5.36,29.0,23.0,97.0,7.54,4.58,True,2.0,59.0,,33.0,0.05755395683453238,0.0,139.0,257.0,80.6,0.152,0.0,0.0025252525252525255
2015,Brandon Scherff,OT,Iowa,6-5,319.0,5.05,,23.0,,,,True,1.0,5.0,,33.38,0.06896551724137931,0.0,232.0,445.0,91.1,0.115,0.0,0.0014771048744460858
2015,Austin Shepherd,OT,Alabama,6-4,315.0,5.39,29.0,17.0,94.0,8.04,4.7,True,7.0,228.0,,32.88,0.06422018348623854,0.009174311926605505,109.0,453.0,78.0,0.18100000000000002,0.0,0.0
2015,Donovan Smith,OT,Penn State,6-6,338.0,5.27,32.0,26.0,109.0,7.95,4.79,True,2.0,34.0,,34.38,0.05223880597014925,0.014925373134328358,134.0,281.0,62.5,0.45899999999999996,0.0,0.0024096385542168677
2015,Tyrus Thompson,OT,Oklahoma,6-5,324.0,5.35,29.0,29.0,97.0,,4.92,True,6.0,185.0,,34.88,0.07874015748031496,0.007874015748031496,127.0,486.0,79.7,0.22399999999999998,0.0,0.004893964110929853
2015,Daryl Williams,OT,Oklahoma,6-5,327.0,5.34,26.0,27.0,97.0,,5.15,True,4.0,102.0,,35.0,0.061068702290076333,0.0,131.0,480.0,81.7,0.22699999999999998,0.0,0.006546644844517185
2016,Vadal Alexander,OT,LSU,6-5,326.0,5.57,24.0,25.0,95.0,8.04,4.9,True,7.0,234.0,,35.25,0.12396694214876033,0.0,121.0,472.0,83.6,0.32,0.557,0.011804384485666104
2016,Willie Beavers,OT,West. Michigan,6-5,321.0,5.28,25.5,20.0,103.0,7.96,4.71,True,4.0,121.0,,33.5,0.152317880794702,0.013245033112582781,151.0,421.0,68.1,0.24,0.627,0.01048951048951049
2016,Caleb Benenoch,OT,UCLA,6-5,311.0,4.98,28.0,,104.0,8.15,5.11,True,5.0,148.0,,34.12,0.10185185185185185,0.004629629629629629,216.0,423.0,86.3,0.423,0.47,0.012519561815336464
2016,Le'Raven Clark,OT,Texas Tech,6-5,316.0,5.16,,18.0,,,,True,3.0,82.0,,36.12,0.07547169811320754,0.0047169811320754715,212.0,357.0,86.9,0.207,0.555,0.008787346221441126
2016,Shon Coleman,OT,Auburn,6-5,307.0,5.18,,22.0,,,,True,3.0,76.0,,35.12,0.0625,0.017857142857142856,112.0,511.0,88.5,0.47600000000000003,0.319,0.0032102728731942215
2016,Jack Conklin,OT,Michigan State,6-6,308.0,5.0,30.0,25.0,103.0,7.63,4.57,True,1.0,8.0,,35.0,0.04819277108433735,0.006024096385542169,166.0,417.0,93.9,0.635,0.213,0.003430531732418525
2016,Fahn Cooper,OT,Mississippi,6-4,303.0,5.17,25.0,19.0,102.0,7.85,4.89,True,5.0,174.0,,34.75,0.05825242718446602,0.0,103.0,346.0,63.6,0.474,0.364,0.004454342984409799
2016,Joe Dahl,OT,Washington State,6-4,304.0,5.18,31.0,28.0,109.0,7.64,4.77,True,5.0,151.0,,33.12,0.050387596899224806,0.007751937984496124,258.0,180.0,82.3,0.244,0.556,0.0045662100456621
2016,Taylor Decker,OT,Ohio State,6-7,310.0,5.23,29.0,20.0,101.0,7.7,4.76,True,1.0,16.0,,33.75,0.047619047619047616,0.0,105.0,497.0,87.4,0.445,0.344,0.0049833887043189366
2016,Spencer Drango,OT,Baylor,6-6,315.0,5.27,27.0,30.0,100.0,7.88,4.66,True,5.0,168.0,,33.75,0.03278688524590164,0.0,61.0,599.0,90.9,0.441,0.337,0.006060606060606061
2016,Parker Ehinger,OT,Cincinnati,6-6,310.0,5.26,27.5,,97.0,,,True,4.0,105.0,,33.0,0.0759493670886076,0.008438818565400843,237.0,411.0,73.8,0.253,0.62,0.006172839506172839
2016,Joe Haeg,OT,North Dakota State,6-6,304.0,5.16,27.5,,111.0,7.47,4.47,True,5.0,155.0,,33.75,,,,,,,,
2016,Jerald Hawkins,OT,LSU,6-6,305.0,5.23,23.5,23.0,100.0,8.19,4.89,True,4.0,123.0,,34.25,0.10126582278481013,0.02531645569620253,79.0,424.0,82.0,0.314,0.573,0.005964214711729622
2016,Germain Ifedi,OT,Texas A&M,6-6,324.0,5.27,32.5,24.0,109.0,,4.75,True,1.0,31.0,,36.0,0.06666666666666667,0.01904761904761905,210.0,411.0,78.5,0.34299999999999997,0.496,0.008051529790660225
2016,Dominick Jackson,OT,Alabama,6-5,313.0,5.38,26.0,20.0,97.0,,,False,,,,33.0,0.05309734513274336,0.0,113.0,530.0,82.6,0.36200000000000004,0.534,0.00933125972006221
2016,Tyler Johnstone,OT,Oregon,6-5,301.0,5.21,30.5,24.0,104.0,7.31,4.6,False,,,,34.0,0.125,0.020833333333333332,96.0,503.0,72.9,0.35200000000000004,0.515,0.00333889816360601
2016,Denver Kirkland,OT,Arkansas,6-4,335.0,5.55,22.5,19.0,94.0,8.72,5.06,False,,,,34.62,0.125,0.013888888888888888,144.0,469.0,87.0,0.531,0.23199999999999998,0.0016313213703099511
2016,Alex Lewis,OT,Nebraska,6-6,312.0,5.22,29.5,27.0,100.0,7.94,4.72,True,4.0,130.0,,,0.04830917874396135,0.0,207.0,458.0,75.0,0.29,0.439,0.006015037593984963
2016,Tyler Marz,OT,Wisconsin,6-7,316.0,5.54,27.5,19.0,99.0,8.38,4.97,False,,,,33.5,0.058365758754863814,0.011673151750972763,257.0,458.0,84.8,0.67,0.19,0.004195804195804196
2016,Kyle Murphy,OT,Stanford,6-6,305.0,5.19,,23.0,,,,True,6.0,200.0,,33.5,0.059880239520958084,0.017964071856287425,167.0,532.0,88.6,0.7440000000000001,0.18600000000000003,0.002861230329041488
2016,Stephane Nembot,OT,Colorado,6-7,322.0,5.39,26.5,32.0,103.0,8.55,5.15,False,,,,34.62,0.09274193548387097,0.016129032258064516,248.0,442.0,77.7,0.46799999999999997,0.389,0.007246376811594203
2016,Rees Odhiambo,OT,Boise State,6-4,314.0,5.17,,23.0,,,,True,3.0,97.0,,33.25,0.09090909090909091,0.010101010101010102,99.0,248.0,74.7,0.536,0.32299999999999995,0.002881844380403458
2016,Dominique Robertson,OT,West Georgia,6-5,324.0,5.36,28.5,30.0,100.0,8.42,4.83,False,,,,36.0,,,,,,,,
2016,Brandon Shell,OT,South Carolina,6-5,324.0,5.22,30.5,22.0,112.0,,,True,5.0,158.0,,34.75,0.03205128205128205,0.0,156.0,367.0,73.9,0.332,0.474,0.0038240917782026767
2016,Pearce Slater,OT,San Diego State,6-7,329.0,5.42,23.0,17.0,92.0,8.36,5.12,False,,,,35.25,0.13131313131313133,0.04040404040404041,99.0,614.0,88.6,0.586,0.233,0.009817671809256662
2016,Jason Spriggs,OT,Indiana,6-6,301.0,4.94,31.5,31.0,115.0,7.7,4.44,True,2.0,48.0,,34.12,0.032679738562091505,0.006535947712418301,153.0,567.0,81.0,0.282,0.617,0.001388888888888889
2016,Ronnie Stanley,OT,Notre Dame,6-6,312.0,5.2,28.5,,,8.03,4.9,True,1.0,6.0,,35.62,0.03184713375796178,0.006369426751592357,157.0,391.0,87.4,0.368,0.491,0.010948905109489052
2016,John Theus,OT,Georgia,6-6,313.0,5.22,28.0,,103.0,7.9,4.78,True,5.0,145.0,,34.5,0.05970149253731343,0.014925373134328358,134.0,454.0,80.1,0.33,0.5770000000000001,0.006802721088435374
2016,Joe Thuney,OT,North Carolina State,6-5,304.0,4.95,28.5,28.0,110.0,7.47,4.54,True,3.0,78.0,,32.25,0.020942408376963352,0.010471204188481676,191.0,437.0,92.5,0.165,0.59,0.006369426751592357
2016,Cole Toner,OT,Harvard,6-5,306.0,5.32,26.0,22.0,103.0,7.88,4.59,True,5.0,170.0,,33.12,,,,,,,,
2016,Laremy Tunsil,OT,Mississippi,6-5,310.0,5.23,,,,,,True,1.0,13.0,,34.25,0.09433962264150944,0.0,53.0,172.0,90.6,0.5,0.384,0.0044444444444444444
2016,Halapoulivaati Vaitai,OT,TCU,6-6,320.0,5.26,29.0,23.0,113.0,8.26,5.0,True,5.0,164.0,,34.25,,,,,,,,
2016,Cody Whitehair,OT,Kansas State,6-4,301.0,5.02,25.5,16.0,110.0,7.32,4.58,True,2.0,56.0,,32.38,0.042682926829268296,0.006097560975609756,164.0,468.0,94.7,0.42700000000000005,0.308,0.004746835443037975
2016,Avery Young,OT,Auburn,6-5,328.0,5.39,,,,8.22,4.91,False,,,,33.75,0.08490566037735849,0.0,106.0,512.0,72.9,0.469,0.33,0.008090614886731391
2017,Adam Bisnowaty,OT,Pittsburgh,6-6,304.0,5.23,29.5,23.0,96.0,8.02,4.94,True,6.0,200.0,4.46,33.88,0.0967741935483871,0.010752688172043012,93.0,489.0,76.1,0.184,0.503,0.006872852233676976
2017,Garrett Bolles,OT,Utah,6-5,297.0,4.95,28.0,,115.0,7.29,4.55,True,1.0,20.0,9.46,,,,,,,,,
2017,Daniel Brunskill,OT,San Diego State,6-5,273.0,,28.0,17.0,106.0,7.9,4.84,False,,,4.24,33.88,0.07692307692307693,0.0,91.0,561.0,85.8,0.522,0.321,0.006134969325153374
2017,Collin Buchanan,OT,Miami (OH),6-5,316.0,,25.0,23.0,97.0,,,False,,,,32.38,0.0457516339869281,0.006535947712418301,153.0,364.0,61.0,0.319,0.613,0.0
2017,Julien Davenport,OT,Bucknell,6-7,318.0,5.45,27.0,18.0,106.0,7.57,4.69,False,,,5.17,36.5,,,,,,,,
2017,J.J. Dielman,OT,Utah,6-5,309.0,,,27.0,,,,True,5.0,176.0,,32.25,,,,,,,,
2017,Antonio Garcia,OT,Troy,6-6,302.0,5.15,31.0,24.0,108.0,7.98,4.94,True,3.0,85.0,7.28,33.38,0.039473684210526314,0.0,152.0,415.0,64.6,0.27699999999999997,0.59,0.010582010582010581
2017,Will Holden,OT,Vanderbilt,6-7,311.0,5.47,28.0,23.0,111.0,7.71,4.72,True,5.0,157.0,,33.25,0.09090909090909091,0.02727272727272727,220.0,448.0,83.3,0.415,0.509,0.0014970059880239522
2017,Roderick Johnson,OT,Florida State,6-7,298.0,,,,,,,True,5.0,160.0,7.36,36.0,0.049773755656108594,0.00904977375565611,221.0,441.0,73.9,0.311,0.594,0.006042296072507553
2017,Javarius Leamon,OT,South Carolina State,6-7,332.0,,23.5,22.0,,,,False,,,2.18,35.25,,,,,,,,
2017,Conor McDermott,OT,UCLA,6-8,307.0,5.18,28.5,,105.0,7.52,4.58,True,6.0,211.0,8.7,34.75,0.05,0.007692307692307693,260.0,302.0,75.0,0.371,0.563,0.0035587188612099642
2017,Taylor Moton,OT,West. Michigan,6-5,319.0,5.18,30.5,23.0,109.0,7.73,4.58,True,2.0,64.0,8.47,34.12,0.035211267605633804,0.0,142.0,561.0,81.1,0.21899999999999997,0.722,0.005689900426742532
2017,Ryan Ramczyk,OT,Wisconsin,6-6,310.0,,,25.0,,,,True,1.0,32.0,,33.75,0.02531645569620253,0.0,158.0,605.0,91.4,0.539,0.293,0.0
