Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,avg_depth_of_target,attempts,dropbacks
2015,Bryan Bennett,QB,SE Louisiana,74.0,211.0,4.81,37.0,,125.0,7.13,4.2,False,,,,,,,,,,,,,,,,
2015,Anthony Boone,QB,Duke,72.0,231.0,5.03,26.5,,100.0,7.47,4.62,False,,,,,13.0,3.6,4.3,5.9,79.7,9.7,2.1,-0.12,42.1,8.6,456.0,475.0
2015,Brandon Bridge,QB,South Alabama,76.0,229.0,4.72,33.0,,110.0,7.18,4.37,False,,,,,11.0,5.8,4.6,6.2,76.0,19.1,6.3,-0.18,41.6,12.4,310.0,351.0
2015,Shane Carden,QB,East Carolina,74.0,218.0,4.94,29.5,,104.0,7.17,4.45,False,,,,,13.0,2.9,2.2,7.6,95.5,14.5,4.8,0.14,50.5,8.9,624.0,683.0
2015,Cody Fajardo,QB,Nevada,73.0,223.0,4.63,32.5,,118.0,6.95,4.1,False,,,,,13.0,2.9,4.6,6.2,80.4,18.8,4.6,-0.09,46.9,9.6,403.0,455.0
2015,Garrett Grayson,QB,Colorado State,74.0,213.0,4.75,,,,,,True,3.0,75.0,,,13.0,5.9,3.6,9.5,113.6,20.0,5.9,0.25,47.2,10.1,423.0,476.0
2015,Connor Halliday,QB,Washington State,75.0,204.0,4.87,,,,,,False,,,,,9.0,5.3,3.6,7.3,99.7,20.2,3.6,0.01,47.0,7.4,525.0,551.0
2015,Brett Hundley,QB,UCLA,75.0,226.0,4.63,36.0,,120.0,6.93,3.98,True,5.0,147.0,,,13.0,4.1,3.1,7.9,105.2,31.3,8.3,0.09,47.8,7.7,396.0,492.0
2015,Jerry Lovelocke,QB,Prairie View,76.0,248.0,4.99,31.5,,113.0,7.3,4.51,False,,,,,,,,,,,,,,,,
2015,Sean Mannion,QB,Oregon State,78.0,229.0,5.14,31.0,,105.0,7.29,4.39,True,3.0,89.0,,,12.0,5.6,3.0,6.9,86.2,24.5,7.2,-0.17,43.5,8.9,456.0,499.0
2015,Marcus Mariota,QB,Oregon,76.0,222.0,4.52,36.0,,121.0,6.87,4.11,True,1.0,2.0,,,15.0,5.5,2.6,10.0,128.5,23.9,6.2,0.39,53.0,9.8,444.0,513.0
2015,Bryce Petty,QB,Baylor,75.0,230.0,4.87,34.0,,121.0,6.91,4.13,True,4.0,103.0,,,12.0,5.8,2.4,9.0,107.5,22.7,4.7,0.16,49.7,12.0,430.0,470.0
2015,Blake Sims,QB,Alabama,71.0,218.0,4.57,30.5,,115.0,,,False,,,,,14.0,4.2,2.6,8.9,105.8,14.1,3.2,0.27,51.9,9.5,391.0,444.0
2015,Jameis Winston,QB,Florida State,76.0,231.0,4.97,28.5,,103.0,7.16,4.36,True,1.0,1.0,,,13.0,4.2,3.4,8.3,93.1,12.2,3.5,0.22,54.1,8.8,467.0,508.0
2016,Vernon Adams,QB,Oregon,71.0,200.0,4.83,29.5,,114.0,6.82,4.2,False,,,,,10.0,7.4,4.0,10.2,122.5,20.8,8.0,0.35,52.1,11.6,259.0,311.0
2016,Brandon Allen,QB,Arkansas,73.0,217.0,4.84,28.0,,110.0,7.06,4.33,True,6.0,201.0,,,13.0,6.3,3.9,9.3,113.6,11.0,3.7,0.38,52.8,9.5,370.0,405.0
2016,Trevone Boykin,QB,TCU,72.0,212.0,4.77,32.0,,110.0,,4.4,False,,,,,11.0,6.2,4.4,9.0,109.1,10.9,2.2,0.28,50.9,11.0,397.0,447.0
2016,Jacoby Brissett,QB,North Carolina State,76.0,231.0,4.94,31.0,,113.0,7.17,4.53,True,3.0,91.0,,,13.0,4.4,2.9,6.7,90.0,22.2,7.9,-0.04,39.8,9.0,398.0,471.0
2016,Connor Cook,QB,Michigan State,76.0,217.0,4.79,33.0,,113.0,7.21,4.28,True,4.0,100.0,,,13.0,7.6,3.9,7.6,92.4,11.6,3.6,0.19,45.5,11.1,412.0,440.0
2016,Brandon Doughty,QB,Western Kentucky,75.0,213.0,5.22,27.0,,103.0,7.49,4.52,True,7.0,223.0,,,14.0,4.3,2.4,9.3,122.4,9.6,2.6,0.38,54.1,8.0,545.0,567.0
2016,Jeff Driskel,QB,Louisiana Tech,76.0,234.0,4.56,32.0,,122.0,7.19,4.25,True,6.0,207.0,,,13.0,6.2,2.7,9.0,104.2,13.8,4.1,0.24,50.5,11.0,450.0,491.0
2016,Jared Goff,QB,California,76.0,215.0,4.82,27.0,,110.0,7.17,4.47,True,1.0,1.0,,,13.0,6.4,3.9,8.9,109.2,15.1,4.5,0.27,52.4,10.4,531.0,580.0
2016,Christian Hackenberg,QB,Penn State,76.0,223.0,4.78,31.0,,114.0,7.04,4.33,True,2.0,51.0,,,13.0,3.2,2.7,7.0,83.1,22.0,8.8,-0.13,38.2,9.3,362.0,420.0
2016,Kevin Hogan,QB,Stanford,75.0,218.0,4.78,32.5,,113.0,6.9,4.31,True,5.0,162.0,,,14.0,6.1,4.6,9.2,114.1,17.8,5.5,0.3,54.2,10.0,306.0,346.0
2016,Cardale Jones,QB,Ohio State,77.0,253.0,4.81,36.0,,,,,True,4.0,139.0,,,10.0,3.3,6.2,8.2,91.3,19.4,6.9,-0.05,44.6,10.0,176.0,202.0
2016,Cody Kessler,QB,USC,73.0,220.0,4.89,29.5,,104.0,7.32,4.0,True,3.0,93.0,,,14.0,3.6,1.9,7.9,105.7,21.0,7.6,0.15,47.4,8.3,447.0,500.0
2016,Paxton Lynch,QB,Memphis,79.0,244.0,4.86,36.0,,118.0,7.14,4.26,True,1.0,26.0,,,13.0,3.8,2.5,8.6,110.9,11.5,3.3,0.28,49.9,7.9,443.0,479.0
2016,Dak Prescott,QB,Mississippi State,74.0,226.0,4.79,32.5,,116.0,7.11,4.32,True,4.0,135.0,,,13.0,4.3,4.2,7.9,105.7,17.6,5.9,0.16,49.4,8.0,480.0,529.0
2016,Joel Stave,QB,Wisconsin,77.0,236.0,4.8,33.5,,115.0,7.29,4.33,False,,,,,13.0,5.1,5.0,7.3,80.5,17.2,5.7,-0.07,47.6,9.8,371.0,401.0
2016,Nate Sudfeld,QB,Indiana,78.0,234.0,5.02,29.0,,105.0,,,True,6.0,187.0,,,12.0,5.8,4.0,8.7,102.7,11.4,2.7,0.22,48.3,10.3,413.0,438.0
2016,Carson Wentz,QB,North Dakota State,77.0,237.0,4.77,30.5,,118.0,6.86,4.15,True,1.0,2.0,,,,,,,,,,,,,,
2016,Josh Woodrum,QB,Liberty,75.0,231.0,4.8,31.0,,116.0,6.74,4.31,False,,,,,,,,,,,,,,,,
2017,C.J. Beathard,QB,Iowa,74.0,219.0,,31.0,,113.0,,,True,3.0,104.0,7.67,,13.0,4.2,3.3,6.3,80.0,20.9,8.1,-0.14,38.7,7.1,304.0,357.0
2017,Joshua Dobbs,QB,Tennessee,75.0,216.0,4.64,33.0,,122.0,6.75,4.31,True,4.0,135.0,,,13.0,4.3,4.2,8.2,99.3,16.3,6.0,0.05,46.4,8.6,360.0,418.0
2017,Jerod Evans,QB,Virginia Tech,75.0,232.0,4.8,26.5,,112.0,,4.41,False,,,5.91,,14.0,5.6,3.3,8.3,104.0,31.6,7.2,0.14,48.7,10.6,427.0,499.0
2017,Brad Kaaya,QB,Miami (FL),76.0,214.0,,,,,,,True,6.0,215.0,,,13.0,4.6,2.6,8.4,102.9,23.3,5.3,0.13,46.2,9.5,422.0,452.0
2017,DeShone Kizer,QB,Notre Dame,76.0,233.0,4.83,30.5,,107.0,7.4,4.53,True,2.0,52.0,4.99,,12.0,5.0,4.4,8.1,98.2,19.8,5.8,0.1,45.8,11.1,363.0,413.0
2017,Trevor Knight,QB,Texas A&M,73.0,219.0,4.54,35.5,,125.0,7.04,4.14,False,,,9.52,,11.0,3.7,4.5,6.7,83.9,11.0,3.5,-0.01,41.4,9.8,362.0,401.0
2017,Mitch Leidner,QB,Minnesota,75.0,226.0,4.93,34.5,,123.0,6.96,4.25,False,,,8.61,,12.0,3.4,4.9,7.0,70.0,12.1,4.8,-0.08,43.3,10.4,313.0,353.0
2017,Sefo Liufau,QB,Colorado,75.0,232.0,5.08,27.0,,105.0,7.32,4.45,False,,,2.55,,12.0,5.3,2.5,7.4,88.9,16.1,6.1,0.02,43.7,8.4,320.0,375.0
2017,Patrick Mahomes,QB,Texas Tech,74.0,225.0,4.8,30.0,,114.0,6.88,4.08,True,1.0,10.0,8.22,,12.0,6.6,3.9,8.5,107.9,10.2,3.7,0.31,51.0,9.3,595.0,669.0
2017,Nathan Peterman,QB,Pittsburgh,74.0,226.0,4.82,31.0,,110.0,7.14,4.31,True,5.0,171.0,6.88,,13.0,8.1,4.6,9.2,109.5,11.3,3.0,0.31,49.6,9.7,311.0,363.0
2017,Cooper Rush,QB,Central Michigan,75.0,228.0,4.93,27.0,,105.0,7.23,4.47,False,,,2.92,,13.0,5.7,3.4,7.6,85.7,21.2,7.3,0.03,43.5,9.8,465.0,524.0
2017,Seth Russell,QB,Baylor,75.0,213.0,,,,,,,False,,,,,9.0,4.5,4.9,7.6,90.8,27.9,3.8,0.14,45.7,11.9,280.0,315.0
2017,Mitchell Trubisky,QB,North Carolina,74.0,222.0,4.67,27.5,,116.0,6.87,4.25,True,1.0,2.0,8.51,,,,,,,,,,,,,
2017,Deshaun Watson,QB,Clemson,74.0,221.0,4.66,32.5,,119.0,6.95,4.31,True,1.0,12.0,9.24,,15.0,5.1,3.0,7.9,102.1,11.1,2.9,0.18,52.9,9.2,580.0,628.0
2017,Davis Webb,QB,California,77.0,229.0,4.79,33.0,,118.0,6.92,4.21,True,3.0,87.0,9.39,,12.0,5.1,4.1,6.9,94.1,11.8,2.5,0.1,44.4,8.9,620.0,642.0
2018,Austin Allen,QB,Arkansas,72.0,210.0,4.81,29.5,,112.0,7.18,4.48,False,,,4.22,,8.0,4.0,3.0,7.4,86.0,19.4,8.4,0.02,40.9,10.7,189.0,225.0
2018,Josh Allen,QB,Wyoming,77.0,237.0,4.75,33.5,,119.0,6.9,4.4,True,1.0,7.0,9.67,,11.0,6.1,4.9,6.7,87.1,17.1,7.0,-0.02,40.0,11.6,271.0,315.0
2018,J.T. Barrett,QB,Ohio State,73.0,224.0,4.7,30.0,,108.0,7.38,4.44,False,,,5.72,,14.0,5.5,2.9,8.2,111.3,15.5,4.7,0.18,48.6,9.8,373.0,424.0
2018,Kurt Benkert,QB,Virginia,75.0,218.0,4.95,31.0,16.0,112.0,7.15,4.33,False,,,5.82,,13.0,4.5,5.0,6.3,85.1,22.2,5.6,-0.13,39.0,8.8,511.0,572.0
2018,Sam Darnold,QB,USC,75.0,221.0,4.85,26.5,,105.0,6.96,4.4,True,1.0,3.0,5.61,,14.0,7.0,5.4,8.6,96.8,16.6,5.2,0.18,49.9,10.9,483.0,541.0
2018,Danny Etling,QB,LSU,74.0,222.0,4.76,30.5,,114.0,7.09,4.37,True,7.0,219.0,8.31,,13.0,5.2,3.5,8.9,105.0,19.8,7.3,0.1,42.2,11.4,277.0,327.0
2018,Luke Falk,QB,Washington State,76.0,215.0,,26.5,,103.0,,,True,6.0,199.0,,,12.0,3.2,4.5,6.7,94.2,25.6,6.7,-0.04,44.3,7.0,535.0,601.0
2018,Riley Ferguson,QB,Memphis,75.0,212.0,4.98,29.0,,110.0,6.96,4.4,False,,,2.37,,13.0,3.8,4.1,9.0,110.6,14.6,3.8,0.3,48.8,9.6,475.0,506.0
2018,Quinton Flowers,QB,South Florida,70.0,214.0,4.63,,,112.0,6.81,4.57,False,,,4.33,,12.0,6.5,3.3,8.2,96.2,14.2,4.0,0.23,42.2,13.0,355.0,429.0
2018,Lamar Jackson,QB,Louisville,74.0,216.0,,,,,,,True,1.0,32.0,,,13.0,4.0,3.7,8.5,97.9,17.9,6.4,0.22,49.2,11.4,430.0,514.0
2018,Kyle Lauletta,QB,Richmond,75.0,222.0,4.81,31.0,,113.0,6.95,4.07,True,4.0,108.0,8.35,,,,,,,,,,,,,
2018,Tanner Lee,QB,Nebraska,76.0,218.0,4.98,32.0,,115.0,7.0,4.41,True,6.0,203.0,6.29,,12.0,4.1,5.7,7.3,82.7,11.6,4.4,-0.02,42.1,10.6,428.0,456.0
2018,Chase Litton,QB,Marshall,77.0,230.0,4.9,29.5,,106.0,7.49,4.53,False,,,3.9,,13.0,6.2,3.8,7.0,87.0,9.2,2.8,0.1,45.6,10.1,443.0,472.0
2018,Baker Mayfield,QB,Oklahoma,73.0,215.0,4.84,29.0,,111.0,7.0,4.28,True,1.0,1.0,4.71,,14.0,7.3,3.1,11.4,137.5,20.3,5.6,0.48,55.8,11.2,406.0,462.0
2018,Josh Rosen,QB,UCLA,76.0,226.0,4.92,31.0,,111.0,7.09,4.28,True,1.0,10.0,6.88,,11.0,5.7,4.3,8.3,98.6,18.2,5.3,0.14,48.3,8.8,453.0,489.0
2018,Mason Rudolph,QB,Oklahoma State,77.0,235.0,4.9,26.0,,,,,True,3.0,76.0,4.06,,13.0,5.5,3.6,10.0,115.6,19.5,4.5,0.35,51.0,12.1,490.0,529.0
2018,Nic Shimonek,QB,Texas Tech,75.0,220.0,4.88,28.5,,101.0,7.28,4.32,False,,,3.74,,13.0,5.4,3.4,8.0,104.9,17.5,5.2,0.12,47.3,7.7,492.0,537.0
2018,Mike White,QB,Western Kentucky,77.0,224.0,5.09,27.0,,96.0,7.4,4.4,True,5.0,171.0,2.2,,13.0,4.8,3.0,7.5,97.5,23.0,7.3,0.06,47.8,9.2,560.0,613.0
2018,Logan Woodside,QB,Toledo,73.0,213.0,4.79,31.5,,103.0,6.94,4.15,True,7.0,249.0,6.03,,14.0,5.5,3.7,9.4,109.3,17.6,5.3,0.21,49.3,11.1,413.0,456.0
2019,Jake Browning,QB,Washington,74.0,211.0,4.74,29.0,,112.0,7.19,4.44,False,,,5.7,,14.0,3.9,4.2,8.2,92.8,11.3,4.0,0.14,47.0,8.6,391.0,449.0
2019,Ryan Finley,QB,North Carolina State,76.0,213.0,4.73,30.5,,116.0,7.2,4.2,True,4.0,104.0,7.82,,13.0,5.8,3.0,8.1,99.7,11.4,2.6,0.24,52.0,10.2,484.0,506.0
2019,Nick Fitzgerald,QB,Mississippi State,77.0,226.0,4.64,29.5,,115.0,,,False,,,7.57,,12.0,3.7,4.9,6.3,76.9,21.6,7.6,-0.19,37.0,10.8,281.0,330.0
2019,Will Grier,QB,West Virginia,74.0,217.0,4.84,34.0,,112.0,7.09,4.28,True,3.0,100.0,7.19,,11.0,7.9,3.0,9.7,121.2,24.0,5.3,0.33,53.1,10.7,397.0,437.0
2019,Dwayne Haskins,QB,Ohio State,75.0,231.0,5.04,28.5,,,,,True,1.0,15.0,3.47,,14.0,4.2,2.9,9.0,122.9,15.6,3.7,0.32,52.3,8.6,535.0,587.0
2019,Tyree Jackson,QB,Buffalo,79.0,249.0,4.59,34.5,,120.0,7.09,4.28,False,,,9.95,,14.0,6.5,4.3,7.7,90.8,14.3,3.6,0.14,42.4,13.8,406.0,448.0
2019,Daniel Jones,QB,Duke,77.0,221.0,4.81,33.5,,120.0,7.0,4.41,True,1.0,6.0,8.12,,11.0,4.7,3.5,6.8,89.6,18.4,6.6,-0.04,42.2,8.7,393.0,441.0
2019,Drew Lock,QB,Missouri,76.0,228.0,4.69,31.0,,112.0,7.03,4.12,True,2.0,42.0,9.37,,13.0,7.0,2.0,8.0,101.3,11.7,2.6,0.11,47.5,9.3,438.0,463.0
2019,Trace McSorley,QB,Penn State,72.0,202.0,4.57,33.0,,115.0,7.09,4.12,True,6.0,197.0,8.29,,13.0,6.3,2.4,7.0,83.8,20.5,6.2,-0.11,39.4,11.2,360.0,437.0
2019,Gardner Minshew,QB,Washington State,73.0,225.0,4.97,33.5,,116.0,7.14,4.45,True,6.0,178.0,5.93,,13.0,3.3,1.8,7.2,104.2,7.1,1.7,0.2,49.4,6.3,664.0,708.0
2019,Kyler Murray,QB,Oklahoma,70.0,207.0,,,,,,,True,1.0,1.0,,,14.0,7.3,2.2,11.6,137.2,17.2,3.9,0.63,58.6,11.7,377.0,435.0
2019,Brett Rypien,QB,Boise State,74.0,210.0,4.91,33.0,,116.0,7.1,4.29,False,,,5.74,,13.0,7.4,4.0,8.3,108.1,21.9,6.5,0.22,49.7,11.0,449.0,509.0
2019,Kyle Shurmur,QB,Vanderbilt,76.0,230.0,4.91,29.5,,106.0,7.51,4.53,False,,,4.24,,13.0,2.8,3.8,7.6,98.7,13.8,4.3,0.01,44.4,9.1,412.0,446.0
2019,Easton Stick,QB,North Dakota State,73.0,224.0,4.62,33.5,,118.0,6.65,4.05,True,5.0,166.0,9.46,,,,,,,,,,,,,
2019,Jarrett Stidham,QB,Auburn,74.0,218.0,4.81,31.0,,110.0,7.28,4.33,True,4.0,133.0,5.43,,13.0,4.4,3.7,7.5,94.1,18.9,5.7,-0.04,39.9,8.3,372.0,419.0
