Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,attempts,yards,yards_after_contact,yco_attempt,ypa,touchdowns,total_touches,explosive,first_downs,fumbles,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,elusive_rating,elu_rush_mtf,mtf_per_attempt,explosive_rate,yprr,targets,routes,targets_per_route,fumble_rate
2015,Ameer Abdullah,RB,Nebraska,,205.0,4.6,42.5,24.0,130.0,6.79,3.95,True,2.0,54.0,,,263.0,1614.0,810.0,3.08,6.1,19.0,285.0,45.0,4.0,2.0,57.0,25.0,45.9,741.0,71.3,57.0,0.21673003802281368,0.17110266159695817,1.19,32.0,227.0,0.14096916299559473,0.007017543859649123
2015,Jay Ajayi,RB,Boise State,,221.0,4.57,39.0,19.0,121.0,7.1,4.1,True,5.0,149.0,,,348.0,1816.0,1168.0,3.36,5.2,28.0,398.0,46.0,1.0,7.0,51.0,27.0,39.6,719.0,51.4,51.0,0.14655172413793102,0.13218390804597702,1.54,56.0,346.0,0.16184971098265896,0.017587939698492462
2015,Javorius Allen,RB,USC,,221.0,4.53,35.5,11.0,121.0,6.96,4.28,True,4.0,125.0,,,275.0,1481.0,715.0,2.6,5.4,11.0,317.0,44.0,2.0,2.0,44.0,20.0,35.7,528.0,41.0,44.0,0.16,0.16,1.71,52.0,270.0,0.1925925925925926,0.006309148264984227
2015,Cameron Artis-Payne,RB,Auburn,,212.0,4.53,36.5,,118.0,7.13,,True,5.0,174.0,,,302.0,1597.0,886.0,2.93,5.3,13.0,315.0,45.0,2.0,2.0,62.0,21.0,32.4,518.0,60.5,62.0,0.2052980132450331,0.1490066225165563,0.79,16.0,185.0,0.08648648648648649,0.006349206349206349
2015,Dominique Brown,RB,Louisville,,234.0,4.63,,17.0,,,,False,,,,,96.0,379.0,217.0,2.26,3.9,4.0,102.0,8.0,0.0,2.0,15.0,4.0,22.4,85.0,35.5,15.0,0.15625,0.08333333333333333,0.85,10.0,82.0,0.12195121951219512,0.0196078431372549
2015,Malcolm Brown,RB,Texas,,224.0,4.62,34.5,19.0,117.0,6.86,4.15,False,,,,,184.0,710.0,435.0,2.36,3.9,6.0,200.0,22.0,0.0,1.0,20.0,8.0,24.1,171.0,24.8,20.0,0.10869565217391304,0.11956521739130435,0.32,21.0,180.0,0.11666666666666667,0.005
2015,B.J. Catalon,RB,TCU,,186.0,4.57,36.0,,114.0,6.9,4.15,False,,,,,97.0,495.0,194.0,2.0,5.1,10.0,111.0,17.0,0.0,1.0,27.0,10.0,44.0,218.0,54.1,27.0,0.27835051546391754,0.17525773195876287,0.9,25.0,181.0,0.13812154696132597,0.009009009009009009
2015,David Cobb,RB,Minnesota,,229.0,4.81,38.5,17.0,121.0,,,True,5.0,138.0,,,312.0,1625.0,966.0,3.1,5.2,13.0,328.0,48.0,2.0,5.0,61.0,20.0,30.7,499.0,59.5,61.0,0.1955128205128205,0.15384615384615385,1.16,21.0,140.0,0.15,0.01524390243902439
2015,Tevin Coleman,RB,Indiana,,206.0,4.4,,22.0,,,,True,3.0,73.0,,,270.0,2027.0,1086.0,4.02,7.5,15.0,295.0,46.0,3.0,5.0,50.0,29.0,57.0,1156.0,73.6,50.0,0.18518518518518517,0.17037037037037037,0.88,31.0,161.0,0.19254658385093168,0.01694915254237288
2015,John Crockett,RB,North Dakota State,,217.0,4.62,40.0,15.0,125.0,7.15,4.25,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Mike Davis,RB,South Carolina,,217.0,4.61,34.0,17.0,116.0,7.0,4.18,True,4.0,126.0,,,199.0,977.0,498.0,2.5,4.9,9.0,231.0,25.0,2.0,3.0,28.0,15.0,33.2,324.0,35.8,28.0,0.1407035175879397,0.12562814070351758,1.67,41.0,220.0,0.18636363636363637,0.012987012987012988
2015,Michael Dyer,RB,Louisville,,218.0,4.58,34.0,26.0,120.0,,,False,,,,,109.0,487.0,245.0,2.25,4.5,5.0,112.0,15.0,1.0,1.0,18.0,7.0,33.7,164.0,38.1,18.0,0.1651376146788991,0.13761467889908258,0.56,6.0,71.0,0.08450704225352113,0.008928571428571428
2015,Jahwan Edwards,RB,Ball State,,220.0,4.8,35.5,16.0,117.0,7.63,4.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Melvin Gordon,RB,Wisconsin,,215.0,4.52,35.0,19.0,126.0,7.04,4.07,True,1.0,15.0,,,343.0,2593.0,1229.0,3.58,7.6,29.0,362.0,60.0,1.0,8.0,74.0,40.0,56.7,1469.0,77.2,74.0,0.21574344023323616,0.1749271137026239,0.81,24.0,190.0,0.12631578947368421,0.022099447513812154
2015,Todd Gurley,RB,Georgia,,222.0,4.52,,17.0,,,,True,1.0,10.0,,,123.0,911.0,484.0,3.93,7.4,9.0,135.0,32.0,3.0,0.0,37.0,15.0,48.4,441.0,116.6,37.0,0.3008130081300813,0.2601626016260163,0.78,12.0,74.0,0.16216216216216217,0.0
2015,Dee Hart,RB,Colorado State,,199.0,4.8,33.0,,113.0,7.2,4.38,False,,,,,192.0,1244.0,627.0,3.27,6.5,16.0,211.0,36.0,4.0,4.0,52.0,18.0,43.4,540.0,86.7,52.0,0.2708333333333333,0.1875,1.01,27.0,189.0,0.14285714285714285,0.018957345971563982
2015,Braylon Heard,RB,Kentucky,,198.0,4.63,30.5,19.0,116.0,7.19,4.4,False,,,,,74.0,363.0,165.0,2.23,4.9,4.0,95.0,7.0,1.0,1.0,6.0,4.0,46.6,169.0,21.1,6.0,0.08108108108108109,0.0945945945945946,0.56,27.0,194.0,0.13917525773195877,0.010526315789473684
2015,Kenny Hilliard,RB,LSU,,226.0,4.83,27.0,,111.0,7.17,4.4,True,7.0,235.0,,,90.0,445.0,231.0,2.57,4.9,6.0,94.0,8.0,1.0,1.0,14.0,6.0,27.4,122.0,41.0,14.0,0.15555555555555556,0.08888888888888889,1.09,4.0,32.0,0.125,0.010638297872340425
2015,Gus Johnson,RB,Stephen F. Austin,,215.0,4.7,36.5,26.0,120.0,7.09,4.13,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,David Johnson,RB,New Mexico,,224.0,4.5,41.5,25.0,127.0,6.82,4.27,True,3.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Duke Johnson,RB,Miami (FL),,207.0,4.54,33.5,,121.0,,,True,3.0,77.0,,,241.0,1641.0,848.0,3.52,6.8,10.0,280.0,50.0,2.0,3.0,39.0,31.0,50.3,826.0,67.9,39.0,0.16182572614107885,0.2074688796680498,1.68,56.0,250.0,0.224,0.010714285714285714
2015,Matt Jones,RB,Florida,,231.0,4.61,31.5,20.0,112.0,,4.2,True,3.0,95.0,,,166.0,817.0,454.0,2.73,4.9,6.0,177.0,22.0,1.0,3.0,29.0,12.0,34.1,279.0,44.8,29.0,0.1746987951807229,0.13253012048192772,0.6,19.0,108.0,0.17592592592592593,0.01694915254237288
2015,Jeremy Langford,RB,Michigan State,,208.0,4.42,34.5,,118.0,7.22,4.32,True,4.0,106.0,,,275.0,1523.0,802.0,2.92,5.5,22.0,286.0,36.0,1.0,2.0,34.0,22.0,38.3,583.0,36.7,34.0,0.12363636363636364,0.13090909090909092,0.38,21.0,168.0,0.125,0.006993006993006993
2015,Terrence Magee,RB,LSU,,213.0,4.62,37.0,22.0,115.0,7.52,4.37,False,,,,,112.0,574.0,272.0,2.43,5.1,3.0,129.0,15.0,2.0,1.0,22.0,7.0,32.4,186.0,54.6,22.0,0.19642857142857142,0.13392857142857142,1.68,21.0,102.0,0.20588235294117646,0.007751937984496124
2015,Marcus Murphy,RB,Missouri,,198.0,4.61,29.0,11.0,109.0,,4.4,True,7.0,230.0,,,177.0,924.0,531.0,3.0,5.2,4.0,205.0,29.0,0.0,1.0,33.0,16.0,36.8,340.0,55.6,33.0,0.1864406779661017,0.1638418079096045,1.07,42.0,199.0,0.21105527638190955,0.004878048780487805
2015,Thomas Rawls,RB,Central Michigan,,215.0,4.65,35.5,15.0,116.0,,,False,,,,,210.0,1106.0,626.0,2.98,5.3,10.0,220.0,31.0,0.0,2.0,34.0,15.0,32.1,355.0,52.8,34.0,0.1619047619047619,0.14761904761904762,0.82,12.0,114.0,0.10526315789473684,0.00909090909090909
2015,Josh Robinson,RB,Mississippi State,,217.0,4.7,32.0,21.0,113.0,,,True,6.0,205.0,,,190.0,1215.0,673.0,3.54,6.4,11.0,218.0,39.0,0.0,2.0,48.0,20.0,44.5,541.0,94.2,48.0,0.25263157894736843,0.20526315789473684,1.39,39.0,267.0,0.14606741573033707,0.009174311926605505
2015,Karlos Williams,RB,Florida State,,230.0,4.48,33.5,16.0,117.0,7.16,4.46,True,5.0,155.0,,,150.0,685.0,399.0,2.66,4.6,12.0,179.0,24.0,1.0,2.0,22.0,8.0,25.1,172.0,37.2,22.0,0.14666666666666667,0.16,1.23,32.0,216.0,0.14814814814814814,0.0111731843575419
