Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
2015,Adrian Amos,S,Penn State,6-0,218.0,4.56,35.5,,122.0,7.09,4.03,True,5.0,142.0,,32.25,4.5,4.3,49.0,2.2,15.4,5.0,376.0,0.0,0.3,12.8,422.0,89.6,3.0,5.0,10.6,0.0071090047393364926,0.011848341232227487,13.0,35.9,10.8
2015,Detrick Bonner,S,Virginia Tech,6-0,207.0,4.56,,15.0,,,,False,,,,31.25,5.9,2.7,37.0,3.5,32.6,9.0,412.0,1.0,0.7,5.6,435.0,92.2,1.0,2.0,11.6,0.0022988505747126436,0.004597701149425287,72.6,47.2,9.9
2015,Ibraheim Campbell,S,Northwestern,5-11,208.0,4.52,,23.0,,,,True,4.0,115.0,,30.38,,0.0,1.0,4.1,10.5,6.0,243.0,2.0,0.7,9.1,258.0,99.6,3.0,2.0,11.4,0.011627906976744186,0.007751937984496124,90.5,63.6,13.1
2015,Landon Collins,S,Alabama,6-0,228.0,4.53,35.0,,120.0,7.38,4.33,True,2.0,33.0,,31.5,13.3,12.1,33.0,4.9,8.7,4.6,368.0,0.0,0.6,10.3,504.0,93.9,3.0,6.0,8.4,0.005952380952380952,0.011904761904761904,61.6,63.8,7.2
2015,Kurtis Drummond,S,Michigan State,6-1,208.0,4.65,39.5,,119.0,7.09,4.33,False,,,,32.25,,0.0,1.0,3.3,13.8,12.1,274.0,0.0,1.5,7.5,481.0,99.8,4.0,6.0,5.7,0.008316008316008316,0.012474012474012475,69.2,53.8,11.9
2015,Durell Eskridge,S,Syracuse,6-3,208.0,4.56,31.0,,117.0,7.09,4.26,False,,,,32.38,0.0,0.0,7.0,3.7,9.3,6.3,361.0,1.0,1.0,5.0,378.0,98.2,1.0,2.0,9.1,0.0026455026455026454,0.005291005291005291,109.4,80.0,5.6
2015,Clayton Geathers,S,Central Florida,6-2,218.0,4.55,37.0,22.0,120.0,7.21,4.27,True,4.0,109.0,,31.62,,,,4.0,19.6,6.5,339.0,1.0,0.6,10.2,544.0,100.0,1.0,5.0,10.5,0.001838235294117647,0.009191176470588236,86.0,61.2,10.7
2015,Ladarius Gunter,S,Miami (FL),6-1,202.0,4.62,33.5,12.0,108.0,7.18,4.41,False,,,,31.5,0.0,0.0,1.0,1.6,6.3,10.2,260.0,0.0,0.8,0.0,277.0,99.6,2.0,0.0,9.0,0.007220216606498195,0.0,60.7,55.2,12.4
2015,Chris Hackett,S,TCU,6-0,195.0,4.81,32.0,,110.0,7.12,4.2,False,,,,31.5,,0.0,5.0,4.2,22.0,5.8,383.0,1.0,0.7,9.4,521.0,99.0,7.0,3.0,15.8,0.013435700575815739,0.005758157389635317,78.8,50.0,14.8
2015,Anthony Harris,S,Virginia,6-1,183.0,4.56,,,,,,False,,,,32.0,33.3,11.1,11.0,5.8,17.9,6.2,370.0,0.0,0.7,5.0,451.0,97.6,2.0,2.0,10.7,0.004434589800443459,0.004434589800443459,82.1,55.0,9.1
2015,Gerod Holliman,S,Louisville,6-0,218.0,4.62,,17.0,,,,True,7.0,239.0,,32.0,11.1,11.1,18.0,2.4,29.7,7.6,342.0,0.0,0.9,1.9,448.0,96.1,14.0,1.0,8.1,0.03125,0.002232142857142857,45.0,49.1,12.0
2015,Kyshoen Jarrett,S,Virginia Tech,5-10,200.0,4.57,33.0,21.0,109.0,6.95,4.4,True,6.0,181.0,,31.0,0.0,2.2,48.0,7.9,11.4,7.0,405.0,0.0,0.5,7.7,415.0,89.6,3.0,3.0,10.3,0.007228915662650603,0.007228915662650603,39.2,56.4,7.9
2015,Anthony Jefferson,S,UCLA,6-1,198.0,4.72,33.5,15.0,116.0,7.18,4.15,False,,,,31.5,0.0,0.0,7.0,2.3,13.3,5.8,398.0,0.0,0.9,7.8,542.0,98.7,1.0,6.0,6.6,0.0018450184501845018,0.01107011070110701,84.6,54.5,9.7
2015,Dean Marlowe,S,James Madison,6-1,203.0,4.58,33.5,16.0,114.0,7.0,4.18,False,,,,31.0,,,,,,,,,,,,,,,,,,,,
2015,Tevin McDonald,S,East. Washington,5-11,195.0,4.63,33.0,19.0,112.0,7.01,4.26,False,,,,29.75,,,,,,,,,,,,,,,,,,,,
