Year,Player,Pos,School,Height,Weight,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,routes,targets,receptions
2015,Nelson Agholor,WR,USC,72.0,198.0,4.42,,,12.0,,,True,1.0,20.0,,32.25,13.0,2.92,12.7,76.3,8.9,129.4,,6.4,5.6,17.0,52.2,41.5,2.4,95.7,447.0,135.0,103.0
2015,Mario Alford,WR,West Virginia,68.0,180.0,4.43,34.0,121.0,13.0,6.64,4.07,True,7.0,238.0,,31.25,13.0,1.73,14.5,58.0,11.2,118.3,,15.6,7.3,6.0,4.3,94.3,0.3,94.6,547.0,112.0,65.0
2015,Dres Anderson,WR,Utah,73.0,187.0,4.54,,,13.0,,,False,,,,31.62,7.0,1.71,16.1,50.0,15.1,88.7,,18.5,3.6,3.0,10.6,89.4,0.0,95.4,208.0,44.0,22.0
2015,Kenny Bell,WR,Nebraska,73.0,197.0,4.42,41.5,129.0,7.0,6.66,4.15,True,5.0,162.0,,31.62,13.0,3.01,16.9,52.2,15.6,81.3,,9.6,6.4,9.0,18.2,81.0,0.4,96.0,263.0,90.0,47.0
2015,Da'Ron Brown,WR,Northern Illinois,72.0,205.0,4.54,37.0,120.0,17.0,7.04,4.11,True,7.0,233.0,,32.0,14.0,2.59,15.7,54.0,14.4,91.5,,10.5,6.5,14.0,20.7,79.3,0.0,95.8,411.0,126.0,68.0
2015,Kaelin Clay,WR,Utah,70.0,195.0,4.51,33.0,113.0,10.0,6.97,4.26,True,6.0,184.0,,30.88,13.0,1.59,12.1,61.4,10.2,91.4,,8.5,5.7,5.0,89.7,10.3,0.0,96.5,327.0,70.0,43.0
2015,Sammie Coates,WR,Auburn,73.0,212.0,4.43,41.0,131.0,23.0,6.98,4.06,True,3.0,87.0,,33.38,12.0,2.82,21.8,45.9,21.5,94.5,,12.8,3.8,10.0,10.1,89.9,0.0,94.9,263.0,74.0,34.0
2015,Chris Conley,WR,Georgia,74.0,213.0,4.35,45.0,139.0,18.0,7.06,4.3,True,3.0,76.0,,33.75,13.0,2.49,18.3,66.7,16.8,140.2,,10.0,4.4,2.0,23.4,75.9,0.4,96.4,264.0,54.0,36.0
2015,Amari Cooper,WR,Alabama,73.0,211.0,4.42,33.0,120.0,,6.71,3.98,True,1.0,4.0,,31.5,14.0,3.99,13.9,71.3,9.9,128.7,,6.1,7.1,26.0,19.5,79.6,0.0,97.1,433.0,174.0,124.0
2015,Jamison Crowder,WR,Duke,68.0,185.0,4.56,37.0,115.0,10.0,7.17,4.32,True,4.0,105.0,,30.38,13.0,2.31,12.7,56.4,11.0,81.1,,10.6,6.5,11.0,17.3,81.9,0.0,97.0,460.0,149.0,84.0
2015,DaVaris Daniels,WR,Notre Dame,73.0,201.0,4.62,37.0,122.0,13.0,,,False,,,,31.25,,,,,,,,,,,,,,,,,
2015,Devante Davis,WR,UNLV,75.0,220.0,4.57,35.5,115.0,16.0,7.25,4.12,False,,,,32.38,8.0,1.76,17.4,42.5,16.1,58.9,,15.0,4.9,4.0,6.9,93.1,0.0,95.7,335.0,80.0,34.0
2015,Geremy Davis,WR,Connecticut,74.0,216.0,4.49,36.5,124.0,23.0,6.86,4.18,True,6.0,186.0,,32.25,10.0,2.11,11.8,60.3,13.2,78.6,,0.0,1.5,1.0,19.8,80.2,0.0,96.1,247.0,73.0,44.0
2015,Titus Davis,WR,Central Michigan,73.0,196.0,4.51,32.5,119.0,,7.14,4.28,False,,,,29.62,10.0,3.53,16.3,60.6,13.6,120.8,,10.4,4.3,9.0,18.2,81.4,0.3,95.5,278.0,99.0,60.0
2015,Stefon Diggs,WR,Maryland,72.0,195.0,4.46,35.0,115.0,,7.03,4.32,True,5.0,146.0,,31.25,10.0,2.24,12.6,64.9,7.3,99.0,,8.7,8.3,13.0,81.6,17.0,0.0,97.3,355.0,97.0,63.0
2015,Phillip Dorsett,WR,Miami (FL),70.0,185.0,4.33,37.0,122.0,13.0,6.7,4.11,True,1.0,29.0,,30.25,13.0,2.33,24.2,53.7,18.9,132.3,,2.7,10.0,3.0,22.8,77.2,0.0,96.9,374.0,67.0,36.0
2015,Devin Funchess,WR,Michigan,76.0,232.0,4.7,38.5,122.0,17.0,,,True,2.0,41.0,,33.5,11.0,2.21,11.8,60.8,9.7,79.4,,8.8,4.3,7.0,39.4,57.7,2.6,96.2,332.0,102.0,62.0
2015,Antwan Goodley,WR,Baylor,70.0,209.0,4.44,,,,,,False,,,,30.75,11.0,2.04,13.8,58.8,12.5,100.5,,13.0,5.7,10.0,11.4,86.7,0.0,95.1,407.0,102.0,60.0
2015,Dorial Green-Beckham,WR,Oklahoma,77.0,237.0,4.49,33.5,119.0,13.0,6.89,4.45,True,2.0,40.0,,,,,,,,,,,,,,,,,,,
2015,Rashad Greene,WR,Florida State,71.0,182.0,4.53,36.5,122.0,,6.88,4.12,True,5.0,139.0,,31.62,14.0,2.6,13.8,69.7,11.0,104.9,,3.9,6.1,17.0,22.3,76.7,0.0,96.2,525.0,142.0,99.0
2015,Rannell Hall,WR,Central Florida,72.0,198.0,4.6,41.0,132.0,16.0,6.86,4.15,False,,,,30.5,10.0,1.59,10.2,60.5,9.5,52.5,,7.5,4.5,10.0,57.4,36.9,0.6,94.3,314.0,81.0,49.0
2015,Justin Hardy,WR,East Carolina,70.0,192.0,4.56,36.5,114.0,11.0,6.63,4.21,True,4.0,107.0,,32.12,13.0,2.39,12.3,72.5,9.5,107.2,,4.0,5.1,20.0,64.2,35.1,0.0,94.8,625.0,167.0,121.0
2015,Josh Harper,WR,Fresno State,73.0,191.0,4.64,32.0,108.0,13.0,7.15,4.36,False,,,,30.88,14.0,1.98,12.3,59.7,13.0,75.8,,8.2,4.4,13.0,12.5,87.5,0.0,95.8,554.0,149.0,89.0
2015,Christion Jones,WR,Alabama,70.0,182.0,4.63,32.5,119.0,8.0,6.91,4.19,False,,,,30.0,13.0,1.08,13.9,61.3,12.3,86.0,,13.6,5.9,3.0,52.0,44.9,1.2,95.7,245.0,31.0,19.0
2015,Dez Lewis,WR,Central Arkansas,76.0,214.0,4.58,33.5,119.0,16.0,7.11,4.28,False,,,,,,,,,,,,,,,,,,,,,
2015,Tony Lippett,WR,Michigan State,74.0,192.0,4.61,36.0,114.0,10.0,6.92,4.13,True,5.0,156.0,,32.75,13.0,3.65,18.4,61.9,13.3,128.2,,3.0,5.9,7.0,14.4,85.6,0.0,96.2,328.0,105.0,65.0
2015,Tyler Lockett,WR,Kansas State,70.0,182.0,4.4,35.5,121.0,,6.89,4.07,True,3.0,69.0,,30.0,13.0,3.65,14.3,72.1,11.9,121.6,,6.2,4.3,9.0,15.3,84.3,0.0,93.3,415.0,147.0,106.0
