Overall Rank,Pick Taken,Name,School,Pos,Pos Rank,Round Grade,Grade,Difference From Consensus,Difference From PFF
1,4,Marvin Harrison Jr.,Ohio State,WR,WR1,1st,9.580,2,1
2,5,Joe Alt,NOTRE DAME,LT,OT1,1st,9.493,7,3
3,1,Caleb Williams,USC,QB,QB1,1st,9.429,-2,-2
4,9,Rome Odunze,Washington,WR,WR2,1st,9.42,2,2
5,6,Malik Nabers,LSU,WR,WR3,1st,9.39,0,-1
6,3,Drake Maye,North Carolina,QB,QB2,1st,9.37,-4,-3
7,13,Brock Bowers,GEORGIA,TE,TE1,1st,8.98,3,0
8,2,Jayden Daniels,LSU,QB,QB3,1st,8.68,-4,13
9,16,Byron Murphy,Texas,IDL,IDL1,1st,8.58,8,3
10,7,J.C. Latham,ALABAMA,RT,OT2,1st,8.39,11,8
11,11,Olumuyiwa Fashanu,PENN STATE,LT,OT3,1st,8.35,3,6
12,24,Terrion Arnold,Alabama,CB,CB1,1st,8.33,-1,2
13,22,Quinyon Mitchell,Toledo,CB,CB2,1st,8.30,-1,-4
14,23,Brian Thomas Jr.,LSU,WR,WR4,1st,8.12,4,11
15,17,Dallas Turner,Alabama,EDGE,EDGE1,1st,8.09,-7,1
16,10,J.J. McCarthy,Michigan,QB,QB4,1st,8.04,-9,12
17,20,Troy Fautanu,WASHINGTON,LT,OT4,1st,7.95,2,-2
18,44,Jackson Powers-Johnson,Oregon,C,C1,1st,7.94,11,9
19,21,Chop Robinson,Penn State,EDGE,EDGE2,1st,7.90,9,21
20,26,Graham Barton,DUKE,LT,OC2,1st,7.90,7,3
21,15,Laiatu Latu,UCLA,EDGE,EDGE3,1st,7.87,-5,-11
22,40,Cooper DeJean,Iowa,CB,CB3,1st,7.86,-2,-14
23,58,Javon Bullard,Georgia,SAF,SAF1,1st,7.84,34,24
24,36,Jer'Zhan Newton,Illinois,IDL,IDL2,1st,7.77,1,-13
25,41,Kool-Aid McKinstry,Alabama,CB,CB4,1st,7.74,-1,1
26,14,Taliese Fuaga,OREGON ST,RT,OT5,1st,7.68,-11,-13
27,12,Bo Nix,Oregon,QB,QB5,1st,7.64,5,8
28,30,Nate Wiggins,Clemson,CB,CB5,1st,7.61,-6,-4
29,52,Adonai Mitchell,Texas,WR,WR5,1st-2nd,7.59,-3,-7
30,19,Jared Verse,Florida State,EDGE,EDGE4,1st-2nd,7.58,-17,-11
31,18,Amarius Mims,GEORGIA,RT,OT6,1st-2nd,7.54,-8,-11
32,56,Marshawn Kneeland,Western Michigan,EDGE,EDGE5,1st-2nd,7.50,26,31
33,25,Jordan Morgan,ARIZONA,LT,OG1,1st-2nd,7.47,3,4
34,102,Troy Franklin,Oregon,WR,WR6,1st-2nd,7.46,3,-5
35,55,Patrick Paul,HOUSTON,LT,OT8,1st-2nd,7.45,30,66
36,54,Michael Hall Jr.,Ohio State,IDL,IDL3,2nd,7.38,33,71
37,34,Ladd McConkey,Georgia,WR,WR7,2nd,7.36,-4,-5
46,46,Jonathon Brooks,Texas,RB,RB2,2nd,7.33,7,3
39,73,Cooper Beebe,Kansas State,OG,OG1,2nd,7.32,27,54
40,75,Kiran Amegadjie,YALE,LT,OT9,2nd,7.31,35,17
41,31,Ricky Pearsall,Florida,WR,WR8,2nd,7.28,4,4
42,69,Junior Colson,Michigan,LB,LB1,2nd,7.25,19,29
43,42,Kamari Lassiter,Georgia,CB,CB6,2nd,7.25,-3,13
44,133,Jaden Hicks,Washington State,SAF,SAF2,2nd,7.23,28,10
45,63,Kingsley Suamataia,BYU,LT,OT10,2nd,7.22,-2,21
38,120,Jaylen Wright,Tennessee,RB,RB1,2nd,7.21,35,30
