Pick Taken,Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,Bench,3-Cone,Shuttle,Vertical,Broad,DOB,Age,Final Grade,Difference,DB GRADE,Data Grade,Senior/Shrine ,Combine Invite Adjust,Year Adjust,Raw Grade,Posistional Value ,Pass Pro,Run,RAS,Arm Length,Age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30%,50%,10%,5%,5%
44,1,1st,TRUE,TRUE,TRUE,FALSE,FALSE,Jackson Powers-Johnson,Oregon,,C,C1,3JR,58,6033,328,0978,32.25,7848,--,--,30,--,--,32,0808,01.23.03,21.3,7.94,0.37,7.57,8.3,8.3,8.3,8.3,7.9,,9.4,8.0,5,3.1,9.1
51,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,Zach Frazier,W VIRGINIA,,C,C3,4SR,54,6025,313,1078,32.25,7848,--,--,30,--,--,--,--,08.29.01,22.7,6.65,-0.70,7.35,6.0,6.0,5.7,5.7,5.7,,5.8,5.7,7.30,3.1,4.4
141,4,4th,TRUE,TRUE,TRUE,FALSE,FALSE,Sedrick Van Pran,Georgia,,C,C4,4JR,63,6041,298,0948,31.375,7858,1.77,5.20,--,7.46,4.82,--,--,10.23.01,22.5,6.30,-0.10,6.40,6.2,6.2,5.9,5.9,5.9,,6.3,5.9,7.46,0.9,4.9
217,5,5th,TRUE,TRUE,TRUE,TRUE,FALSE,Beaux Limmer,Arkansas,,C,C5,5SR,55,6045,302,0948,31.875,7778,1.75,5.22,39,7.47,4.57,36.5,0902,06.10.01,22.9,5.86,-0.44,6.30,5.4,5.4,5.2,5.2,5.4,,2.9,6.6,9.92,2.2,3.7
117,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Tanor Bortolini,Wisconsin,,C,C6,4JR,63,6042,303,1000,31.5,7758,1.69,4.94,21,7.16,4.28,32.5,0904,06.18.02,21.9,5.76,-0.69,6.45,5.1,5.1,4.8,4.8,4.8,,6.9,2.7,9.98,1.3,7.1
237,6,5th-6,TRUE,TRUE,FALSE,TRUE,FALSE,Matt Lee,Miami,,C,C7,5SR,55,6035,301,0928,32.125,7858,1.76,5.03,--,--,--,31,0903,06.06.01,22.9,5.47,-0.03,5.50,5.4,5.4,5.3,5.3,5.6,,9.9,2.9,8.68,2.8,3.6
159,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,Hunter Nourzad,Penn State,,C,C8,6SR,64,6031,317,1068,33.125,7938,DNP,DNP,27,DNP,DNP,DNP,DNP,11.26.99,24.4,4.88,-1.37,6.25,3.5,3.5,3.4,3.4,3.7,,3.4,4.0,5,5.3,-1.5
UDFA,7,7th,TRUE,TRUE,FALSE,FALSE,FALSE,Drake Nugent,Michigan,,C,C9,5SR,60,6014,298,0900,33,7828,1.83,5.23,25,7.33,4.50,29.5,0805,02.09.01,23.2,4.75,0.45,4.30,5.2,5.2,5.2,5.2,5.5,,5.6,5.5,6.69,5.0,2.6
228,UDFA,PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Nick Samac,Michigan State,,C,C10,5SR,59,6040,307,0968,32.75,7900,DNP,DNP,DNP,DNP,DNP,DNP,DNP,08.21.01,22.7,4.19,-0.21,4.40,4.0,4.0,3.9,3.9,4.1,,3.7,4.1,5,4.4,4.3
190,UDFA,PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Dylan McMahon,NC STATE,,C,C11,5SR,54,6033,299,0938,31.75,7518,1.75,5.10,25,7.26,4.33,33,0907,01.22.01,23.3,4.10,-1.00,5.10,3.1,3.1,3.0,3.0,3.2,,5.1,0.9,9.81,1.9,2.4
UDFA,UDFA,UDFA,TRUE,TRUE,TRUE,FALSE,FALSE,Charles Turner III,LSU,,C,C12,5SR,69,6035,303,0938,34,8328,--,--,--,7.88,4.62,31,0901,06.14.01,22.9,3.81,-0.69,4.50,3.1,3.1,3.0,3.0,3.1,,7.0,0.0,4.56,7.5,3.7
UDFA,UDFA,UDFA,TRUE,TRUE,TRUE,TRUE,FALSE,Kingsley Eguakun,Florida,,C,C13,5SR,65,6034,304,1018,32.5,8028,--,--,26,--,--,--,--,03.23.01,23.1,3.77,-1.83,5.60,1.9,1.9,1.9,1.9,2.0,,1.7,0.3,9.58,3.8,2.9
256,UDFA,UDFA,TRUE,TRUE,FALSE,FALSE,TRUE,Nick Gargiulo,South Carolina,,C,C14,6SR,69,6053,318,1038,33.875,8128,1.78,5.25,28,7.33,--,32.5,0805,07.19.00,23.8,3.38,-1.92,5.30,1.5,1.5,1.5,1.5,1.6,,3.0,-1.3,9.47,7.2,0.7
UDFA,UDFA,UDFA,TRUE,TRUE,TRUE,FALSE,FALSE,Andrew Raym,Oklahoma,,C,C15,4SR,73,6040,314,1000,32.5,7868,1.94,5.42,--,--,--,24.5,711,05.02.01,23.0,3.23,-1.77,5.00,1.5,1.5,1.4,1.4,1.4,,2.4,0.2,2.23,3.8,3.3
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Duke Clemens,UCLA,,C,C16,5SR,,6027,285,0938,31.75,7900,,,,,,,,, ,3.08,-0.57,3.65,2.5,3.1,3.1,3.7,3.9,,6.7,3.5,,1.9,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Sidney Walker,Buffalo,,C,C17,,,6016,291,,0,31.5,1.81,5.2,21,8.09,4.79,28.5,,,,3.02,NA,3.02,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Sincere Haynesworth,Tulane,,C,C18,5SR,52,,,,0,,,,,,,,,, ,2.89,-0.34,3.23,2.5,3.2,3.2,3.7,3.9,,5.6,4.5,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Bryan Hudson,Louisville,,C,C19,5SR,,6043,297,0978,32.75,8068,,,,,,,,, ,2.67,-1.08,3.75,1.6,2.0,2.0,2.3,2.5,,5.2,1.4,,4.4,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Shiloh Ta'ase,Portland State,,C,C20,,,6021,315,,0,32.375,DNP,DNP,DNP,DNP,DNP,DNP,,,,2.6,NA,2.6,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Trey Brown,Jacksonville St.,,C,C21,,,6007,313,,0,32,1.7,5.03,24,8.03,4.9,25,,,,2.5,NA,2.5,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Andrew Meyer,UTEP,,C,C22,,,6033,295,,0,32.625,1.77,5.07,28,8.03,4.63,33,,,,2.08,NA,2.08,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jake Levengood,Oregon State,,C,C23,6SR,,,,,0,,,,,,,,,, ,1.99,-0.30,2.29,1.7,2.1,2.1,2.5,2.7,,3.6,3.2,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Sebastian Delasoudas,Rhode Island,,C,C24,,,5114,298,,0,29.75,DNP,DNP,22,8.39,4.87,28.5,,,,1.98,NA,1.98,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jacob Likes,Memphis,,C,C25,5SR,,,,,0,,,,,,,,,, ,1.88,NA,,1.9,2.3,2.3,2.8,2.9,,8.1,0.9,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Will Putnam,Clemson,,C,C26,5SR,,,,,0,,,,,,,,,, ,1.86,-0.54,2.40,1.3,1.7,1.7,1.9,2.1,,5.9,0.5,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Corey Gaynor,North Carolina,,C,C27,7SR,,,,,0,,,,,,,,,, ,1.83,-0.98,2.81,0.9,1.1,1.1,1.3,1.5,,6.2,-0.8,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ireland Brown,Rutgers,,C,C28,5SR,,,,,0,,,,,,,,,, ,1.69,1.17,0.52,2.9,3.6,3.6,4.2,4.4,,1.4,8.0,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Clark Barrington,Baylor,,C,C29,6SR,,,,,0,,,,,,,,,, ,1.66,NA,,1.7,2.1,2.1,2.4,2.6,,3.9,2.9,,0.0,0.0
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Reggie Smith,South Alabama,,C,C30,6SR,,,,,0,,,,,,,,,, ,1.52,NA,,1.5,1.9,1.9,2.2,2.4,,5.8,1.4,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Justin Dedich,USC,,C,C31,6SR,57,,,,0,,,,,,,,,, ,1.49,-0.70,2.19,0.8,1.0,1.0,1.2,1.2,,5.5,-0.8,,0.0,0.0
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Treylen Brown,Jacksonville State,,C,C32,5SR,,,,,0,,,,,,,,,, ,1.43,NA,,1.4,1.8,1.8,2.1,2.2,,6.6,0.5,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Jack Freeman,Houston,,C,C33,6SR,,6023,296,0938,31.875,7838,,,,,,,,, ,1.40,-1.73,3.13,-0.3,-0.4,-0.4,-0.5,-0.5,,0.0,-1.2,,2.2,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Matthew Cindric,Cal,,C,C34,6SR,,,,,0,,,,,,,,,, ,1.30,-2.03,3.33,-0.7,-0.9,-0.9,-1.1,-1.2,,1.1,-3.0,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Treyvon Cahalan-Gray,Minn. Duluth,,C,C35,,,6021,303,,0,30.5,1.79,5.14,23,7.87,4.65,29.5,,,,1.25,NA,1.25,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Mike Novitsky,Kansas,,C,C36,6SR,,,,,0,,,,,,,,,, ,1.25,-1.67,2.92,-0.4,-0.5,-0.5,-0.6,-0.7,,0.1,-1.4,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Aric Harris,Maryland,,C,C37,5SR,,,,,0,,,,,,,,,, ,1.06,0.23,0.83,1.3,1.6,1.6,1.9,2.0,,4.4,1.3,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Devan Rogers,Toledo,,C,C38,,,6004,278,,0,32.75,1.9,5.28,23,7.81,4.84,27,,,,1.04,NA,1.04,,,0.0,,,,,,,,
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,John Lanz,TCU,,C,C39,6SR,,,,,0,,,,,,,,,, ,1.02,NA,,1.0,1.3,1.3,1.5,1.6,,6.6,-0.7,,0.0,0.0
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Cole Smith,Mississippi State,,C,C40,6SR,,,,,0,,,,,,,,,, ,1.01,NA,,1.0,1.3,1.3,1.5,1.6,,5.9,-0.3,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Rusty Staats,Texas Tech,,C,C41,6SR,,,,,0,,,,,,,,,, ,1.01,-1.70,2.71,-0.7,-0.9,-0.9,-1.0,-1.1,,2.1,-3.5,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Hayden Gillum,Kansas State,,C,C42,6SR,,,,,0,,,,,,,,,, ,0.98,-0.69,1.67,0.3,0.4,0.4,0.4,0.4,,2.9,-0.9,,0.0,0.0
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Will Farniok,Tulsa,,C,C43,6SR,,,,,0,,,,,,,,,, ,0.79,-0.67,1.46,0.1,0.1,0.1,0.2,0.2,,4.8,-2.5,,0.0,0.0
