Pick Taken,Round Grade,,IN,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3C,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Final Data Grade,Combine/Senior/Shrine Adjust,Combine Grade,Year Grade,Raw Grade,Posistional Value ,Run Defense,Coverage,Pass Rush,RAS,Size,LOC,Age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.90,35%,45%,5%,10.0%,,0%,5%
69,2,2nd,TRUE,TRUE,FALSE,FALSE,FALSE,Junior Colson,Michigan,Big Ten,LB,LB1,3JR,,6022,238,938,3248,7748,DNP,DNP,--,--,--,,,12.06.02,21.4,7.25,0.10,7.15,7.35,7.35,7.4,7.4,6.7,,8.1,7.9,2.1,5,,,8.6
45,2,2nd,TRUE,TRUE,TRUE,TRUE,FALSE,Edgerrin Cooper,Texas A&M,SEC,LB,LB2,4SR,,6021,230,968,3400,8028,1.56,4.51,--,--,--,34.5,0910,11.17.01,22.5,7.13,0.05,7.08,7.18,7.18,7.2,7.2,7.2,,8,8,8.2,9.13,,,5.1
98,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,Payton Wilson,NC State,ACC,LB,LB3,6SR,,6037,233,900,3048,7568,1.53,4.43,--,--,--,34.5,911.0,04.21.00,24.0,6.80,0.10,6.70,6.90,6.90,6.9,6.9,7.7,,8.5,9.5,5.8,9.89,,,-0.1
155,4,4th,TRUE,TRUE,FALSE,FALSE,FALSE,Jeremiah Trotter Jr.,Clemson,ACC,LB,LB4,3JR,,6000,228,928,3148,7468,DNP,DNP,21,7.13,4.4,--,--,12.24.02,21.4,6.27,0.02,6.25,6.29,6.99,7.0,7.0,6.4,,6.5,7.8,6.7,5,,,8.8
72,4,4th-5th,TRUE,TRUE,TRUE,FALSE,FALSE,Trevin Wallace,Kentucky,SEC,LB,LB5,3JR,,6011,237,918,3258,7918,1.62,4.51,--,--,--,--,--,02.22.03,21.2,6.01,-0.70,6.71,5.31,5.31,5.3,5.3,4.8,,4.8,4.6,4.3,9.33,,,9.4
106,5,4th-5th,TRUE,TRUE,TRUE,FALSE,FALSE,Cedric Gray,North Carolina,ACC,LB,LB6,4SR,,6014,234,900,3248,7838,1.58,4.64,17,--,--,35.5,1000.0,10.30.02,21.5,5.98,-0.32,6.30,5.67,5.67,5.7,5.7,5.7,,4.3,7.4,6.4,7.26,,,8.3
160,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Edefuan Ulofoshio,Washington,Pac-12,LB,LB7,6SR,,6004,236,928,3278,7958,1.58,4.56,--,--,--,39.5,1008,01.23.00,24.3,5.87,-0.13,6.00,5.73,5.73,5.7,5.7,6.4,,5.3,9.3,2.3,9.67,,,-0.9
148,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Tommy Eichenberg,Ohio State,Big Ten,LB,LB8,5SR,,6023,233,928,3158,7718,DNP,DNP,--,--,4.24,32.5,908,01.11.01,23.3,5.74,-0.76,6.50,4.99,4.99,5.0,5.0,5.3,,7.3,4.9,3.6,7.87,,,2.3
139,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Jordan Magee,Temple,AAC,LB,LB9,5SR,,6013,228,868,3200,7600,1.57,4.55,--,--,--,35.5,1004,03.24.01,23.1,5.74,-0.36,6.10,5.38,5.98,6.0,6.0,6.3,,6.4,7.5,5.4,9.6,,,3.0
