Pick Taken,Round Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Pos Played,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,BJ,DOB,Age,Final Grade,Difference,DB Grade,Data Grade,Senior/Shrine Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value,Pass Pro,Run,RAS,Arm Length,Age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.85,35%,30%,20%,10%,5%
73,2,2nd,TRUE,TRUE,TRUE,TRUE,FALSE,Cooper Beebe,Kansas State,,OG,OG1,,5SR,50,6032,322,928,31.5,7818,1.75,5.03,20,0901,05.19.01,23.0,7.3,0.07,7.25,7.4,7.4,7.0,6.4,6.7,,9.18,8.54,9.28,1.3,3.5
119,3,2nd-3rd,TRUE,TRUE,FALSE,TRUE,FALSE,Mason McCormick,South Dakota State,,OG,OG2,,6SR,,6042,309,1000,33.875,8158,1.71,5.08,--,0909,05.25.00,23.9,7.0,0.67,6.30,7.6,7.6,7.3,6.6,7.1,,9.04,8.42,9.96,7.2,0.2
210,3,2nd-3rd,TRUE,TRUE,FALSE,TRUE,FALSE,Christian Mahogany,Boston College,,OG,OG3,,5SR,73,6033,314,1048,33.5,8158,1.74,5.13,--,0901,10.11.00,23.6,6.9,0.39,6.53,7.3,7.3,7.0,6.3,6.7,,8.71,7.20,9.63,6.3,1.5
81,3,3rd,TRUE,TRUE,TRUE,TRUE,FALSE,Christian Haynes,UConn,,OG,OG4,,6SR,64,6026,317,0900,33.5,7968,1.75,5.03,25,0806,01.13.00,24.3,6.9,-0.21,7.08,6.7,6.7,6.3,5.8,6.2,,6.66,8.67,9.1,6.3,-1.0
71,4,4th,TRUE,TRUE,TRUE,FALSE,FALSE,Isaiah Adams,Illinois,,OG,OG5,,6SR,78,6042,315,900,33.875,8178,1.8,5.22,22,806,07.21.00,23.8,6.4,-0.35,6.72,6.0,6.0,5.7,5.2,5.6,,5.74,8.08,7.22,7.2,0.7
85,4,4th,TRUE,TRUE,FALSE,FALSE,FALSE,Zak Zinter,Michigan,,OG,OG6,,4SR,65,6057,309,938,33.5,8118,--,--,--,--,04.17.01,23.0,6.2,-0.05,6.24,6.1,6.1,6.1,5.6,5.6,,7.22,7.51,5,6.3,3.2
103,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,Layden Robinson,Texas A&M,,OG,OG7,,5SR,64,6034,302,1048,34.625,8148,--,--,--,0903,05.03.01,23.0,5.7,-0.26,6.00,5.5,5.5,5.2,4.7,5.0,,3.83,6.10,8.19,9.1,3.3
248,6,5th-6,TRUE,TRUE,FALSE,TRUE,FALSE,C.J. Hanson,Holy Cross,,OG,OG8,,5SR,,6050,300,938,32.375,7838,1.76,5.00,--,0907,03.03.01,23.2,5.4,0.53,4.90,6.0,6.0,5.7,5.2,5.4,,6.70,5.32,9.84,3.4,2.8
172,6,6th,TRUE,TRUE,TRUE,FALSE,FALSE,Trevor Keegan,Michigan,,OG,OG9,,5SR,,6053,310,1000,32.375,7838,1.78,5.24,--,811,08.30.00,23.7,5.3,0.06,5.25,5.4,5.4,5.1,4.7,4.9,,6.59,4.08,9.19,3.4,1.1
UDFA,6,6th-7th,TRUE,FALSE,FALSE,FALSE,FALSE,Keaton Bills,Utah,,OG,OG10,,5SR,,6044,324,,,,,,,,,,5.0,NA,5.00,,,,,,,,,,,
UDFA,7,7th,TRUE,FALSE,FALSE,FALSE,FALSE,Brady Latham,Arkansas,,OG,OG11,,5SR,,6052,305,,,,,,,,,,4.8,NA,4.75,,,,,,,,,,,
164,7,7th,TRUE,TRUE,FALSE,FALSE,FALSE,Jacob Monk,Duke,,OG,OG12,,5SR,,6030,308,1000,32.375,7900,1.66,5.09,--,0900,06.04.01,22.9,4.7,-0.54,5.25,4.2,4.2,4.2,3.8,4.0,,5.23,1.28,9.74,3.4,3.6
