Pick Taken,Round Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Pos Played,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3C,SS,VJ,BJ,DOB,Age,Final GRADE,,DB GRADE,Data Grade,Arm Length Adjust,Combine Invite Grade Adjusted,Year Grade,Raw Grade,Posistional Value ,Pass Pro,Run Blocking,RAS,Arm Length,Age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,30%,20%,5%,5%
6,1,1st,TRUE,TRUE,TRUE,FALSE,FALSE,Joe Alt,NOTRE DAME,,OT,OT1,LT,3JR,76,6085,321,1000,34.250,8268,1.73,5.05,27,7.31,4.51,28.00,904,02.28.03,21.2,9.49,0.29,9.20,9.79,9.5,9.5,9.5,8.6,,9.4,7.2,9.93,4.2,9.4
7,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,J.C. Latham,ALABAMA,,OT,OT2,RT,3JR,65,6056,342,1100,35.125,8438,DNP,DNP,DNP,DNP,DNP,DNP,DNP,02.08.03,21.2,8.39,-0.01,8.40,8.37,8.4,8.2,8.2,7.5,,7.9,5.3,9.5,7.1,9.2
11,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,Olumuyiwa Fashanu,PENN STATE,,OT,OT3,LT,4JR,74,6060,312,848,34.000,8258,1.76,5.11,DNP,DNP,DNP,32.00,901,12.09.02,21.4,8.35,-0.15,8.50,8.21,8.2,8.1,8.1,8.1,,9.0,6.7,9.58,3.3,8.7
20,1,1st,TRUE,TRUE,TRUE,TRUE,FALSE,Troy Fautanu,WASHINGTON,,OT,OT4,LT,5SR,55,6036,317,948,34.500,8148,1.70,5.01,29,DNP,DNP,32.5,905,10.11.00,23.6,7.95,-0.85,8.80,7.10,6.9,6.9,6.9,7.2,,7.9,6.0,9.62,5.0,1.5
26,1,1st,TRUE,TRUE,TRUE,FALSE,FALSE,Graham Barton,DUKE,,C,OC2,LT,4SR,62,6053,311,938,32.875,7968,1.68,4.95,DNP,7.31,4.55,DNP,DNP,06.01.02,21.9,7.90,0.00,7.90,7.89,7.7,7.7,7.7,7.7,,7.7,7.0,9.85,4.7,6.9
14,1,1st,TRUE,TRUE,TRUE,FALSE,FALSE,Taliese Fuaga,OREGON ST,,OT,OT5,RT,4JR,75,6056,324,1018,33.125,8058,1.77,5.13,DNP,DNP,DNP,32.00,903,04.05.02,22.1,7.68,-0.32,8.00,7.36,7.2,7.6,7.6,7.6,,8.0,7.0,9.63,0.4,6.4
18,1,1st-2nd,TRUE,TRUE,TRUE,FALSE,FALSE,Amarius Mims,GEORGIA,,OT,OT6,RT,3JR,65,6076,340,1128,36.125,8668,1.77,5.07,DNP,DNP,DNP,25.5,903,10.14.02,21.6,7.54,-0.26,7.80,7.29,7.1,6.9,6.9,6.3,,3.8,6.4,9.59,10.4,8.2
25,2,1st-2nd,TRUE,TRUE,TRUE,FALSE,FALSE,Jordan Morgan,ARIZONA,,OG,OG1,LT,5SR,77,6050,311,1078,32.875,8138,1.69,5.04,27,DNP,DNP,28.00,902,08.04.01,22.7,7.47,-0.01,7.48,7.46,7.3,7.3,7.3,7.7,,7.1,8.5,9.25,4.7,4.2
55,2,1st-2nd,TRUE,TRUE,TRUE,FALSE,FALSE,Patrick Paul,HOUSTON,,OT,OT8,LT,5SR,76,6074,331,938,36.250,8628,1.77,5.13,30,7.65,4.71,29,DNP,11.01.00,23.5,7.45,0.47,6.98,7.92,7.7,7.5,7.5,7.9,,9.4,5.3,9.65,10.8,1.7
