Pick Taken,Grade,,IN,Combine,Senior,Shrine,Hula,Name,School,Conference,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3c,Shuttle,VJ,BJ,DOB,Age,Final Grade,DB Round Grade,Difference,DB Grade,Combine Invite Adjust,Senior/Shrine Adjust,Postitional Value Adjust,Year Adjust,Raw Grade,Short (0-9),Intermediate (10-19),Deep (20+),Under Pressure,Ability to Create,Ability as a Runner,RAS,Age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,20%,20%,20%,25%,10%,,
1,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,Caleb Williams,USC,Pac-12,QB,QB1,3JR,,6011,214,968,3200,7578,DNP,DNP,,,,,,11-18-01,22.44,9.4,1,-0.07,9.50,9.4,9.4,9.4,8.1,7.4,9.3,5.4,7.6,7.6,9.9,3.4,,
3,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,Drake Maye,North Carolina,ACC,QB,QB2,3SO,,6043,223,918,3228,7618,DNP,DNP,,,,,,8-30-02,21.66,9.4,1,0.07,9.30,9.4,9.4,9.4,8.2,7.5,7.2,6.2,8.7,6.9,9.2,4.2,,
2,1,1st,TRUE,TRUE,TRUE,FALSE,FALSE,Jayden Daniels,LSU,SEC,QB,QB3,5SR,,6035,210,938,3248,7668,DNP,DNP,,,,,,12-18-00,23.36,8.7,1,-0.22,8.90,8.5,8.7,8.5,7.4,7.5,5.1,5.7,6.7,7.9,8.9,10.1,,
10,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,J.J. McCarthy,Michigan,Big Ten,QB,QB4,3JR,,6024,219,900,3158,7578,DNP,DNP,,,,,,01-20-03,21.27,8.0,1,0.44,7.60,8.5,8.5,8.5,7.4,6.7,5.0,7.8,6.8,7.4,7.3,2.5,,
12,1,1st,TRUE,TRUE,TRUE,FALSE,FALSE,Bo Nix,Oregon,Pac-12,QB,QB5,5SR,,6021,214,1018,3078,7428,DNP,DNP,,,,,,02-25-00,24.18,7.6,2,0.54,7.10,8.2,8.4,8.2,7.1,7.3,8.1,8.6,7.7,9.6,6.1,1.9,,
150,2,2nd-3rd,TRUE,TRUE,TRUE,FALSE,FALSE,Spencer Rattler,South Carolina,SEC,QB,QB6,5SR,,6002,211,978,3100,7468,1.67,4.95,,,,,,09-28-00,23.58,7.1,3,0.26,6.79,7.3,7.5,7.3,6.4,6.5,7.3,6.7,6.1,7.9,7.2,2.3,,
8,3,3rd,TRUE,TRUE,TRUE,TRUE,FALSE,Michael Penix Jr.,Washington,Pac-12,QB,QB7,6SR,,6022,216,1048,3358,8100,1.58,4.58,,,,,,05-08-00,23.97,6.9,2,-0.16,7.04,6.7,6.9,6.7,5.8,6.2,7.3,6.2,5.8,6.9,8.0,0.1,,
245,5,5th,TRUE,TRUE,TRUE,TRUE,FALSE,Michael Pratt,Tulane,AAC,QB,QB8,4SR,,6024,217,928,3068,7700,DNP,DNP,,,,,,09-30-01,22.58,5.7,3,-0.83,6.50,4.8,5.0,4.8,4.2,4.2,2.1,4.8,4.1,6.1,3.8,1.5,,
171,6,6th-7th,TRUE,TRUE,FALSE,TRUE,FALSE,Jordan Travis,Florida State,ACC,QB,QB9,6SR,,6011,200,900,3138,7600,DNP,DNP,,,,,,05-02-00,23.99,5.1,6,-0.31,5.40,4.8,4.8,4.8,4.2,4.4,7.3,3.1,4.4,4.9,5.4,1.9,,
UDFA,6,6th-7th,TRUE,FALSE,FALSE,TRUE,TRUE,John Rhys Plumlee,UCF,AAC,QB,QB10,5SR,,5116,203,878,3038,7428,1.63,4.51,,,,,,01-02-01,23.32,5.1,UDFA,0.71,4.36,5.8,6.9,6.8,5.9,6.1,3.6,7.0,6.5,6.1,6.2,4.3,,
UDFA,7,7th,TRUE,TRUE,TRUE,FALSE,FALSE,Sam Hartman,Notre Dame,Ind.,QB,QB11,6SR,,6011,211,968,3138,7528,1.71,4.80,,,,,,07-29-99,24.75,4.9,6,-0.12,5.00,4.8,4.9,4.8,4.1,4.4,5.0,0.9,7.6,2.7,7.2,0.8,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Tanner Mordecai,Wisconsin,Big Ten,QB,QB12,6SR,,6015,210,878,3158,7400,1.63,4.53,,7,4.23,36.50,,11-08-99,24.47,4.4,UDFA,0.66,3.69,5.0,5.3,5.9,5.1,5.4,4.2,6.2,4.2,4.7,7.6,2.7,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,TRUE,Jason Bean,Kansas,Big 12,QB,QB13,6SR,,6016,196,900,3148,7738,1.62,4.55,,,,,,06-09-99,24.89,4.3,UDFA,0.29,4.05,4.6,4.9,5.4,4.7,5.0,5.6,2.4,4.3,5.6,8.6,0.8,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Michael Hiers,Samford,,QB,QB14,6SR,,6010,205,968,3138,7248,1.68,4.89,,,,,,,0.00,4.3,UDFA,NA,4.31,,,,,,,,,,,,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Taulia Tagovailoa,Maryland,,QB,QB15,5SR,,5106,185,948,3068,7418,DNP,DNP,,,,,,,0.00,4.3,UDFA,NA,4.27,,,,,,,,,,,,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,TRUE,Spencer Sanders,Mississippi,SEC,QB,QB16,6SR,,6007,209,918,3000,7538,1.79,4.93,,7.18,4.56,24.00,,12-15-99,24.37,4.2,UDFA,0.84,3.39,5.1,5.4,6.0,5.2,5.5,1.9,5.1,6.6,5.5,7.7,0.1,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Gavin Hardison,UTEP,,QB,QB17,6SR,,6017,206,1000,3138,7728,1.66,4.82,,,,,,,0.00,4.2,UDFA,NA,4.22,,,,,,,,,,,,,
193,UDFA,PFA,TRUE,TRUE,TRUE,FALSE,FALSE,Joe Milton,Tennessee,SEC,QB,QB18,6SR,,6051,246,1028,3338,8000,1.65,4.62,,,,,,03-06-00,24.14,4.1,5,-1.38,5.50,2.7,2.8,2.7,2.4,2.5,6.9,2.0,0.6,5.7,1.4,1.5,,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Rocky Lombardi,Northern Illinois,MAC,QB,QB19,7SR,,6035,223,918,3118,7468,1.57,4.70,,,,,,7-30-98,25.74,4.1,UDFA,NA,4.09,,,,,0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Jack Plummer,Louisville,ACC,QB,QB20,6SR,,6043,215,948,3258,7838,1.68,4.75,,,,,,10-21-99,24.52,4.0,UDFA,-0.16,4.14,3.8,4.0,4.5,3.9,4.1,4.1,5.9,3.9,5.0,3.4,0.8,,
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,Austin Reed,Western Kentucky,C-USA,QB,QB21,6SR,,6014,220,978,3018,7338,1.69,4.82,,,,,,2-22-00,24.18,3.8,7,-1.14,4.90,2.6,2.7,2.6,2.3,2.4,1.4,1.4,1.2,3.3,4.5,0.3,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Garrett Shrader,Syracuse,,QB,QB22,,,6050,231,958,3268,7928,DNP,DNP,,DNP,DNP,DNP,,,,3.8,UDFA,NA,3.75,,,,,,,,,,,,,
218,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,Devin Leary,Kentucky,SEC,QB,QB23,6SR,,6012,215,948,3078,7438,DNP,DNP,,,,,,09-10-99,24.63,3.7,5,-1.90,5.60,1.8,1.8,1.8,1.6,1.6,3.0,3.4,1.1,1.0,1.4,0.3,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Parker McKinney,Eastern Kentucky,,QB,QB24,,,6020,214,878,3058,7428,1.75,4.98,,DNP,DNP,35.50,,,,3.6,UDFA,NA,3.63,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Chevan Cordeiro,San Jose State,,QB,QB25,,,6005,200,948,3028,7248,1.6,4.54,,7,4.28,31.50,,,,3.6,UDFA,NA,3.57,,,,,,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Jeremy Moussa,Florida A&M,FCS,QB,QB26,6SR,,6027,222,1048,3128,7448,1.7,5.22,,DNP,DNP,28.00,,,0.00,3.5,UDFA,NA,3.51,,,,,0,,,,,,,,
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,FALSE,Davius Richard,NC Central,,QB,QB27,,,6023,225,968,3138,7568,1.6,4.6,,DNP,DNP,34.00,,,,3.5,UDFA,NA,3.45,,,,,,,,,,,,,
