Pick Taken,Grade,,IN,Combine,Senior,Shrine,Hula,Name,School,Conferece,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3C,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Final Data Grade,Weight Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Rushing,Reciving,Pass Blocking,RAS,Age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.8,50%,20%,5%,10%,15%
120,2,2nd,TRUE,TRUE,TRUE,FALSE,FALSE,Jaylen Wright,Tennessee,SEC,RB,RB1,3JR,,5104,210,938,3148,7578,1.56,4.38,--,--,--,38,1102,04.01.03,21.1,7.21,0.48,6.73,7.7,9.1,9.1,9.1,8.3,,8.6,6.1,7.2,9.81,9.7
46,2,2nd,TRUE,TRUE,FALSE,TRUE,FALSE,Jonathon Brooks,Texas,Big 12,RB,RB2,3SO,,6003,216,928,3148,7578,DNP,DNP,--,--,--,--,--,07.21.03,20.8,7.33,0.26,7.068,7.6,9.2,9.2,9.2,8.4,,8.4,6.5,10,8,10.7
147,3,3rd,TRUE,TRUE,FALSE,FALSE,FALSE,Audric Estime,Notre Dame,Ind.,RB,RB3,3JR,,5113,222,1028,3238,7648,1.58,4.61,23,--,--,38,1005,09.06.03,20.7,6.87,0.33,6.54,7.2,9.0,9.0,9.0,8.2,,8.9,5.5,5.8,6.58,11.1
173,5,5th-6,TRUE,TRUE,TRUE,TRUE,FALSE,Isaiah Davis,South Dakota State,,RB,RB4,4SR,,6002,218,1028,3118,7478,1.57,4.57,23,--,--,34.5,911,02.21.02,22.2,5.59,0.59,5.00,6.2,7.4,7.4,7.4,7.4,,9.4,4.0,1.2,8.85,6.0
125,4,4th,TRUE,TRUE,FALSE,FALSE,FALSE,Bucky Irving,Oregon,Pac-12,RB,RB5,3JR,,5090,192,948,2948,7058,1.61,4.55,--,--,--,29.5,907,08.19.02,21.7,6.15,-0.25,6.40,5.9,7.4,7.8,7.8,7.1,,8.7,6.2,1.8,2.23,7.6
66,4,4th,TRUE,TRUE,FALSE,FALSE,FALSE,Trey Benson,Florida State,ACC,RB,RB6,4JR,,6002,216,928,3148,7638,1.55,4.39,--,--,--,33.5,1002,07.23.02,21.8,6.25,-0.49,6.74,5.8,7.2,7.2,7.2,7.2,,8.6,2.3,7.2,9.76,7.4
181,6,6th-7th,TRUE,TRUE,TRUE,FALSE,TRUE,Kimani Vidal,Troy,Sun Belt,RB,RB7,4SR,,5077,213,938,3038,7328,1.53,4.46,18,7.01,4.15,37.5,1000,08.28.01,22.7,5.08,0.38,4.70,5.5,6.5,6.5,6.5,6.5,,7.7,3.2,9.4,8.88,4.4
88,5,4th-5th,TRUE,TRUE,TRUE,FALSE,FALSE,MarShawn Lloyd,USC,Pac-12,RB,RB8,4JR,,5086,220,868,3038,7358,1.6,4.46,25,--,--,36,910,01.05.01,23.3,5.93,-0.75,6.68,5.2,6.2,6.2,6.2,6.2,,8.4,3.2,2.7,8.62,2.2
166,5,5th,TRUE,TRUE,FALSE,TRUE,TRUE,Tyrone Tracy Jr.,Purdue,Big Ten,RB,RB9,6SR,,5111,209,918,3168,7658,1.56,4.48,--,6.81,4.06,40,1004,11.23.99,24.4,5.62,-0.58,6.20,5.0,6.2,6.2,6.2,6.8,,9.3,5.5,6.6,9.78,-1.5
129,6,5th-6,TRUE,TRUE,FALSE,TRUE,TRUE,Isaac Guerendo,Louisville,ACC,RB,RB10,6SR,,6000,221,928,3068,7478,1.54,4.33,--,6.94,4.15,41.5,1009,06.28.00,23.8,5.46,-0.54,6.00,4.9,6.0,6.0,6.0,6.7,,7.5,8.5,2.8,9.9,0.5
UDFA,7,7th-PFA,TRUE,TRUE,FALSE,FALSE,FALSE,Kendall Milton,Georgia,SEC,RB,RB11,4SR,,6014,225,958,3168,7748,1.59,4.62,18,--,4.38,35.5,1004,02.10.02,22.2,4.51,0.16,4.35,4.7,5.8,5.8,5.8,5.8,,7.2,1.3,5.6,8.07,5.9
134,5,5th,TRUE,TRUE,FALSE,FALSE,FALSE,Braelon Allen,Wisconsin,Big Ten,RB,RB12,3JR,,6012,235,928,3128,7628,DNP,DNP,26,--,--,32,909,01.20.04,20.3,5.61,-0.94,6.55,4.7,5.8,5.8,5.8,5.3,,4.7,2.7,0.9,5,12.4
UDFA,UDFA,PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Frank Gore Jr.,Southern Miss,Sun Belt,RB,RB13,4SR,,5075,198,858,2900,7068,1.64,4.69,12,--,--,--,--,03.13.02,22.1,4.30,0.15,4.15,4.4,5.4,5.7,5.7,5.7,,7,3.7,9.4,0.6,6.2
UDFA,UDFA,7th-PFA,TRUE,TRUE,TRUE,FALSE,TRUE,Emani Bailey,TCU,Big 12,RB,RB14,4SR,,5073,206,968,2978,7068,1.58,4.57,--,--,--,33.5,908,11.28.01,22.4,4.45,-0.10,4.55,4.4,5.2,5.5,5.5,5.5,,6.9,3.8,4.8,2.27,5.2
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,TRUE,FALSE,Carson Steele,UCLA,Pac-12,RB,RB15,3JR,,6005,228,968,3000,7358,1.6,4.75,,,,,,10.21.02,21.5,4.20,0.10,4.10,4.3,5.2,5.2,5.8,5.3,,5.3,3.2,0.4,7.58,8.2
127,6,6th,TRUE,TRUE,FALSE,FALSE,FALSE,Will Shipley,Clemson,ACC,RB,RB16,3JR,,5110,206,958,3028,7418,1.54,4.45,--,--,--,--,--,"08.29,02",21.7,5.21,-1.04,6.25,4.2,5.2,5.5,5.5,5.0,,3.3,5.9,0.6,9.58,7.7
UDFA,UDFA,PFA,TRUE,TRUE,TRUE,FALSE,TRUE,Michael Wiley,Arizona,Pac-12,RB,RB17,5SR,,5104,210,928,3000,7418,1.55,4.51,--,--,4.43,33.5,911,11.10.00,23.5,4.10,-0.10,4.20,4.0,4.8,4.8,4.8,5.0,,4.5,8.8,0.6,7.19,1.7
UDFA,UDFA,PFA,TRUE,TRUE,FALSE,FALSE,TRUE,George Holani,Boise State,MWC,RB,RB18,5SR,,5103,208,968,2968,7238,1.58,4.52,24,7.32,4.33,39,1007,12.16.99,24.4,4.20,-0.30,4.50,3.9,4.9,5.1,5.1,5.4,,6.9,5.8,2.9,8.34,-1.3
128,6,6th-7th,TRUE,TRUE,TRUE,TRUE,FALSE,Ray Davis,Kentucky,SEC,RB,RB19,5SR,,5083,211,878,3028,7228,1.62,4.52,--,--,4.51,35,911,11.11.99,24.5,5.10,-1.20,6.30,3.9,4.6,4.6,4.6,4.9,,7.1,4.8,1.4,5.41,-1.6
