Pick Taken,Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Pos,Pos Rank,FS%,BOX%,SLOT%,Class,#,HT,WT,Hand,Arm,Wing,10,40,Bench,3Cone,SS,Vert,Broad,DOB,Age,Final Grade,Difference,DB Grade,Final Data Grade,Senior/Shrine invite Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Coverage,Run Defense,Tackling ,RAS,Age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35%,30%,15%,15%,5%
58,1,1st,TRUE,TRUE,TRUE,FALSE,FALSE,Javon Bullard,Georgia,SAF,SAF1,61%,13%,24%,3JR,,5104,198,900,3068,7378,1.51,4.47,,,,,,09.05.02,21.7,7.84,0.81,7.03,8.65,8.24,8.24,8.24,7.85,,8.98,3.68,6.68,8.25,7.80
133,2,2nd,TRUE,TRUE,TRUE,FALSE,FALSE,Jaden Hicks,Washington State,SAF,SAF2,25%,58%,13%,3SO,,6017,215,938,3148,7628,1.58,4.50,16,6.88,4.37,37.5,1002,08.16.02,21.7,7.23,0.01,7.23,7.24,6.89,6.89,6.89,6.56,,6.98,4.88,3.91,8.97,7.62
47,2,2nd,TRUE,TRUE,TRUE,FALSE,FALSE,Tyler Nubin,Minnesota,SAF,SAF3,61%,26%,11%,5SR,,6012,205,900,3200,7748,1.65,4.59,,,,,,06.14.01,22.9,7.11,0.20,6.91,7.30,6.96,6.96,6.96,7.32,,9.27,4.63,7.99,3.72,3.71
60,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,Cole Bishop,Utah,SAF,SAF4,42%,31%,17%,3JR,,6020,206,948,2968,7300,1.53,4.45,,,,39,1004,10.24.02,21.5,6.74,-0.15,6.89,6.60,6.28,6.28,6.28,5.98,,5.03,5.33,5.21,9.88,8.25
124,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,Malik Mustapha,Wake Forest,SAF,SAF5,24%,49%,21%,4JR,,5101,206,900,3018,7248,1.58,4.54,22,,,,,05.25.02,21.9,6.67,-0.05,6.72,6.62,6.31,6.31,6.31,6.31,,4.33,9.12,4.83,9.39,6.86
169,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,Kitan Oladapo,Oregon State,SAF,SAF6,22%,37%,35%,6SR,,6020,216,928,3238,7678,1.58,4.58,15,,,36,909,10.20.00,23.5,6.65,0.55,6.10,7.19,6.85,6.85,6.85,7.61,,7.53,9.20,6.47,8.18,1.54
89,3,3rd-4th,TRUE,TRUE,TRUE,FALSE,FALSE,Tykee Smith,Georgia,SAF,SAF7,3%,14%,69%,5SR,,5100,202,928,3158,7468,1.55,4.46,,,,36,1000,02.18.01,23.2,6.53,0.63,5.90,7.16,6.82,6.82,6.82,7.18,,8.07,5.51,4.84,7.43,2.65
78,4,4th,TRUE,TRUE,FALSE,FALSE,FALSE,Calen Bullock,USC,SAF,SAF8,38%,32%,29%,3JR,,6020,188,900,3248,7818,1.56,4.48,,,,,,04.30.03,21.0,6.37,-0.03,6.40,6.34,6.34,6.34,6.34,6.03,,7.24,0.68,6.78,6.38,9.96
99,4,4th,TRUE,TRUE,TRUE,FALSE,FALSE,Kamren Kinchens,Miami,SAF,SAF9,59%,17%,18%,3JR,,5112,202,968,3128,7500,1.53,4.60,,,,35,0902,09.29.02,21.6,6.27,-0.49,6.75,5.78,5.50,5.50,5.50,5.24,,5.97,4.49,2.50,2.43,8.02
164,4,4th,TRUE,TRUE,TRUE,FALSE,FALSE,Jaylin Simpson,Auburn,SAF,SAF10,46%,23%,30%,5SR,,5115,179,978,3238,7658,1.56,4.45,,,,39.5,1101,03.17.00,24.1,6.25,0.00,6.25,6.24,5.95,5.95,5.95,6.26,,8.37,-0.28,3.73,7.4,-0.44
104,4,4th,TRUE,TRUE,FALSE,TRUE,FALSE,Dadrion Taylor-Demerson,Texas Tech,SAF,SAF11,60%,14%,25%,5SR,,5103,197,958,3078,7428,1.54,4.41,,,,38,1003,01.20.01,23.3,6.11,-0.45,6.56,5.66,5.52,5.52,5.52,5.82,,5.55,5.82,6.88,8.1,2.38
242,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,James Williams,Miami,SAF,SAF12,41%,35%,13%,3JR,,,,,,,,,,,,30,909,02.15.03,21.2,5.89,0.79,5.10,6.67,6.36,6.36,6.36,6.05,,7.41,3.31,3.97,4.62,9.29
223,5,5th-6,TRUE,FALSE,FALSE,TRUE,FALSE,Trey Taylor,Air Force,SAF,SAF13,28%,46%,23%,5SR,,6006,206,928,3218,7648,1.59,4.59,22,6.9,4.13,37.5,1003,01.30.00,24.3,5.55,1.05,4.50,6.60,6.44,6.44,7.16,7.53,,8.80,5.72,5.29,9.33,-0.87
UDFA,6,5th-6,TRUE,TRUE,TRUE,FALSE,FALSE,Beau Brade,Maryland,SAF,SAF14,28%,51%,14%,4SR,,6000,203,1018,3100,7700,1.58,4.65,,,,,,01.29.02,22.3,5.41,-0.59,6.00,4.83,4.60,4.60,4.60,4.60,,4.07,5.47,3.12,5.38,5.80
UDFA,6,5th-6,TRUE,TRUE,TRUE,FALSE,FALSE,Josh Proctor,Ohio State,SAF,SAF15,48%,25%,26%,6SR,,6014,199,868,3200,7800,1.56,4.55,,,,32.5,1001,03.27.99,25.1,5.40,-0.35,5.75,5.05,4.81,4.81,4.81,5.34,,5.06,7.60,5.18,6.98,-3.69
111,6,6th,TRUE,TRUE,TRUE,FALSE,FALSE,Evan Williams,Oregon,SAF,SAF16,36%,39%,22%,5SR,,5112,206,1018,3018,7278,1.58,4.59,,,,40.5,1006,07.28.01,22.8,5.34,-0.26,5.60,5.08,4.84,4.84,4.84,5.09,,4.02,5.96,5.21,8.2,4.11
224,6,6th-7th,TRUE,TRUE,FALSE,TRUE,TRUE,Daijahn Anthony,Mississippi,SAF,SAF17,23%,21%,53%,6SR,,6000,194,900,3248,7638,1.56,4.53,,,,37,0908,09.09.00,23.6,5.09,-0.41,5.50,4.68,4.56,4.56,4.56,5.07,,5.34,3.73,6.17,6.62,1.17
161,6,6th-7th,TRUE,TRUE,FALSE,TRUE,FALSE,Dominique Hampton,Washington,SAF,SAF18,38%,30%,26%,6SR,,6023,213,1000,3328,7978,1.57,4.45,,6.83,4.14,39,1002,07.25.00,23.8,5.07,-1.23,6.30,3.84,3.75,3.75,3.75,4.17,,3.17,3.67,5.24,9.46,0.75
UDFA,7,6th-7th,TRUE,FALSE,FALSE,TRUE,FALSE,Omar Brown,Nebraska,SAF,SAF19,9%,22%,65%,5SR,,6006,205,928,3068,7678,1.53,4.53,,,,,,10.12.00,23.6,4.96,0.85,4.11,5.82,5.67,5.67,6.30,6.64,,7.53,5.51,2.52,6.58,1.47
132,7,7th,TRUE,TRUE,TRUE,FALSE,FALSE,Sione Vaki,Utah,SAF,SAF20,47%,26%,19%,3SO,,5111,213,858,2918,7218,1.57,4.51,20,,,39.5,1005,07.30.01,22.8,4.82,-0.43,5.25,4.38,4.17,4.17,4.17,3.97,,3.48,2.22,4.21,7.94,4.13
UDFA,7,7th,TRUE,FALSE,FALSE,FALSE,FALSE,Michael Dowell,Miami (OH),SAF,SAF21,13%,23%,59%,6SR,,,,,,,,,,,,,,, ,4.62,1.04,3.58,5.66,5.66,6.28,6.98,7.76,,8.14,7.42,8.89,9.01,0.00
UDFA,7,7th,TRUE,FALSE,FALSE,FALSE,FALSE,Emany Johnson,Nevada,SAF,SAF22,36%,44%,18%,6SR,,6017,218,928,3128,7500,1.54,4.50,,,,,,11.17.00,23.5,4.61,0.27,4.34,4.87,4.87,5.41,6.02,6.68,,6.39,6.82,5.62,9.58,1.80
257,7,7th-PFA,TRUE,TRUE,FALSE,TRUE,TRUE,Jaylen Key,Alabama,SAF,SAF23,39%,32%,27%,6SR,,6006,208,958,3228,7848,1.50,4.60,,,,36.5,1010,02.29.00,24.2,4.53,-0.02,4.55,4.51,4.40,4.40,4.40,4.89,,4.62,4.08,4.21,8.93,-0.59
UDFA,UDFA,7th-PFA,TRUE,FALSE,FALSE,TRUE,FALSE,Kenny Logan Jr.,Kansas,SAF,SAF24,40%,41%,18%,5SR,,5107,209,958,3168,7568,1.70,4.68,,,,,,10.25.00,23.5,4.48,0.31,4.17,4.79,4.67,4.67,5.19,5.47,,7.00,4.95,5.81,1.7,1.59
151,UDFA,7th-PFA,TRUE,TRUE,FALSE,TRUE,FALSE,Jaylon Carlies,Missouri,SAF,SAF25,47%,24%,22%,4SR,,6026,227,1000,3428,8058,1.59,4.5,20,,,32.5,1005,09.13.01,22.6,4.48,-0.92,5.40,3.55,3.47,3.47,3.47,3.47,,2.09,3.96,1.83,8.26,4.54
UDFA,UDFA,7th-PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Kam Pedescleaux,Tulane,SAF,SAF26,4%,16%,61%,6SR,,,,,,,,,,,,,,, ,4.42,NA,,4.42,4.42,4.91,5.45,6.06,,7.78,7.72,3.63,,0.00
UDFA,UDFA,PFA,FALSE,FALSE,FALSE,FALSE,FALSE,Larry Walker Jr.,Albany,SAF,SAF27,48%,36%,15%,5SR,,,,,,,,,,,,,,, ,4.32,NA,,4.32,4.32,4.81,5.34,5.62,,6.75,7.17,10.25,,0.00
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,TRUE,P.J. Jules,Southern Illinois,SAF,SAF28,1%,26%,64%,5SR,,5117,203,928,3200,7728,DNP,DNP,,,,,,05.18.98,26.0,4.32,0.26,4.06,4.57,4.57,5.08,5.65,5.94,,8.17,6.97,7.09,,-6.55
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,TRUE,FALSE,Mark Perry,TCU,SAF,SAF29,39%,48%,11%,5SR,,6000,213,918,3128,7618,1.58,4.40,,,,,,05.30.01,22.9,4.29,-0.81,5.10,3.48,3.39,3.39,3.77,3.97,,2.06,4.75,4.18,9.6,3.57
UDFA,UDFA,PFA,TRUE,TRUE,FALSE,FALSE,FALSE,Millard Bradford,TCU,SAF,SAF30,43%,21%,33%,5SR,,5104,191,900,3128,7248,1.55,4.42,15,,,38.5,1004,09.24.99,24.6,4.20,-0.20,4.40,3.99,3.99,3.99,3.99,4.20,,3.77,4.83,1.21,7.69,-2.04
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Juilius Woods,East Carolina,SAF,SAF31,,,,5SR,,6010,193,948,3228,7668,1.70,4.73,,,,,,,23.0,4.09,NA,4.09,,,,,,,,,,,3.33
UDFA,UDFA,PFA,TRUE,TRUE,FALSE,FALSE,TRUE,Demani Richardson,Texas A&M,SAF,SAF32,40%,29%,20%,5SR,,6004,210,978,3200,7718,1.59,4.60,,,,31,0908,10.07.00,23.6,4.04,-0.22,4.26,3.82,3.82,3.82,3.82,4.02,,3.09,5.59,7.91,5.15,1.42
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Ben Nikkel,Iowa State,SAF,SAF33,,,,6SR,,6002,199,948,3058,7568,1.50,4.45,,,,,,09.24.99,24.6,4.00,NA,4.00,,,,,,,,,,,-2.04
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,TRUE,FALSE,Tyler Owens,Texas Tech,SAF,SAF34,37%,27%,31%,5SR,,6023,216,918,3338,7918,1.52,DNP,,,,41,1202,05.12.01,23.0,3.92,-0.68,4.60,3.24,3.16,3.16,3.16,3.32,,4.48,2.06,4.84,,3.41
UDFA,UDFA,UDFA,TRUE,TRUE,FALSE,FALSE,FALSE,Andre Sam,LSU,SAF,SAF35,60%,12%,27%,7SR,,5107,193,928,3000,7338,1.61,4.52,,,,36,1003,02.09.99,25.2,3.90,-0.47,4.37,3.43,3.43,3.43,3.43,4.04,,4.50,3.30,3.21,5.45,-4.11
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Quinten Arello,Dartmouth,SAF,SAF36,78%,12%,9%,5SR,,,,,,,,,,,,,,01.21.01,23.3,3.89,0.48,3.41,4.36,4.36,4.85,5.39,5.67,,6.95,6.91,6.73,,2.39
198,UDFA,UDFA,TRUE,TRUE,FALSE,FALSE,TRUE,Patrick McMorris,Cal,SAF,SAF37,43%,32%,22%,5SR,,6001,207,968,3178,7718,DNP,DNP,13,6.88,3.98,35.5,0910,10.18.01,22.5,3.86,-0.43,4.29,3.43,3.43,3.43,3.43,3.61,,4.35,1.77,-0.74,3.71,4.86
UDFA,UDFA,UDFA,TRUE,FALSE,FALSE,FALSE,TRUE,Akeem Dent,Florida State,SAF,SAF38,46%,39%,11%,5SR,,5116,203,848,3100,7428,1.53,4.45,,,,,,01.26.01,23.3,3.84,-0.30,4.14,3.55,3.55,3.94,4.38,4.61,,3.03,6.55,4.28,8.67,2.44
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Alfahiym Walcott,Arkansas,SAF,SAF39,44%,34%,20%,5SR,,,,,,,,,,,,,,, ,3.80,0.30,3.50,4.10,4.10,4.55,5.06,5.33,,7.12,5.08,7.51,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Quinten Johnson,Michigan,SAF,SAF40,61%,21%,16%,5SR,,,,,,,,,,,,,,, ,3.79,NA,,3.79,3.79,4.21,4.68,4.92,,6.55,4.98,2.57,,0.00
UDFA,UDFA,UDFA,FALSE,FALSE,FALSE,FALSE,FALSE,Dell Pettus,Troy,SAF,SAF41,31%,37%,28%,5SR,,,,,,,,,,,,,,,22.0,3.69,NA,,3.69,3.69,4.10,4.56,4.80,,4.04,4.37,8.52,6.4,6.67
