Pick Taken,Grade,,In,Combine,Senior,Shrine,Hula,Name,School,Conf,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,Bench,3Cone,SS,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Final  Data Grade,Senior/Shrine Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Reciving,Pass Block,Run Block,RAS,Age
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.95,70%,5%,5%,15%,5%
13,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,Brock Bowers,GEORGIA,,TE,TE1,3JR,19,6031,243,968,3268,7828,DNP,DNP,DNP,DNP,DNP,DNP,DNP,12.13.02,21.4,8.98,-0.02,9.00,8.96,8.5,8.5,8.5,8.0,,8.34,6.6,4.1,10,10.4
53,2,2nd,TRUE,TRUE,TRUE,FALSE,FALSE,Ben Sinnott,KANSAS ST,,TE,TE2,4JR,34,6037,250,948,3238,7748,1.62,4.68,DNP,6.82,4.23,40,1006,06.14.02,21.9,7.13,0.88,6.25,8.01,7.6,7.5,7.5,7.5,,7.38,7.5,8.7,9.73,8.7
101,2,2nd-3rd,TRUE,TRUE,FALSE,TRUE,FALSE,Ja'Tavion Sanders,TEXAS,,TE,TE3,3JR,0,6037,245,1018,3278,7828,1.60,4.69,8,DNP,4.32,30,906,03.27.03,21.1,7.01,0.01,7.00,7.02,6.7,6.6,6.6,6.2,,6.71,3.9,3.8,5.75,11.3
123,4,3rd-4th,TRUE,TRUE,FALSE,FALSE,FALSE,Cade Stover,Ohio State,,TE,TE4,5SR,8,6037,247,968,3268,7728,1.61,4.65,DNP,DNP,4.45,34.5,0909,06.12.00,23.9,6.42,0.02,6.40,6.44,6.1,6.1,6.1,6.5,,6.94,7.925,4.15,8.22,2.0
131,4,4th,TRUE,TRUE,TRUE,FALSE,FALSE,Jared Wiley,TCU,,TE,TE5,5SR,19,6061,249,948,3328,7928,1.60,4.62,DNP,7.19,4.52,37,0910,11.02.00,23.5,6.21,-0.48,6.69,5.73,5.5,5.4,5.4,5.6,,5.70,8.2,-0.7,9.30,3.3
107,5,4th-5th,TRUE,TRUE,TRUE,FALSE,FALSE,Theo Johnson,PENN STATE,,TE,TE6,4SR,84,6061,259,1028,3300,8068,1.61,4.57,19,7.15,4.19,39.5,1005,02.26.01,23.2,5.96,-0.79,6.75,5.17,4.9,4.8,4.8,4.8,,4.18,7.0,2.0,9.93,4.4
121,5,4th-5th,TRUE,TRUE,TRUE,FALSE,FALSE,A.J. Barner,MICHIGAN,,TE,TE7,4SR,,6060,251,900,3338,8178,1.65,4.84,22,7.02,4.41,34.50,909,05.03.02,22.0,5.93,0.18,5.75,6.10,6.2,6.0,6.0,6.0,,5.43,6.3,10.5,8.7,8.3
82,5,5th,TRUE,TRUE,FALSE,TRUE,FALSE,Tip Reiman,ILLINOIS,,TE,TE8,4SR,,6047,271,1048,3278,7948,1.61,4.64,28,7.02,4.26,33.5,1001,09.17.01,22.6,5.70,-0.20,5.90,5.50,5.2,5.2,5.2,5.2,,4.59,7.4,1.5,9.92,6.2
231,6,5th-6,TRUE,TRUE,TRUE,FALSE,FALSE,Jaheim Bell,FLORIDA ST,,TE,TE9,4SR,,6020,241,1000,3300,7868,1.59,4.61,DNP,DNP,DNP,35,1004,06.14.01,22.9,5.49,-0.01,5.50,5.48,5.2,5.1,5.1,5.1,,5.11,0.7,4.7,8.45,5.4
194,6,6th,TRUE,TRUE,FALSE,FALSE,FALSE,Tanner McLachlan,ARIZONA,,TE,TE10,6SR,,6051,244,938,3158,7728,1.63,4.61,20,7.38,4.58,35,0909,03.15.99,25.1,5.35,-0.65,6.00,4.70,4.8,4.8,4.8,5.3,,5.94,6.8,1.3,7.66,-2.1
UDFA,6,6th-7th,TRUE,TRUE,FALSE,TRUE,FALSE,Dallin Holker,COLO STATE,,TE,TE11,4JR,,6033,234,1028,3358,7818,1.71,4.77,15,6.83,4.21,32.5,1002,04.07.00,24.1,5.03,-0.22,5.25,4.82,4.6,4.5,4.5,4.5,,4.64,8.7,2.4,6.07,1.4
115,7,7th,TRUE,TRUE,FALSE,FALSE,FALSE,Erick All,Iowa,,TE,TE12,5SR,,6043,252,1018,3300,7900,DNP,DNP,DNP,DNP,DNP,DNP,DNP,09.13.00,23.6,4.64,-0.76,5.40,3.87,3.7,3.7,3.7,3.9,,4.24,-0.9275,5.85,4.88,2.9
UDFA,7,7th-PFA,TRUE,TRUE,FALSE,FALSE,FALSE,Jack Westover,WASHINGTON,,TE,TE13,6SR,,6025,243,918,3218,7718,DNP,DNP,DNP,7.08,4.38,DNP,DNP,06.09.99,24.9,4.56,-0.04,4.60,4.53,4.6,4.6,4.6,5.1,,5.71,6.0,7.8,4.88,-1.3
UDFA,7,7th-PFA,TRUE,FALSE,FALSE,TRUE,FALSE,McCallan Castles,TENNESSEE,,TE,TE14,6SR,,6043,244,978,3300,7918,1.66,4.67,16,7.21,4.36,37.5,1006,12.03.99,24.4,4.55,0.35,4.20,4.91,4.7,4.6,5.4,6.0,,6.35,8.4,3.9,8.59,0.3
UDFA,UDFA,7th-PFA,TRUE,TRUE,FALSE,FALSE,TRUE,Trey Knox,S CAROLINA,,TE,TE15,5SR,,6030,234,968,3400,8028,1.70,4.9,21,7.09,4.53,34.00,1001,08.14.01,22.7,4.42,0.02,4.40,4.43,4.5,4.5,4.5,4.7,,5.16,6.6,0.6,4.63,5.9
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,Colson Yankoff,UCLA,,TE,TE16,6SR,,6032,233,948,3200,7878,1.57,4.61,,,,,,,,4.30,NA,4.30,,,,,,,,,,,
UDFA,UDFA,PFA,TRUE,TRUE,TRUE,FALSE,FALSE,Brevyn Spann-Ford,MINNESOTA,,TE,TE17,6SR,,6064,260,1028,3338,8000,1.66,4.77,18,7.38,4.51,31.5,0908,12.27.99,24.4,4.22,-0.78,5.00,3.45,3.5,3.4,3.4,3.8,,3.48,4.9,5.5,6.79,0.5
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,TRUE,FALSE,Mason Fairchild,KANSAS,,TE,TE18,5SR,,6040,249,968,3118,7700,1.77,4.9,27,7.19,4.46,31.50,908,,23.0,4.12,0.46,3.66,4.57,4.7,4.6,5.4,5.7,,6.39,8.6,2.7,4.85,5.0
