Pick Taken,Grade,,IN,Combine,Senior,Shrine,Hula,RP,Name,School,Conference,Pos,Pos Rank,Class,#,HT,WT,Hand,Arm,Wing,10,40,BP,3c,Shuttle,VJ,BJ,DOB,Age,Final Grade,Difference,DB Grade,Cutoff Count,Speed Adjust,Size Adjust,Senior/Shrine Adjust,Combine Adjust,Year Adjust,Raw Grade,Posistional Value ,Man,Zone,RAS,Hands,YAC,Separation,Age,Size,Contested Catch,Press
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,25%,25%,15%,10%,15%,"Check ""Raw Grade"" formula for % if this is filled in",5%,,5%,
4,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Marvin Harrison Jr.,Ohio State,Big Ten,WR,WR1,3JR,18,6032,209,948,3178,7728,1.55,4.55,DNP,DNP,DNP,DNP,DNP,8-11-02,21.7,9.58,0.13,9.45,0,9.7,9.7,9.4,9.4,9.4,8.9,,8.57,8.7,9.5,3.2,2.9,9.02,7.6,8.5,6.6,9.93
9,1,1st,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Rome Odunze,Washington,Pac-12,WR,WR2,4JR,1,6027,212,928,3228,7668,1.54,4.45,DNP,6.88,4.03,39,1004,6-3-02,21.9,9.42,0.32,9.10,0,9.7,9.7,9.4,9.2,9.2,9.2,,8.52,6.9,9.92,8.2,5.7,8.96,7.0,8.6,10.5,10.37
6,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Malik Nabers,LSU,SEC,WR,WR3,3JR,8,6002,199,978,3138,7618,1.56,4.38,15,DNP,DNP,42,1009,7-28-03,20.8,9.39,-0.01,9.40,0,9.4,9.4,9.3,9.3,9.3,8.8,,8.33,8.4,9.67,7.0,8.2,7.81,10.8,5.5,4.7,6.58
23,1,1st,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Brian Thomas Jr.,LSU,SEC,WR,WR4,3JR,11,6027,209,968,3268,7958,1.52,4.33,11,DNP,DNP,38.5,1006,10-8-02,21.6,8.12,-0.08,8.20,0,8.0,7.8,7.6,7.6,7.6,7.1,,4.65,5.9,9.84,6.5,5.0,6.5,8.1,8.3,6.8,7.6
52,1,1st-2nd,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Adonai Mitchell,Texas,Big 12,WR,WR5,3JR,5,6022,205,900,3238,7758,1.48,4.34,DNP,DNP,DNP,39.5,1104,10-8-02,21.6,7.59,0.17,7.42,0,7.8,7.5,7.3,7.3,7.3,6.8,,5.13,3.7,9.99,9.7,3.4,7.2,8.1,7.7,5.0,7.7
102,2,1st-2nd,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Troy Franklin,Oregon,Pac-12,WR,WR6,3JR,11,6017,176,868,3178,7728,1.54,4.41,DNP,6.9,4.31,39,1004,2-6-03,21.2,7.46,0.47,6.99,1,7.9,7.9,8.0,8.0,8.0,7.5,,7.57,7.6,9.02,3.2,5.6,6.9,9.2,4.4,4.8,3.32
34,2,2nd,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Ladd McConkey,Georgia,SEC,WR,WR7,4JR,84,5115,186,858,3028,7200,1.52,4.39,13,6.72,3.97,36,1004,11-11-01,22.5,7.36,-0.09,7.45,2,7.3,7.1,7.2,7.0,7.0,7.0,,5.57,9.2,9.34,5.3,6.9,8.3,5.1,3.6,5.0,-1.1
31,2,2nd,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Ricky Pearsall,Florida,SEC,WR,WR8,5SR,1,6010,191,928,3078,7338,1.49,4.41,17,6.64,4.05,42,1009,9-9-00,23.6,7.28,0.19,7.09,0,7.5,7.5,7.5,7.3,7.3,7.5,,7.29,5.7,9.91,8.6,4.5,9.9,1.2,5,4.3,3.84
225,2,2nd-3rd,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Brenden Rice,USC,Pac-12,WR,WR9,4SR,2,6023,208,958,3300,7800,1.59,4.5,13,6.95,4.45,36.5,911,3-18-02,22.1,7.01,0.56,6.45,0,7.6,7.6,7.4,7.2,7.2,7.2,,7.71,6.1,7.17,7.3,5.1,,6.3,8.0,6.1,
28,3,2nd-3rd,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Xavier Worthy,Texas,Big 12,WR,WR10,3JR,1,5112,165,868,3118,7428,1.44,4.21,DNP,DNP,DNP,41,1011,4-27-03,21.0,6.99,-0.06,7.05,1,6.9,6.4,6.6,6.6,6.6,6.1,,4.21,5.1,9.41,5.8,6.9,6.2,10.0,2.1,1.8,2.78
80,3,2nd-3rd,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Jermaine Burton,Alabama,SEC,WR,WR11,4SR,3,6002,196,978,3100,7518,1.59,4.45,DNP,DNP,DNP,38.5,1101,6-28-01,22.8,6.97,0.46,6.51,0,7.4,7.4,7.4,7.2,7.2,7.2,,6.35,6.6,9.09,10.2,0.8,7.7,3.9,5.2,5.5,5.84
37,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Ja'Lynn Polk,Washington,Pac-12,WR,WR12,4JR,2,6013,203,968,3168,7448,1.59,4.52,DNP,DNP,DNP,37.5,1009,04-11-02,22.0,6.87,0.09,6.78,0,7.0,7.0,6.8,6.7,6.7,6.7,,6.52,4.3,8.84,6.1,3.9,6.3,6.5,6.8,5.8,5.69
33,3,3rd,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Keon Coleman,Florida State,ACC,WR,WR13,3JR,4,6032,213,938,3218,7818,1.62,4.61,DNP,DNP,DNP,38,1007,5-17-03,20.9,6.86,-0.42,7.28,2,6.4,6.6,6.4,6.4,6.4,5.9,,5.31,3.5,8.18,8.0,7.2,4.7,10.2,8.9,6.6,1.39
184,3,3rd,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Malik Washington,Virginia,ACC,WR,WR14,5SR,4,5084,191,928,3038,7278,1.57,4.47,19,6.87,4.26,42.5,1006,10-20-00,23.5,6.81,0.13,6.69,2,6.9,6.9,7.1,7.0,7.0,7.2,,8.04,8.2,8.63,8.6,7.5,7.3,1.6,2.6,5.1,-0.83
32,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Xavier Legette,South Carolina,SEC,WR,WR15,5SR,17,6010,221,900,3178,7748,1.57,4.39,24,DNP,DNP,40,1006,1-29-01,23.2,6.75,-0.02,6.77,0,6.7,6.7,6.5,6.4,6.4,6.5,,7.02,6.2,9.90,7.6,4.0,4.5,2.5,7.9,4.7,1.89
110,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Javon Baker,UCF,AAC,WR,WR16,4SR,1,6012,202,958,3228,7828,1.58,4.54,DNP,DNP,DNP,37,1001,2-18-02,22.2,6.73,0.43,6.30,0,7.2,7.2,7.1,6.9,6.9,6.9,,7.56,5.1,7.83,1.6,6.2,6.6,6.0,6.6,6.9,5.72
65,3,3rd,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Malachi Corley,Western Kentucky,C-USA,WR,WR17,4SR,11,5105,207,900,3100,7478,1.59,4.56,DNP,DNP,4.22,DNP,DNP,3-21-02,22.1,6.64,-0.38,7.02,1,6.3,6.3,6.2,6.0,6.0,6.0,,7.78,2.7,6.45,5.4,7.7,,5.3,6.1,1.1,
84,3,3rd,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Roman Wilson,Michigan,Big Ten,WR,WR18,4SR,1,5106,185,938,3038,7248,1.51,4.39,12,6.89,4.07,DNP,DNP,06-19-01,22.9,6.61,-0.56,7.18,2,6.1,5.9,6.0,5.9,5.9,5.9,,6.8,6.1,8.6,9.3,2.3,3.4,3.8,2.8,4.9,0.24
185,3,3rd-4th,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Johnny Wilson,Florida State,ACC,WR,WR19,4JR,,6063,231,1000,3538,8448,1.59,4.52,DNP,DNP,DNP,37,1008,4-3-01,23.1,6.55,0.55,6.00,0,7.1,7.1,6.8,6.6,6.6,6.6,,5.4,5.4,9.7,0.8,4.8,6.1,3.1,10,6.3,8.41
113,3,3rd-4th,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Devontez Walker,North Carolina,ACC,WR,WR20,4JR,9,6014,193,918,3328,7918,1.51,4.36,DNP,DNP,4.30,40.5,1102,06-19-01,22.9,6.53,-0.07,6.60,0,6.5,6.3,6.2,6.1,6.1,6.1,,4.61,7.1,9.76,5.1,1.8,,3.8,5.8,5.2,
241,4,4th,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Tahj Washington,USC,Pac-12,WR,WR21,5SR,16,5096,174,838,2918,7000,1.63,4.52,DNP,6.84,4.22,35,1003,5-16-01,23.0,6.25,0.75,5.50,4,7.0,7.1,7.4,7.3,7.3,7.5,,7.72,6.4,5.13,9.7,8.8,,3.5,1.4,3.4,
100,5,4th-5th,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Luke McCaffrey,Rice,C-USA,WR,WR22,5SR,,6015,198,958,3018,7448,1.56,4.46,DNP,6.7,4.02,36,1001,04-02-01,23.1,5.96,0.26,5.70,1,6.2,6.2,6.1,6.0,6.0,6.1,,3.86,5.5,9.44,8.1,4.2,,3.1,6.5,6.9,
152,5,5th,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Ainias Smith,Texas A&M,SEC,WR,WR23,5SR,0,5093,190,848,2900,7028,1.57,4.55,21,6.84,4.26,DNP,DNP,5-31-01,22.9,5.79,0.54,5.25,2,6.3,6.3,6.5,6.3,6.3,6.5,,4.89,4.7,7.36,9.6,8.3,,3.6,2.7,2.4,
92,5,5th,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Jalen McMillan,Washington,Pac-12,WR,WR24,4JR,11,6010,197,1000,3218,7738,1.62,4.47,DNP,6.94,4.18,37,1007,12-7-01,22.4,5.78,-0.62,6.40,1,5.2,5.2,5.2,5.1,5.1,5.1,,5.38,3.6,8.67,3.2,4.6,5.4,5.4,5.8,0.6,0.58
253,6,5th-6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Cornelius Johnson,Michigan,Big Ten,WR,WR25,5SR,6,6026,212,858,3178,7728,1.52,4.44,13,6.93,4.37,37.5,1007,11-29-00,23.4,5.48,0.08,5.40,0,5.6,5.6,5.4,5.3,5.3,5.5,,5.03,5,9.45,5.2,0.4,,2.0,8.5,8.9,
142,6,5th-6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Anthony Gould,Oregon State,Pac-12,WR,WR26,5SR,2,5083,174,878,2958,6978,1.5,4.39,DNP,6.94,4.16,39.5,1009,4-6-01,23.1,5.44,-0.31,5.75,3,5.1,5.0,5.2,5.1,5.1,5.3,,7.86,1,8.87,3.9,4.1,,3.1,0.87,3.4,
UDFA,6,6th,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Isaiah Williams,Illinois,Big Ten,WR,WR27,5SR,1,5092,179,918,3018,7268,1.56,4.57,17,6.75,4.11,38,1008,1-29-01,23.2,5.38,0.58,4.80,4,6.0,6.0,6.2,6.1,6.1,6.3,,4.22,6,8.31,6.5,7.6,,2.5,1.8,1.5,
156,6,6th,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Jamari Thrash,Louisville,ACC,WR,WR28,5SR,1,5116,188,858,3100,7448,1.52,4.46,DNP,7.16,DNP,34,1000,12-19-00,23.4,5.36,-0.24,5.60,1,5.1,5.1,5.2,5.0,5.0,5.2,,5.49,4.4,6.77,1.3,6.5,,2.1,3.9,1.9,
216,6,6th,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Ryan Flournoy,SE Missouri State,,WR,WR29,6SR,,6006,202,1018,3158,7618,1.52,4.44,,,,,,,0.0,5.30,0.00,5.30,0,,0.0,0.0,,,,,,,,,,,,,,
135,6,6th,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Jacob Cowing,Arizona,Pac-12,WR,WR30,5SR,2,5083,168,900,2928,6918,1.52,4.38,13,7.02,4.32,36,1001,2-4-01,23.2,5.14,-1.11,6.25,3,4.0,3.9,4.1,4.0,4.0,4.1,,5.85,2.1,6.28,4.2,1.8,,2.6,0.6,1.0,
UDFA,7,6th-7th,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Jalen Coker,Holy Cross,,WR,WR31,4JR,,6013,208,978,3278,7668,1.6,4.57,,,,,,,0.0,4.90,0.00,4.90,1,,0.0,0.0,,,,,,,,,,,,,,
UDFA,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Lideatrick Griffin,Mississippi St.,SEC,WR,WR32,4SR,5,5100,181,918,3058,7268,1.54,4.43,DNP,7,4.35,35.5,1004,1-23-01,23.3,4.90,0.15,4.75,3,5.0,5.0,5.2,5.1,5.1,5.1,,6.18,1.9,6.95,3.1,7.5,,2.5,2.16,2.9,
UDFA,7,7th,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Joshua Cephus,UTSA,C-USA,WR,WR33,5SR,2,6021,193,918,3158,7600,1.52,4.58,DNP,7.12,4.37,32.5,1002,3-5-01,23.1,4.81,0.31,4.50,2,5.1,5.1,5.1,5.0,5.9,6.0,,6.58,4.3,5.93,9.3,4.8,,2.8,6.36,3.6,
170,7,7th,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Bub Means,Pittsburgh,ACC,WR,WR34,5SR,0,6010,212,1018,3328,7938,1.56,4.43,19,DNP,4.40,39.5,1002,1-10-01,23.3,4.76,-0.24,5.00,0,4.5,4.5,4.4,4.4,4.4,4.5,,1.68,4.5,9.35,5.7,1.6,,2.3,7.47,5.8,
213,7,7th,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Jordan Whittington,Texas,Big 12,WR,WR35,5SR,13,6005,205,1000,3038,7358,DNP,DNP,18,DNP,DNP,DNP,DNP,10-1-00,23.6,4.62,0.02,4.60,1,4.6,4.8,4.7,4.6,4.6,4.7,,4.67,2.2,5,5.4,6.3,,1.4,6.5,7.0,
182,7,7th-PFA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Jha'Quan Jackson,Tulane,AAC,WR,WR36,5SR,4,5091,188,878,3078,7478,1.54,4.42,12,DNP,DNP,32,910,5-12-00,24.0,4.57,-1.23,5.80,2,3.3,3.3,3.4,3.4,3.4,3.4,,0.71,5.3,5.34,0.7,4.7,,0.1,2.4,2.0,
UDFA,7,7th-PFA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Marcus Rosemy-Jacksaint,Georgia,SEC,WR,WR37,4SR,1,6011,206,1000,3300,7768,1.66,4.81,11,7.35,4.45,35,911,1-8-02,22.3,4.55,0.24,4.31,3,4.8,4.9,4.9,4.8,4.8,4.8,,3.19,6.7,1.68,9.0,1.5,,5.6,5.78,5.9,
UDFA,7,7th-PFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Mason Tipton,Yale,,WR,WR38,5SR,,5097,179,918,2948,7100,1.46,4.33,,,,,,,0.0,4.55,0.00,4.55,2,,0.0,0.0,,,,,,,,,,,,,,
UDFA,UDFA,7th-PFA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Xavier Weaver,Colorado,Pac-12,WR,WR39,5SR,10,6002,175,878,3118,7328,1.48,4.47,DNP,7,4.30,37,1007,10-12-00,23.5,4.44,-0.66,5.10,1,3.8,3.8,3.9,4.3,4.3,4.4,,4.26,2,7.9,5.5,3.7,,1.5,2.88,2.9,
UDFA,UDFA,PFA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Jaxon Janke,South Dakota State,,WR,WR40,6SR,,6023,214,878,3048,7578,1.54,4.58,,,,,,,0.0,4.37,0.00,4.37,2,,0.0,0.0,,,,,,,,,,,,,,
