Rnd,Pick,Tm,Player,Pos,School
1,1,TEN,Cam Ward,QB,Miami (FL)
1,2,JAX,Travis Hunter,WR,Colorado
1,3,NYG,Abdul Carter,DE,Penn St.
1,4,NWE,Will Campbell,OT,LSU
1,5,CLE,Mason Graham,DT,Michigan
1,6,LVR,Ashton Jeanty,RB,Boise St.
1,7,NYJ,Armand Membou,OL,Missouri
1,8,CAR,Tetairoa McMillan,WR,Arizona
1,9,NOR,Kelvin Banks,OL,Texas
1,10,CHI,Colston Loveland,TE,Michigan
1,11,SFO,Mykel Williams,DL,Georgia
1,12,DAL,Tyler Booker,OL,Alabama
1,13,MIA,Kenneth Grant,DT,Michigan
1,14,IND,Tyler Warren,TE,Penn St.
1,15,ATL,Jalon Walker,DE,Georgia
1,16,ARI,Walter Nolen,DT,Mississippi
1,17,CIN,Shemar Stewart,DE,Texas A&M
1,18,SEA,Grey Zabel,OT,North Dakota St.
1,19,TAM,Emeka Egbuka,WR,Ohio St.
1,20,DEN,Jahdae Barron,CB,Texas
1,21,PIT,Derrick Harmon,DT,Oregon
1,22,LAC,Omarion Hampton,RB,North Carolina
1,23,GNB,Matthew Golden,WR,Texas
1,24,MIN,Donovan Jackson,OL,Ohio St.
1,25,NYG,Jaxson Dart,QB,Mississippi
1,26,ATL,James Pearce,DE,Tennessee
1,27,BAL,Malaki Starks,SAF,Georgia
1,28,DET,Tyleik Williams,DT,Ohio St.
1,29,WAS,Josh Conerly,OL,Oregon
1,30,BUF,Maxwell Hairston,CB,Kentucky
1,31,PHI,Jihaad Campbell,LB,Alabama
1,32,KAN,Josh Simmons,OL,Ohio St.
2,33,CLE,Carson Schwesinger,LB,UCLA
2,34,HOU,Jayden Higgins,WR,Iowa St.
2,35,SEA,Nick Emmanwori,SAF,South Carolina
2,36,CLE,Quinshon Judkins,RB,Ohio St.
2,37,MIA,Jonah Savaiinaea,OL,Arizona
2,38,NWE,TreVeyon Henderson,RB,Ohio St.
2,39,CHI,Luther Burden,WR,Missouri
2,40,NOR,Tyler Shough,QB,Louisville
2,41,BUF,T.J. Sanders,DT,South Carolina
2,42,NYJ,Mason Taylor,TE,LSU
2,43,SFO,Alfred Collins,DT,Texas
2,44,DAL,Donovan Ezeiruaku,DE,Boston Col.
2,45,IND,JT Tuimoloau,DE,Ohio St.
2,46,LAR,Terrance Ferguson,TE,Oregon
2,47,ARI,Will Johnson,CB,Michigan
2,48,HOU,Aireontae Ersery,OL,Minnesota
2,49,CIN,Demetrius Knight,LB,South Carolina
