NAME:,SCHOOL:,HEIGHT,WEIGHT,Hand Size ,Arm Length,Wingspan,40 Yard Dash,10 Yard Split,Vertical,Broad,3 Cone,Shuttle,Bench
Keith Abney II,Arizona State,5100,187,968,3000,,,,,,,,
Marcus Allen,North Carolina,6015,187,848,3218,,4.5,1.62,39,1003,,,
Jadon Canady,Oregon,5104,181,928,3000,,,,,,,,
Brandon Cisse,South Carolina ,6000,189,848,3068,7578,,,41,1011,,,
Bud Clark,TCU,6010,188,900,3148,,4.41,1.56,38,,,,
Tacario Davis,Washington,6037,194,928,3338,8078,4.41,1.59,,1003,,,
Mansoor Delane,LSU,6000,187,878,3000,7448,,,,,,,
Charles Demmings,Stephen F. Austin ,6010,193,1018,3200,,4.41,1.55,42,1100,,,
Thaddeus Dixon,North Carolina ,6010,195,1000,3118,,,,39.5,1005,,,
Caleb Downs ,Ohio State,5115,206,948,3028,7328,,,,,,,
Daylen Everette,Georgia ,6012,196,958,3178,,4.38,1.54,,1004,,,
Bishop Fitzgerald ,USC,5110,201,948,3128,,4.55,1.58,,,,,
Andre Fuller,Toledo,6010,200,938,3068,,4.49,1.56,,1009,,4.28,
Jaylon Guibeau,Texas ,5110,190,928,3018,,,,,,, ,
TJ Hall,Iowa,6010,189,948,3000,,4.59,1.62,,,7.19,4.19,
Ahmari Harvey ,Georgia Tech,5110,185,938,3038,,,,,,,,
AJ Haulcy,LSU,5115,215,928,3078,,4.52,1.62,,,,,
Colton Hood,Tennessee,5115,193,900,3138,7478,4.44,1.58,40.5,1005,,,
Jalen Huskey,Maryland,6010,196,1028,3078,,,,,,,,
Davidson Igbinosun,Ohio State,6021,189,918,3278,,4.45,1.58,,1000,,,
Domani Jackson,Alabama,6010,194,918,3118,,4.41,1.58,,,,,
Chris Johnson,San Diego State,6000,193,978,3058,,4.4,1.54,,1006,,,
Dalton Johnson ,Arizona ,5107,192,918,3078,,4.41,1.59,,,,,
Jalon Kilgore,South Carolina,6013,210,938,3278,,4.4,1.56,,,,4.32,
Will Lee III,Texas A&M,6014,189,900,3268,,4.52,1.56,42,1100,,,
Hezekiah Masses,Cal,6010,179,828,3118,,4.46,1.57,,911,,,
Jermod McCoy ,Tennessee ,6006,188,900,3128,7700,,,,,,,
Latrell McCutchin Sr.,Houston,6020,191,848,3128,,4.43,1.58,,1011,7,4.18,
Emmanuel McNeil-Warren,Toledo ,6034,201,928,3218,7828,4.52,1.58,,,,,
Devin Moore,Florida ,6032,198,858,3158,7678,4.5,1.56,,,,,
Louis Moore ,Indiana,5110,191,978,2948,,,,,,,,
Ahmaad Moses ,SMU,5090,196,918,3028,,,,38,,,,
Malik Muhammad ,Texas,6000,182,978,3238,,4.42,1.51,39,1011,,,
Julian Neal ,Arkansas,6020,203,948,3268,,4.49,1.59,40,1102,7.13,4.2,
Xavier Nwankpa,Iowa,6024,208,828,3068,,4.48,1.62,,,,,
VJ Payne,Kansas State,6032,206,948,3368,,4.4,1.52,,,,,
D'Angelo Ponds,Indiana ,5085,182,958,2938,7228,,,43.5,,,,
Toriano Pride Jr,Missouri ,5100,185,928,3100,,4.32,1.51,,1008,7.2,,
Ephesians Prysock,Washington ,6033,196,968,3318,8048,4.45,1.57,39,1004,,,
Kamari Ramsey ,USC,6002,202,928,3058,,4.47,1.57,,,,,
Chandler Rivers,Duke,5094,185,948,2938,,4.4,1.55,39,1010,,,
Keionte Scott ,Miami,5112,193,958,3138,7658,,,,,,,
DeShon Singleton,Nebraska ,6030,205,1000,3278,,,,39.5,,,,
Avery Smith,Toledo,5104,196,838,2938,,4.54,1.61,,1005,7.03,4.46,
Genesis Smith,Arizona ,6021,202,878,3248,7928,,,42.5,,,4.18,
Robert Spears-Jennings ,Oklahoma ,6017,205,1038,3248,,4.32,1.51,,,,4.43,
Treydan Stukes,Arizona ,6058,190,848,3168,,4.33,1.5,38,,,,
Lorenzo Styles Jr,Ohio State,6004,194,948,3158,,4.27,1.49,39,,,,
Michael Taaffe,Texas,5117,190,938,2928,,4.5,1.58,,,,,
Avieon Terrell,Clemson,5106,186,858,3100,7548,,,,1003,,,
Dillon Thieneman,Oregon,6001,201,900,3138,7818,4.35,1.52,41,,,,
Jakobe Thomas,Miami,6012,211,1058,3178,7600,,,,,,,
Zakee Wheatley,Penn State,6030,203,948,3100,,,,,,,,
Collin Wright,Stanford,6000,188,868,3068,,,,39,,,,
