NAME:,SCHOOL:,HEIGHT,WEIGHT,Hand Size ,Arm Length,Wingspan,40 Yard Dash,10 Yard Split,Vertical,Broad,3 Cone,Shuttle,Bench
Vincent Anthony Jr,Duke ,6060,258,1000,3418,,4.84,1.67,32.5,10'3,,,
David Bailey,Texas Tech,6035,251,1028,3368,7968,4.5,1.62,35,10'9,,,
Rueben Bain,Miami,6022,263,918,3078,7738,,,,,,,
Cameron Ball,Arkansas,6035,310,948,3300,,5.13,1.79,32,9'1,,4.76,
Caleb Banks,Florida ,6062,327,1078,3500,8568,5.04,1.76,32,9'6,,,
Jaishawn Barham,Michigan ,6034,240,1028,3418,,4.64,1.61,33,10'3,,,
Nick Barrett,South Carolina,6027,312,1000,3338,,5.11,1.71,31.5,9'0,,4.91,
Rayshaun Benny,Michigan,6030,298,928,3338,,,,,,,,
DeMonte Capehart,Clemson,6047,313,1028,3378,,4.85,1.71,33.5,8'11,,,
Brandon Cleveland,NC State ,6030,307,928,3238,,5.12,1.78,,,,,
Dontae Corleonne,Cincinnati ,6005,340,948,3178,,,,,,,,
Keyron Crawford,Auburn,6040,253,900,3200,,,,,,,,
Caden Curry,Ohio State,6030,257,938,3018,,,,,,,,
Dani Dennis-Sutton ,Penn State,6060,256,1018,3348,,4.63,1.63,39.5,10'11,6.9,,
Zane Durant,Penn State,6018,290,1058,3178,,4.75,1.66,33.5,9'4,,,
Bryson Eason,Tennessee ,6021,323,1000,3318,,5.09,1.8,30.5,9'4,,5,
Deven Eastern,Minnesota ,6050,315,1000,3400,,,,27.5,9'4,,,
Logan Fano,Utah,6050,257,938,3138,,,,,,,,
Keldric Faulk,Auburn,6057,276,978,3438,8228,,,35,9'9,,,
Skyler Gill- Howard,Texas Tech,6010,280,928,3068,,,,,,,,27
George Gumbs Jr,Florida,6040,245,900,3358,,4.66,1.67,41,10'1,7,,
David Gusta,Kentucky ,6023,308,1000,3118,,4.88,1.68,32,,,,37
Gracen Halton,Oklahoma,6025,293,1000,3118,7768,4.82,1.7,36.5,9'6,,4.79,
Zxavien Harris,Mississippi ,6080,330,1000,3458,,,,,,,,
Romello Height,Texas Tech,6030,239,948,3228,,4.64,1.63,39,10'5,,,
Cashius Howell,Texas A&M,6024,253,928,3028,7428,4.59,1.58,32.5,9'7,,,
Aidan Hubbard,Northwestern,6045,260,918,3200,,,,,,,,21
Lee Hunter,Texas Tech,6034,318,928,3328,8068,5.18,1.79,21.5,8'4,,,
Quintayvious Hutchins,Boston College,6030,233,948,3258,,4.74,1.73,37,,,,
Gabe Jacas,Illinois ,6040,260,1000,3300,,,,,,,,30
Darrell Jackson Jr,Florida State,6055,315,1100,3468,8600,,,,,,,
Bobby Jamison-Travis ,Auburn,6030,328,958,3428,,,,,,,,
Marvin Jones Jr,Oklahoma,6050,245,928,3318,,4.69,1.65,,,,,
Joshua Josephs,Tennessee ,6030,242,1000,3428,,,,,,,,
Tim Keenan III,Alabama,6010,327,858,3048,,5.31,1.83,30,8'4,,,21
Nyjalik Kelly,UCF,6050,256,1038,3518,,4.88,1.69,37,,,,
Malachi Lawrence,UCF,6040,253,928,3358,,4.52,1.59,40,10'10,,,
Max Llewellyn,Iowa,6060,258,900,3228,,4.81,1.64,32.5,9'7,,,
Anthony Lucas,USC,6054,256,1028,3348,,,,,,,,
Jackie Marshall,Baylor,6024,293,948,3200,,4.8,1.69,,,,4.68,
Chris McClellan,Missouri ,6040,313,1100,3400,,5.05,1.8,29.5,9'9,,,25
Kayden McDonald ,Ohio State,6021,326,968,3228,7818,,,,,,,
Akheem Mesidor,Miami,6030,259,1000,3218,7858,,,,,,,
Christen Miller,Georgia ,6036,321,1000,3300,8018,,,,,,,
Derrick Moore ,Michigan ,6040,255,918,3338,,,,,,,,
Trey Moore ,Texas,6020,243,1048,3158,,4.54,1.6,38.5,10'0,,4.43,
Tyler Onyedim,Texas A&M,6034,292,1018,3418,,,,32,9'3,,,
Domonique Orange,Iowa State,6020,322,1028,3338,,,,,,,,
LT Overton,Alabama,6030,274,1058,3328,,4.87,1.7,,,,,
TJ Parker,Clemson,6034,263,948,3318,7900,4.68,1.61,34,10'0,,,
Patrick Payton,LSU,6050,260,1000,3348,,,,,,,,
Kaleb Proctor,Southeastern Louisiana ,6020,291,948,3300,,4.79,1.68,33,9'5,,4.71,
Jack Pyburn,LSU,6040,258,1000,3078,,,,,,,,
Albert Regis,Texas A&M,6010,295,958,3158,,4.88,1.72,34,9'8 ,,4.85,
Mason Reiger,Wisconsin,6050,251,1038,3258,,4.78,1.61,40,10'5,,,
Tyreak Sapp,Florida,6020,273,948,3200,,,,,,,,28
Gary Smith III,UCLA,6010,319,968,3248,,,,28,,,,
R Mason Thomas,Oklahoma,6022,241,878,3158,7818,4.67,1.63,,,,,
Nadame Tucker ,Western Michigan,6020,247,900,3138,,4.73,1.63,33.5,9'11,,,
Damonic Williams,Oklahoma,6020,305,1000,3318,,,,,,,,30
Wesley Williams ,Duke,6040,256,948,3178,,4.89,1.68,35.5,10'0,,,
Peter Woods ,Clemson,6024,298,918,3128,7668,,,,,,,
Zion Young,Missouri ,6060,262,948,3300,,,,,,,,
