NAME:,SCHOOL:,HEIGHT,WEIGHT,Hand Size ,Arm Length,Wingspan,40 Yard Dash,10 Yard Splits,Vertical,Broad,3 Cone,Shuttle,Bench
CJ Allen,Georgia,6006,230,1018,3148,7548,,,,,,,
Lander Burton,Utah ,6050,233,948,3228,,,,,,,,
Wesley Bissainthe,Miami,6020,225,968,3178,,,,,,,,
Bryce Boettcher,Oregon,6010,233,900,3068,,,,,,,,
Kendal Daniels,Oklahoma,6050,242,948,3248,,,,,,,,
Kaleb Elarms-Orr,TCU,6020,234,900,3148,,4.47,1.59,40,10'4,,4.41,
Keyshaun Elliott,Arizona State,6020,231,928,3128,,,,38,10'5,,,21
Aiden Fisher,Indiana,6010,232,948,3118,,,,,,,,
Eric Gentry ,USC,6070,221,1048,3500,8628,,,,,,,
Jake Golday,Cincinnati ,6044,239,948,3178,7678,4.62,1.6,39,,7.02,4.34,
Owen Heinecke,Oklahoma,6014,228,968,3018,,4.62,1.62,34.5,9'11,7.15,,
Anthony Hill Jr,Texas ,6020,238,958,3238,7900,4.51,1.58,37,10'5,,,21
Justin Jefferson ,Alabama,6000,223,1000,3168,,4.57,1.6,38.5,10'5,,,
Jack Kelly,BYU,6020,240,918,3118,,4.57,1.61,37,10'5,7.12,4.19,
Deontae Lawson,Alabama,6030,226,928,3178,,,,,,,,
Kyle Louis,Pittsburgh ,6000,220,948,3128,,4.53,1.58,39.5,10'9,6.97,4.26,
Red Murdock,Buffalo,6020,232,1038,3100,,,,,,,,
Namdi Obiazor,TCU,6030,229,1048,3068,,4.53,1.56,37,9'11,7.24,4.36,
Harold Perkins Jr,LSU,6010,223,818,3138,,,,,,,,
Arvell Reese,Ohio State,6041,241,948,3248,7948,4.46,1.58,,,,,
Jacob Rodriguez ,Texas Tech,6013,231,928,3078,,4.57,1.6,38.5,10'1,6.9,4.19,
Jimmy Rolder,Michigan,6024,238,968,3048,,,,36,9'11,7,4.26,
Karson Sharar,Iowa,6015,231,1018,3118,,4.56,1.59,40,10'3,,,
Xavien Sorey Jr,Arkansas ,6020,228,968,3158,,4.63,1.66,37.5,10'0,7,4.42,
Sonny Styles ,Ohio State ,6050,244,1000,3278,8078,4.46,1.56,43.5,11'2,7.09,4.26,
Josiah Trotter,Missouri ,6020,237,1028,3228,,,,,,,,27
Scooby Williams,Texas A&M,6020,231,928,3200,,,,,,,,
Wade Woodaz,Clemson,6030,236,1000,3258,,,,,,,,
Taurean York,Texas A&M,5110,226,848,3000,,,,,,7.32,4.48,25
