NAME:,SCHOOL:,HEIGHT,WEIGHT,Hand Size ,Arm Length,Wingspan,40 Yard Dash,10 Yard Split,Vertical,Broad,3 Cone,Shuttle,Bench
Chris Adams,Memphis,6050,311,1038,3358,,,,,,,,
Austin Barber,Florida,6070,318,958,3318,,5.12,1.77,32,903,,,
Evan Beerntsen,Northwestern,6034,301,938,3218,,5.25,1.82,32.5,809,,,
Markel Bell,Miami,6092,346,900,3638,8718,5.36,1.84,,,,,
Chase Bisontis,Texas A&M,6052,315,968,3368,7818,5.02,1.76,32,809,7.53,4.78,29
Jude Bowry,Boston College,6050,314,1068,3368,,5.08,1.75,34.5,907,,,
Parker Brailsford,Alabama ,6020,289,948,3200,,4.95,1.7,32.5,908,,4.72,27
Joshua Braun,Kentucky,6060,325,1048,3458,,,,,805,7.62,,22
Travis Burke ,Memphis,6086,325,1018,3428,8318,5.17,1.8,,811,,,
Jager Burton,Kentucky,6040,312,1018,3248,,4.94,1.76,,902,,,
DJ Campbell,Texas,6030,313,1028,3428,,5.01,1.76,,808,,,
Fernando Carmona,Arkansas,6050,316,948,3218,,5.22,1.85,,807,7.5,4.75,26
Kage Casey,Boise State,6060,310,1028,3268,,5.2,1.85,,,8.01,,
Pat Coogan,Indiana,6050,311,928,3118,,,,,,,,
Anez Cooper,Miami,6060,334,1000,3400,,,,,,,,
Dametrious Crownover,Texas A&M ,6070,319,1000,3538,,5.14,1.79,,,,,
Enrique Cruz Jr,Kansas,6054,313,1028,3368,,4.94,1.74,35,908,,,
JC Davis,Illinois,6040,322,1018,3428,,5.16,1.78,30.5,803,,,
Garrett DiGiorgio,UCLA,6070,319,1018,3258,,5.36,1.86,29.5,810,,,24
Gennings Dunker,Iowa,6050,319,1000,3348,8218,5.18,1.83,,900,,4.63,
Fa'alili Fa'amoe,Wake Forest,6050,311,1058,3378,,,,,,,,
Spencer Fano,Utah,6054,311,900,3218,8028,4.91,1.72,32,903,7.34,4.67,
Jalen Farmer,Kentucky ,6050,312,928,3428,,4.93,1.75,,900,,,
Monroe Freeling,Georgia,6073,315,1068,3468,8448,4.93,1.71,33.5,,,,
Matt Gulbin,Michigan State,6040,305,948,3168,,,,,,,,
Alex Harkey,Oregon,6060,308,1018,3168,,,,,,,,
Sam Hecht,Kansas State,6040,303,978,3158,,5.1,1.73,,805,7.75,4.71,
Alan Herron,Maryland,6050,308,918,3318,,5.09,1.84,32,,8.2,5.09,
Max Iheanachor,Arizona State,6057,321,900,3378,8328,4.91,1.73,30.5,907,,,25
Olaivavega Ioane,Penn State,6042,320,1048,3268,8058,,,31.5,808,,,
Logan Jones,Iowa,6030,299,948,3068,,4.9,1.75,31,902,7.46,4.59,
Connor Lew,Auburn,6034,310,900,3238,,,,,,,,31
Caleb Lomu,Utah,6062,313,948,3338,8268,4.99,1.74,32.5,905,,,
Francis Mauigoa,Miami,6054,329,1058,3328,8068,,,,,,,
Blake Miller,Clemson,6066,317,968,3428,8378,5.04,1.75,32,905,,,32
Micah Morris ,Georgia,6050,334,1038,3358,,5.09,1.73,,904,,,29
Febechi Nwaiwu,Oklahoma,6040,319,958,3428,,,,24.5,,7.8,4.73,
Brian Parker II,Duke ,6050,309,1000,3278,,5.14,1.78,,,7.66,4.8,29
Diego Pounds,Mississippi ,6060,325,968,3368,,5.15,1.77,30,904,7.9,,
Emmanuel Pregnon,Oregon,6042,314,1100,3358,8278,5.21,1.82,35,903,,,
Kadyn Proctor,Alabama,6065,352,968,3338,8158,5.22,1.84,32.5,901,,,25
Armaj Reed-Adams,Texas A&M ,6060,314,1000,3438,,5.28,1.85,,,7.88,,
Jaeden Roberts,Alabama ,6050,333,1028,3338,,,,,,,,25
Keylan Rutledge ,Georgia Tech,6040,316,1000,3328,,5.05,1.81,32.5,808,7.54,,
Billy Schrauth,Notre Dame,6050,310,1028,3278,,,,,,,,
Drew Shelton,Penn State,6050,313,958,3338,,5.18,1.78,31,904,,,
Jake Slaughter,Florida ,6050,303,1000,3238,,5.1,1.74,32.5,902,,,
Beau Stephens,Iowa,6054,315,928,3118,,5.35,1.82,28,806,,,
Logan Taylor,Boston College,6070,314,1048,3378,,5.18,1.82,,900,7.75,4.84,
Caleb Tiernan,Northwestern,6080,323,900,3228,,,,35.5,903,,,
Keagen Trost,Missouri ,6050,311,928,3238,,,,31,,,,
Dillon Wade,Auburn,6030,316,1000,3178,,5.02,1.75,28.5,808,,,
Aamil Wagner,Notre Dame,6060,306,1028,3448,,5.01,1.79,29.5,900,,,21
Carver Willis,Washington,6050,303,948,3248,,5.11,1.84,26.5,,,,
Jeremiah Wright,Auburn,6050,331,1000,3318,,,,,,,,
Trey Zuhn III,Texas A&M,6064,312,1000,3248,,,,,,,,33
