NAME:,SCHOOL:,HEIGHT,WEIGHT,Hand Size ,Arm Length,Wingspan,40 Yard Dash,10 Yard Split,Vertical,Broad,3 Cone,Shuttle,Bench
Joey Aguilar,Tennessee,6030,229,958,3138,,,,,,,,
Drew Allar,Penn State,6050,228,978,3268,,,,,,,,
Luke Altmyer,Illinois,6020,210,900,2978,,4.72,1.66,32,906,,,
Carson Beck,Miami,6050,233,1000,3058,,,,,,,,
Jalon Daniels,Kansas,6010,219,958,3038,,4.65,1.63,,,,,
Joe Fagnano,UConn,6030,226,928,3138,,4.83,1.67,35,910,,4.35,
Taylen Green,Arkansas,6060,227,978,3468,,4.36,1.55,43.5,1102,,,
Haynes King,Georgia Tech,6020,212,900,3178,,4.46,1.56,33.5,908,6.89,4.17,
Cade Klubnik,Clemson,6020,207,928,3118,,,,,,,,
Fernando Mendoza,Indiana,6046,236,948,3178,7668,,,,,,,
Behren Morton,Texas Tech,6020,221,948,3058,,,,,,,,
Garrett Nussmeier,LSU,6020,203,918,3038,,,,,,,,
Diego Pavia,Vanderbilt,5100,207,958,2858,,,,,,,,
Cole Payton,North Dakota State,6030,232,1028,3158,,4.56,,,,7.12,4.36,
Sawyer Robertson ,Baylor,6040,216,938,3218,,4.64,,,,7.45,4.46,
Ty Simpson,Alabama,6011,211,938,3078,7648,,,,,,,
