NAME:,SCHOOL:,HEIGHT,WEIGHT,Hand Size ,Arm Length,Wingspan,40 Yard Dash,10 Yard Split,Vertical,Broad,3 Cone,Shuttle,Bench
Kaytron Allen,Penn State,5110,216,948,2948,,,,,,,,
Max Bredeson,Michigan,6020,252,1000,3018,,,,,,,,
Demond Claiborne,Wake Forest,5100,188,900,3018,,4.37,1.59,,1002,,,
Jonah Coleman,Washington,5080,220,918,2878,,,,,,,,22
CJ Donaldson,Ohio State,6020,230,948,3168,,,,,,,,
Rahsul Faison,South Carolina,5110,208,900,3078,,,,37.5,1002,,,
Eli Heidenreich,Navy,6000,198,948,2928,,4.44,1.55,35.5,1000,,,16
Roman Hemby,Indiana,6000,207,948,3100,,,,,,,,
Robert Henry Jr.,UTSA,5090,196,918,3018,,4.52,1.62,37,1004,,4.31,
Emmett Johnson,Nebraska,5100,202,968,3028,,4.56,1.59,,1000,7.32,4.29,16
Jeremiyah Love,Notre Dame,6000,212,918,3200,,4.36,1.55,,,,,
Seth McGowan,Kentucky,6000,223,868,3138,,4.49,1.6,42.5,1011,,4.5,
Jam Miller,Alabama,5100,209,868,3038,,4.42,1.53,30.5,907,,,
Le'veon Moss,Texas A&M,5110,203,948,3100,,,,,,,,
Jadarian Price,Notre Dame,5110,203,958,3078,,4.49,1.61,35,1004,,,21
Adam Randall,Clemson,6030,232,968,3238,,4.5,1.6,37,1004,,4.53,26
Desmond Reid,Pittsburgh,5060,174,828,2818,,,,,,,,
Nicholas Singleton,Penn State,6000,219,938,3100,,,,,,,,
J'Mari Taylor,Virginia,5100,199,900,3000,,,,34.5,907,,,20
Mike Washington Jr,Arkansas,6010,223,948,3358,,4.33,1.51,39,1008,,,
Noah Whittington,Oregon,5080,205,828,2918,,,,,,,,24
