NAME:,SCHOOL:,HEIGHT,WEIGHT,Hand Size ,Arm Length,Wingspan,40 Yard Dash,10 Yard Split,Vertical,Broad,3 Cone,Shuttle,Bench
Dallen Bentley,Utah,6040,253,928,3318,,4.62,1.62,35,910,,4.42,
Nate Boerkircher,Texas A&M,6044,245,1048,3258,,,,,,,4.4,
Josh Cuevas,Alabama,6030,245,958,3058,,4.65,1.65,34,910,7.37,4.38,
Oscar Delp,Georgia,6050,245,948,3158,,,,,,,,
Khalil Dinkins,Penn State,6042,251,948,3158,,4.72,1.7,32.5,911,7.28,4.33,
Jack Endries,Texas,6045,245,958,3118,,4.62,1.59,36,911,,,
John Michael Gyllenborg,Wyoming ,6056,249,1000,3100,,4.6,1.6,35.5,1008,,4.22,
Matthew Hibner,SMU,6040,251,938,3238,,4.57,1.61,37,908,,,
Justin Joly,NC State,6035,241,1048,3228,,,,,,,,
Will Kacmarek,Ohio State,6055,261,968,3228,,4.74,1.7,36,911,,,
Jaren Kanak,Oklahoma ,6020,234,938,3048,,4.52,1.61,36,911,,,
Miles Kitselman,Tennessee,6050,251,978,3178,,4.9,1.71,34.5,908,,,
Max Klare,Ohio State ,6040,246,918,3218,7778,,,,,,,
Marlin Klein,Michigan ,6060,248,928,3238,,4.61,1.64,36,909,7.42,,
Tanner Koziol,Houston ,6064,247,968,3368,,4.7,1.63,36.5,1002,,,
RJ Maryland,SMU,6040,236,900,3228,,4.51,1.64,,1002,,,
Lake McRee,USC,6040,243,928,3148,,,,,,,,
Riley Nowakowski,Indiana,6020,250,868,3148,,4.66,1.7,33,912,,,
Eli Raridon,Notre Dame,6060,245,1068,3268,,4.62,1.6,36,1003,,,
DJ Rogers,TCU,6040,258,948,3358,,,,,,,,
Sam Roush,Stanford,6060,267,1000,3058,7638,4.7,1.61,38.5,1006,7.08,4.37,
Joe Royer,Cincinnati ,6050,247,1068,3148,,,,,,,,
Kenyon Sadiq,Oregon,6030,241,1000,3148,7828,4.39,1.54,43.5,1101,,,
Bauer Sharp,LSU,6050,249,968,3168,,4.63,1.68,35,1000,,,
Eli Stowers,Vanderbilt,6040,239,968,3258,7968,4.51,1.59,45.5,1103,,,
Michael Trigg,Baylor,6040,240,1048,3428,8438,,,,,,,
Dae'Quan Wright,Mississippi ,6040,246,928,3228,,,,,,,,
