NAME:,SCHOOL:,HEIGHT,WEIGHT,Hand Size ,Arm Length,Wingspan,40 Yard Dash,10 Yard Split,Vertical,Broad,3 Cone,Shuttle,Bench
Aaron Anderson,LSU,5080,191,928,2968,,,,30,,,,
Vinny Anthony II,Wisconsin,6000,183,918,3138,,4.54,1.59,34.5,,,4.07,15
Chris Bell,Louisville ,6017,222,1000,3168,7668,,,,,,,
Dillon Bell,Georgia,6001,209,948,3028,,4.5,1.58,39,1006,,,
Skyler Bell,UConn,5115,192,1000,3178,,4.4,1.53,41,1101,,,
Malik Benson,Oregon ,6000,189,858,3178,,4.37,1.54,32.5,1002,,,
Germie Bernard,Alabama,6012,206,978,3038,7418,4.48,1.52,32.5,1005,6.71,4.31,
Denzel Boston,Washington,6035,212,968,3200,7738,,,35,,,4.28,
Zachariah Branch,Georgia,5085,177,900,2938,7238,4.35,1.5,38,1005,,,20
Chris Brazzell II,Tennessee ,6040,198,900,3238,8018,4.37,1.52,,,,,
Barion Brown,LSU,5110,177,900,3148,,4.4,1.62,,,,,
Deion Burks,Oklahoma,5096,180,948,2938,7268,4.3,1.49,42.5,1011,,,26
Jeff Caldwell,Cincinnati ,6050,216,968,3258,,4.31,1.48,42,1102,,,
Josh Cameron,Baylor,6014,220,1028,3318,,,,,,,,
Kevin Coleman Jr,Missouri,5100,179,948,3000,,4.49,1.62,38.5,1006,,,
KC Concepcion,Texas A&M,5115,196,928,3028,7478,,,,,,,
Omar Cooper Jr,Indiana,6000,199,958,3028,7528,4.42,1.55,37,,,,
CJ Daniels,Miami,6020,202,928,3168,,,,,,,,
Caleb Douglas,Texas Tech,6034,206,1018,3248,,4.39,1.55,31.5,1006,,,
Malachi Fields,Notre Dame,6044,218,900,3218,7900,4.61,1.63,38,1004,6.98,4.35,
Emmanuel Henderson Jr,Kansas,6010,185,838,3100,,4.44,1.56,35,1000,,,
Chris Hilton Jr,LSU,6000,188,928,3200,,4.41,1.57,34.5,1002,7.25,4.41,
Jordan Hudson,SMU,6010,191,928,3118,,,,,,,,
Ted Hurst,Georgia State,6040,206,968,3258,,4.42,1.55,36.5,1103,,,
Caullin Lacy,Louisville,5090,183,978,2938,,4.55,1.59,33.5,908,,,
Bryce Lance,North Dakota State,6030,204,928,3218,,4.34,1.49,41.5,1101,7,4.15,
Ja'kobi Lane,USC,6040,200,1048,3258,,4.47,1.58,40,,,,
Kendrick Law,Kentucky,5110,203,958,3118,,4.45,1.56,42,1008,,,21
Makai Lemon,USC,5111,192,868,3048,7328,,,,,,,
Eric McAlister ,TCU,6040,194,968,3258,,,,,,,,
Donaven McCulley,Michigan,6044,203,1028,3258,,,,,,,,
Eric Rivers,Georgia Tech,5100,176,900,3048,,4.35,1.52,37,1007,,,
Chase Roberts,BYU,6030,209,968,3168,,4.64,1.6,37,1006,,,
Elijah Sarratt,Indiana ,6024,210,1000,3128,7568,,,,,,,
De'Zhaun Stribling,Mississippi,6021,207,1000,3158,,4.36,1.53,36,1007,,,
J. Michael Sturdivant,Florida,6030,207,948,3278,,4.4,1.54,39,1011,,,
Carnell Tate,Ohio State,6022,192,1028,3168,7800,4.53,1.61,,,,,
Zavion Thomas,LSU,5100,190,900,3048,,4.28,1.52,36,,,,
Brenen Thompson,Mississippi State ,5090,164,900,2938,,4.26,1.54,,,,,
Jordyn Tyson,Arizona State,6021,203,918,3028,7528,,,,,,,26
Reggie Virgil,Texas Tech,6030,187,928,3128,,4.57,1.58,36,,,,
Harrison Wallace III,Mississippi ,6000,192,838,3218,,4.54,1.58,,,,,
Jalen Walthall,Incarnate Ward,6010,191,900,3128,,4.57,1.6,35,1011,,,
Kaden Wetjen,Iowa,5090,193,848,2958,,4.47,1.58,35.5,,6.95,4.44,
Antonio Williams,Clemson,5114,187,928,3068,7600,4.41,1.55,39.5,1004,7,,10
Colbie Young,Georgia,6046,218,948,3178,,4.49,1.59,,,,,
