"Season","PlayerId","Player","Position","Team","Conference","Category","StatType","Stat"
"2020","107494","Trey Sanders","RB","Alabama","SEC","defensive","PD","0"
"2020","107494","Trey Sanders","RB","Alabama","SEC","defensive","QB HUR","0"
"2020","107494","Trey Sanders","RB","Alabama","SEC","defensive","SACKS","0"
"2020","107494","Trey Sanders","RB","Alabama","SEC","defensive","SOLO","1"
"2020","107494","Trey Sanders","RB","Alabama","SEC","defensive","TD","0"
"2020","107494","Trey Sanders","RB","Alabama","SEC","defensive","TFL","0"
"2020","107494","Trey Sanders","RB","Alabama","SEC","defensive","TOT","1"
"2020","479316","Jonathan Jones","DB","Campbell","Big South","defensive","PD","0"
"2020","479316","Jonathan Jones","DB","Campbell","Big South","defensive","QB HUR","0"
"2020","479316","Jonathan Jones","DB","Campbell","Big South","defensive","SACKS","0"
"2020","479316","Jonathan Jones","DB","Campbell","Big South","defensive","SOLO","20"
"2020","479316","Jonathan Jones","DB","Campbell","Big South","defensive","TD","0"
"2020","479316","Jonathan Jones","DB","Campbell","Big South","defensive","TFL","2"
"2020","479316","Jonathan Jones","DB","Campbell","Big South","defensive","TOT","29"
"2020","548077","Ryan Smith","LB","Duke","ACC","defensive","PD","0"
"2020","548077","Ryan Smith","LB","Duke","ACC","defensive","QB HUR","0"
"2020","548077","Ryan Smith","LB","Duke","ACC","defensive","SACKS","0"
"2020","548077","Ryan Smith","LB","Duke","ACC","defensive","SOLO","1"
"2020","548077","Ryan Smith","LB","Duke","ACC","defensive","TD","0"
"2020","548077","Ryan Smith","LB","Duke","ACC","defensive","TFL","0"
"2020","548077","Ryan Smith","LB","Duke","ACC","defensive","TOT","1"
"2020","3118460","Tony Fair","DL","UAB","Conference USA","defensive","PD","0"
"2020","3118460","Tony Fair","DL","UAB","Conference USA","defensive","QB HUR","1"
"2020","3118460","Tony Fair","DL","UAB","Conference USA","defensive","SACKS","0"
"2020","3118460","Tony Fair","DL","UAB","Conference USA","defensive","SOLO","9"
"2020","3118460","Tony Fair","DL","UAB","Conference USA","defensive","TD","0"
"2020","3118460","Tony Fair","DL","UAB","Conference USA","defensive","TFL","2"
"2020","3118460","Tony Fair","DL","UAB","Conference USA","defensive","TOT","20"
"2020","3121655","Justus Reed","DL","Virginia Tech","ACC","defensive","PD","0"
"2020","3121655","Justus Reed","DL","Virginia Tech","ACC","defensive","QB HUR","7"
"2020","3121655","Justus Reed","DL","Virginia Tech","ACC","defensive","SACKS","6.5"
"2020","3121655","Justus Reed","DL","Virginia Tech","ACC","defensive","SOLO","17"
"2020","3121655","Justus Reed","DL","Virginia Tech","ACC","defensive","TD","0"
"2020","3121655","Justus Reed","DL","Virginia Tech","ACC","defensive","TFL","9.0"
"2020","3121655","Justus Reed","DL","Virginia Tech","ACC","defensive","TOT","29"
"2020","3138827","Kavika Fonua","LB","BYU","FBS Independents","defensive","PD","3"
"2020","3138827","Kavika Fonua","LB","BYU","FBS Independents","defensive","QB HUR","0"
"2020","3138827","Kavika Fonua","LB","BYU","FBS Independents","defensive","SACKS","0"
"2020","3138827","Kavika Fonua","LB","BYU","FBS Independents","defensive","SOLO","11"
"2020","3138827","Kavika Fonua","LB","BYU","FBS Independents","defensive","TD","0"
"2020","3138827","Kavika Fonua","LB","BYU","FBS Independents","defensive","TFL","2"
"2020","3138827","Kavika Fonua","LB","BYU","FBS Independents","defensive","TOT","28"
"2020","3138841","Bracken El-Bakri","DL","BYU","FBS Independents","defensive","PD","0"
"2020","3138841","Bracken El-Bakri","DL","BYU","FBS Independents","defensive","QB HUR","3"
"2020","3138841","Bracken El-Bakri","DL","BYU","FBS Independents","defensive","SACKS","2.5"
"2020","3138841","Bracken El-Bakri","DL","BYU","FBS Independents","defensive","SOLO","18"
"2020","3138841","Bracken El-Bakri","DL","BYU","FBS Independents","defensive","TD","0"
"2020","3138841","Bracken El-Bakri","DL","BYU","FBS Independents","defensive","TFL","4.5"
"2020","3138841","Bracken El-Bakri","DL","BYU","FBS Independents","defensive","TOT","49"
"2020","3672814","Jared Kapisi","DB","BYU","FBS Independents","defensive","PD","2"
"2020","3672814","Jared Kapisi","DB","BYU","FBS Independents","defensive","QB HUR","1"
"2020","3672814","Jared Kapisi","DB","BYU","FBS Independents","defensive","SACKS","2"
"2020","3672814","Jared Kapisi","DB","BYU","FBS Independents","defensive","SOLO","1"
"2020","3672814","Jared Kapisi","DB","BYU","FBS Independents","defensive","TD","0"
"2020","3672814","Jared Kapisi","DB","BYU","FBS Independents","defensive","TFL","0"
"2020","3672814","Jared Kapisi","DB","BYU","FBS Independents","defensive","TOT","5"
"2020","3672865","Scott Patchan","DL","Colorado State","Mountain West","defensive","PD","0"
"2020","3672865","Scott Patchan","DL","Colorado State","Mountain West","defensive","QB HUR","3"
"2020","3672865","Scott Patchan","DL","Colorado State","Mountain West","defensive","SACKS","5.5"
"2020","3672865","Scott Patchan","DL","Colorado State","Mountain West","defensive","SOLO","10"
"2020","3672865","Scott Patchan","DL","Colorado State","Mountain West","defensive","TD","0"
"2020","3672865","Scott Patchan","DL","Colorado State","Mountain West","defensive","TFL","7.5"
"2020","3672865","Scott Patchan","DL","Colorado State","Mountain West","defensive","TOT","22"
"2020","3707332","Dahu Green","WR","Arkansas State","Sun Belt","defensive","PD","0"
"2020","3707332","Dahu Green","WR","Arkansas State","Sun Belt","defensive","QB HUR","0"
"2020","3707332","Dahu Green","WR","Arkansas State","Sun Belt","defensive","SACKS","0"
"2020","3707332","Dahu Green","WR","Arkansas State","Sun Belt","defensive","SOLO","8"
"2020","3707332","Dahu Green","WR","Arkansas State","Sun Belt","defensive","TD","0"
"2020","3707332","Dahu Green","WR","Arkansas State","Sun Belt","defensive","TFL","0"
"2020","3707332","Dahu Green","WR","Arkansas State","Sun Belt","defensive","TOT","8"
"2020","3722357","Sam Whitney","DE","Boise State","Mountain West","defensive","PD","1"
"2020","3722357","Sam Whitney","DE","Boise State","Mountain West","defensive","QB HUR","0"
"2020","3722357","Sam Whitney","DE","Boise State","Mountain West","defensive","SACKS","2"
"2020","3722357","Sam Whitney","DE","Boise State","Mountain West","defensive","SOLO","12"
"2020","3722357","Sam Whitney","DE","Boise State","Mountain West","defensive","TD","0"
"2020","3722357","Sam Whitney","DE","Boise State","Mountain West","defensive","TFL","2"
"2020","3722357","Sam Whitney","DE","Boise State","Mountain West","defensive","TOT","21"
"2020","3722370","Riley Whimpey","LB","Boise State","Mountain West","defensive","PD","2"
"2020","3722370","Riley Whimpey","LB","Boise State","Mountain West","defensive","QB HUR","0"
"2020","3722370","Riley Whimpey","LB","Boise State","Mountain West","defensive","SACKS","1"
"2020","3722370","Riley Whimpey","LB","Boise State","Mountain West","defensive","SOLO","33"
"2020","3722370","Riley Whimpey","LB","Boise State","Mountain West","defensive","TD","0"
"2020","3722370","Riley Whimpey","LB","Boise State","Mountain West","defensive","TFL","7.5"
"2020","3722370","Riley Whimpey","LB","Boise State","Mountain West","defensive","TOT","61"
"2020","3722376","Evan Tyler","S","Boise State","Mountain West","defensive","PD","1"
"2020","3722376","Evan Tyler","S","Boise State","Mountain West","defensive","QB HUR","0"
"2020","3722376","Evan Tyler","S","Boise State","Mountain West","defensive","SACKS","0"
"2020","3722376","Evan Tyler","S","Boise State","Mountain West","defensive","SOLO","8"
"2020","3722376","Evan Tyler","S","Boise State","Mountain West","defensive","TD","0"
"2020","3722376","Evan Tyler","S","Boise State","Mountain West","defensive","TFL","0"
"2020","3722376","Evan Tyler","S","Boise State","Mountain West","defensive","TOT","12"
"2020","3728271","Bryce Witham","TE","Minnesota","Big Ten","defensive","PD","0"
"2020","3728271","Bryce Witham","TE","Minnesota","Big Ten","defensive","QB HUR","0"
"2020","3728271","Bryce Witham","TE","Minnesota","Big Ten","defensive","SACKS","0"
"2020","3728271","Bryce Witham","TE","Minnesota","Big Ten","defensive","SOLO","2"
"2020","3728271","Bryce Witham","TE","Minnesota","Big Ten","defensive","TD","0"
"2020","3728271","Bryce Witham","TE","Minnesota","Big Ten","defensive","TFL","0"
"2020","3728271","Bryce Witham","TE","Minnesota","Big Ten","defensive","TOT","2"
"2020","3728284","Zo Craighton","DB","North Alabama","Big South","defensive","PD","0"
"2020","3728284","Zo Craighton","DB","North Alabama","Big South","defensive","QB HUR","0"
"2020","3728284","Zo Craighton","DB","North Alabama","Big South","defensive","SACKS","0"
"2020","3728284","Zo Craighton","DB","North Alabama","Big South","defensive","SOLO","9"
"2020","3728284","Zo Craighton","DB","North Alabama","Big South","defensive","TD","0"
"2020","3728284","Zo Craighton","DB","North Alabama","Big South","defensive","TFL","0"
