Player,Year,School,arm_length_inches
Mike Bennett,2015,Ohio State,
Angelo Blackson,2015,Auburn,33.75
Malcom Brown,2015,Texas,32.5
Xavier Cooper,2015,Washington State,31.5
Christian Covington,2015,Rice,33.25
Carl Davis,2015,Iowa,34.62
Tyeler Davison,2015,Fresno State,34.0
Eddie Goldman,2015,Florida State,33.12
Marcus Hardison,2015,Arizona State,33.5
Grady Jarrett,2015,Clemson,32.38
Derrick Lott,2015,Tenn-Chattanooga,33.62
Joey Mbu,2015,Houston,35.0
Ellis McCarthy,2015,UCLA,34.12
Rakeem Nunez-Roches,2015,Southern Miss,
Leon Orr,2015,Florida,34.12
David Parry,2015,Stanford,31.0
Jordan Phillips,2015,Oklahoma,34.75
Darius Philon,2015,Arkansas,32.38
Bobby Richardson,2015,Indiana,34.62
Danny Shelton,2015,Washington,32.0
Deon Simon,2015,NW State (LA),33.0
J.T. Surratt,2015,South Carolina,32.0
Louis Trinca-Pasat,2015,Iowa,
Leterrius Walton,2015,Central Michigan,32.25
Leonard Williams,2015,USC,34.62
Gabe Wright,2015,Auburn,32.62
Andrew Billings,2016,Baylor,33.0
Vernon Butler,2016,Louisiana Tech,35.12
Kenny Clark,2016,UCLA,32.12
Maliek Collins,2016,Nebraska,33.12
Sheldon Day,2016,Notre Dame,32.62
Adam Gotsis,2016,Georgia Tech,34.12
Javon Hargrave,2016,South Carolina State,32.0
Joel Heath,2016,Michigan State,34.5
Willie Henry,2016,Michigan,33.38
Matt Ioannidis,2016,Temple,
Quinton Jefferson,2016,Maryland,33.38
Austin Johnson,2016,Penn State,32.75
Chris Jones,2016,Mississippi State,
Darius Latham,2016,Indiana,34.75
Luther Maddy,2016,Virginia Tech,33.25
Robert Nkemdiche,2016,Mississippi,33.88
Sheldon Rankins,2016,Louisville,33.38
D.J. Reader,2016,Clemson,33.62
Jarran Reed,2016,Alabama,33.38
Hassan Ridgeway,2016,Texas,33.0
A'Shawn Robinson,2016,Alabama,34.5
Devaunte Sigler,2016,Jacksonville State,33.75
Lawrence Thomas,2016,Michigan State,33.25
Vincent Valentine,2016,Nebraska,33.12
Jihad Ward,2016,Illinois,33.88
Adolphus Washington,2016,Ohio State,34.5
Connor Wujciak,2016,Boston Col.,33.25
Anthony Zettel,2016,Penn State,31.12
Montravius Adams,2017,Auburn,32.75
Jonathan Allen,2017,Alabama,33.62
Caleb Brantley,2017,Florida,32.0
Chunky Clements,2017,Illinois,32.88
Davon Gaudchaux,2017,LSU,
Ryan Glasgow,2017,Michigan,33.38
Treyvon Hester,2017,Toledo,32.0
Jaleel Johnson,2017,Iowa,33.25
D.J. Jones,2017,Akron,32.5
Jarron Jones,2017,Notre Dame,35.5
Nazair Jones,2017,North Carolina,34.62
