Player,Year,School,arm_length_inches
Henry Anderson,2015,Stanford,33.5
Arik Armstead,2015,Oregon,33.0
Tavaris Barnes,2015,Clemson,33.12
Anthony Chickillo,2015,Miami (FL),33.5
Frank Clark,2015,Michigan,34.38
Corey Crawford,2015,Clemson,34.5
Ryan Delaire,2015,Towson,32.5
B.J. Dubose,2015,Louisville,33.0
Alvin Dupree,2015,Kentucky,
Trey Flowers,2015,Arkansas,34.25
Randy Gregory,2015,Nebraska,34.0
Obum Gwacham,2015,Oregon State,34.38
Danielle Hunter,2015,LSU,34.25
Martin Ifedi,2015,Memphis,33.88
Mario Edwards Jr.,2015,Florida State,
Owamagbe Odighizuwa,2015,UCLA,33.75
Nate Orchard,2015,Utah,33.75
Shane Ray,2015,Missouri,33.12
Cedric Reed,2015,Texas,33.38
Ryan Russell,2015,Purdue,33.38
Preston Smith,2015,Mississippi State,34.0
Za'Darius Smith,2015,Kentucky,32.62
Lynden Trail,2015,Norfolk State,34.88
Zack Wagenmann,2015,Montana,33.5
Mehdi Abdesmad,2016,Boston Col.,33.38
Sterling Bailey,2016,Georgia,33.38
Jimmy Bean,2016,Oklahoma State,33.5
Ronald Blair,2016,Appalachian State,34.0
Joey Bosa,2016,Ohio State,33.38
Deforest Buckner,2016,Oregon,34.38
Jonathan Bullard,2016,Florida,33.62
Shilique Calhoun,2016,Michigan State,34.25
Kamalei Correa,2016,Boise State,31.62
James Cowser,2016,Southern Utah,32.88
Kevin Dodd,2016,Clemson,34.0
Jason Fanaika,2016,Utah,32.62
Branden Jackson,2016,Texas Tech,33.38
Matt Judon,2016,Grand Valley State,33.88
Ufomba Kamalu,2016,Miami (FL),35.0
Bronson Kaufusi,2016,BYU,34.5
Shaq Lawson,2016,Clemson,32.75
Dean Lowry,2016,Northwestern,31.0
Alex McCalister,2016,Florida,36.0
Carl Nassib,2016,Penn State,34.5
Giorgio Newberry,2016,Florida State,34.0
Yannick Ngakoue,2016,Maryland,32.5
Dadi Nicolas,2016,Virginia Tech,34.75
Shawn Oakman,2016,Baylor,35.75
Victor Ochi,2016,Stony Brook,33.75
Emmanuel Ogbah,2016,Oklahoma State,35.5
Romeo Okwara,2016,Notre Dame,34.12
Drew Ott,2016,Iowa,32.25
D.J. Pettway,2016,Alabama,32.25
Noah Spence,2016,East. Kentucky,33.0
Charles Tapper,2016,Oklahoma,34.38
Ron Thompson,2016,Syracuse,32.25
Derek Barnett,2017,Tennessee,32.12
Tarell Basham,2017,Ohio,34.25
Fadol Brown,2017,Mississippi,35.0
Josh Carraway,2017,TCU,34.25
Taco Charlton,2017,Michigan,34.25
Keionta Davis,2017,Tenn-Chattanooga,34.12
Ken Ekanem,2017,Virginia Tech,32.0
Myles Garrett,2017,Texas A&M,35.25
Daeshon Hall,2017,Texas A&M,35.62
Charles Harris,2017,Missouri,32.38
Trey Hendrickson,2017,Florida Atlantic,32.0
Bryan Cox Jr.,2017,Florida,33.75
Deatrich Wise Jr.,2017,Arkansas,
Tanoh Kpassagnon,2017,Villanova,35.62
Carl Lawson,2017,Auburn,31.5
Joe Mathis,2017,Washington,
Avery Moss,2017,Youngstown State,34.5
Al-Quadin Muhammad,2017,Miami (FL),33.25
Noble Nwachukwu,2017,West Virginia,33.12
Ifeadi Odenigbo,2017,Northwestern,32.62
Larry Ogunjobi,2017,Charlotte,32.62
Derek Rivers,2017,Youngstown State,32.75
Isaac Rochell,2017,Notre Dame,32.75
Garrett Sickels,2017,Penn State,32.12
Dawuane Smoot,2017,Illinois,33.25
Solomon Thomas,2017,Stanford,33.0
DeMarcus Walker,2017,Florida State,33.0
Jordan Willis,2017,Kansas State,33.5
Kemoko Turay,2018,Rutgers,33.38
Ola Adeniyi,2018,Toledo,31.75
Dorance Armstrong,2018,Kansas,34.75
Ade Aruna,2018,Tulane,34.0
Davin Bellamy,2018,Georgia,33.25
Andrew Brown,2018,Virginia,34.5
Lorenzo Carter,2018,Georgia,34.0
Bradley Chubb,2018,North Carolina State,34.0
Marcus Davenport,2018,Texas-San Antonio,33.62
