Player,Year,School,arm_length_inches
Kwon Alexander,2015,LSU,30.25
Stephone Anthony,2015,Clemson,32.5
Neiron Ball,2015,Florida,33.62
Vic Beasley,2015,Clemson,32.5
Yannick Cudjoe-Virgil,2015,Maryland,
Aaron Davis,2015,Colorado State,31.0
Paul Dawson,2015,TCU,31.5
Trey DePriest,2015,Alabama,31.62
Xzavier Dickson,2015,Alabama,33.5
Kyle Emanuel,2015,North Dakota State,31.0
Dante Fowler,2015,Florida,33.75
Alani Fua,2015,BYU,32.0
Markus Golden,2015,Missouri,31.12
Geneo Grissom,2015,Oklahoma,33.38
Bryce Hager,2015,Baylor,31.38
Eli Harold,2015,Virginia,33.0
Ben Heeney,2015,Kansas,30.75
Amarlo Herrera,2015,Georgia,32.75
Jordan Hicks,2015,Texas,32.0
Zack Hodges,2015,Harvard,34.25
Mike Hull,2015,Penn State,30.5
Taiwan Jones,2015,Michigan State,29.5
Eric Kendricks,2015,UCLA,31.0
Hau'oli Kikaha,2015,Washington,32.5
Lorenzo Mauldin,2015,Louisville,33.0
Benardrick McKinney,2015,Mississippi State,33.0
Mark Nzeocha,2015,Wyoming,33.0
Denzel Perryman,2015,Miami (FL),31.88
Hayes Pullard,2015,USC,31.25
Edmond Robinson,2015,Newberry,34.0
Jake Ryan,2015,Michigan,31.0
Martrell Spaight,2015,Arkansas,32.75
J.R. Tavai,2015,USC,31.5
Shaq Thompson,2015,Washington,33.0
Davis Tull,2015,Tenn-Chattanooga,31.25
Max Valles,2015,Virginia,32.62
Tony Washington,2015,Oregon,35.5
Damien Wilson,2015,Minnesota,33.75
Ramik Wilson,2015,Georgia,33.0
Dominique Alexander,2016,Oklahoma,32.25
Devante Bond,2016,Oklahoma,32.38
Kentrell Brothers,2016,Missouri,30.75
Beniquez Brown,2016,Mississippi State,31.38
De'Vondre Campbell,2016,Minnesota,33.62
Su'A Cravens,2016,USC,32.12
Steven Daniels,2016,Boston Col.,32.62
Kyler Fackrell,2016,Utah State,33.25
Travis Feeney,2016,Washington,33.38
Leonard Floyd,2016,Georgia,33.12
Josh Forrest,2016,Kentucky,33.5
Kris Frost,2016,Auburn,32.5
B.J. Goodson,2016,Clemson,33.25
Scooby Wright III,2016,Arizona,30.5
Myles Jack,2016,UCLA,33.62
Jordan Jenkins,2016,Georgia,34.25
C.J. Johnson,2016,Mississippi,32.75
Deion Jones,2016,LSU,32.38
Raphael Kirby,2016,Miami (FL),31.0
Nick Kwiatkoski,2016,West Virginia,31.75
Darron Lee,2016,Ohio State,33.25
Cory Littleton,2016,Washington,33.38
Steve Longa,2016,Rutgers,32.0
Curt Maggitt,2016,Tennessee,33.0
Blake Martinez,2016,Stanford,31.62
Tyler Matakevich,2016,Temple,31.25
Cassanova McKinzy,2016,Auburn,31.25
Antonio Morrison,2016,Florida,
Jared Norris,2016,Utah,31.5
Montese Overton,2016,East Carolina,32.75
Gionni Paul,2016,Utah,31.0
Joshua Perry,2016,Ohio State,33.88
Reggie Ragland,2016,Alabama,32.0
Joe Schobert,2016,Wisconsin,31.5
Jaylon Smith,2016,Notre Dame,33.0
Terrance Smith,2016,Florida State,32.75
Eric Striker,2016,Oklahoma,31.25
Nick Vigil,2016,Utah State,32.38
Stephen Weatherly,2016,Vanderbilt,34.5
Ryan Anderson,2017,Alabama,31.5
Alex Anzalone,2017,Florida,32.12
Kendell Beckwith,2017,LSU,33.0
Vince Biegel,2017,Wisconsin,32.38
Ben Boulware,2017,Clemson,30.5
Tashawn Bower,2017,LSU,33.38
Tyus Bowser,2017,Houston,33.25
Blair Brown,2017,Ohio,31.25
Jayon Brown,2017,UCLA,31.38
Riley Bullough,2017,Michigan State,31.25
Zach Cunningham,2017,Vanderbilt,34.38
Jarrad Davis,2017,Florida,33.5
Kevin Davis,2017,Colorado State,32.38
Dylan Donahue,2017,West Georgia,30.25
Brooks Ellis,2017,Arkansas,31.75
Devonte Fields,2017,Louisville,32.38
Reuben Foster,2017,Alabama,32.38
Ben Gedeon,2017,Michigan,32.62
Connor Harris,2017,Lindenwood,30.12
Anthony Walker Jr.,2017,Northwestern,30.38
Keith Kelsey,2017,Louisville,31.38
Harvey Langi,2017,BYU,32.88
