Player,Year,School,arm_length_inches
Jamon Brown,2015,Louisville,34.38
Cameron Clear,2015,Texas A&M,33.62
T.J. Clemmings,2015,Pittsburgh,35.12
Takoby Cofield,2015,Duke,34.0
La'el Collins,2015,LSU,33.25
Rob Crisp,2015,Boise State,34.5
Andrew Donnal,2015,Iowa,33.5
Jake Fisher,2015,Oregon,33.75
Ereck Flowers,2015,Miami (FL),34.5
Laurence Gibson,2015,Virginia Tech,35.12
Chaz Green,2015,Florida,33.38
Rob Havenstein,2015,Wisconsin,33.75
Sean Hickey,2015,Syracuse,32.75
D.J. Humphries,2015,Florida,33.62
Darrian Miller,2015,Kentucky,33.0
Cedric Ogbuehi,2015,Texas A&M,35.88
Andrus Peat,2015,Stanford,34.38
Terry Poole,2015,San Diego State,33.25
Corey Robinson,2015,South Carolina,35.62
Ty Sambrailo,2015,Colorado State,33.0
Brandon Scherff,2015,Iowa,33.38
Austin Shepherd,2015,Alabama,32.88
Donovan Smith,2015,Penn State,34.38
Tyrus Thompson,2015,Oklahoma,34.88
Daryl Williams,2015,Oklahoma,35.0
Vadal Alexander,2016,LSU,35.25
Willie Beavers,2016,West. Michigan,33.5
Caleb Benenoch,2016,UCLA,34.12
Le'Raven Clark,2016,Texas Tech,36.12
Shon Coleman,2016,Auburn,35.12
Jack Conklin,2016,Michigan State,35.0
Fahn Cooper,2016,Mississippi,34.75
Joe Dahl,2016,Washington State,33.12
Taylor Decker,2016,Ohio State,33.75
Spencer Drango,2016,Baylor,33.75
Parker Ehinger,2016,Cincinnati,33.0
Joe Haeg,2016,North Dakota State,33.75
Jerald Hawkins,2016,LSU,34.25
Germain Ifedi,2016,Texas A&M,36.0
Dominick Jackson,2016,Alabama,33.0
Tyler Johnstone,2016,Oregon,34.0
Denver Kirkland,2016,Arkansas,34.62
Alex Lewis,2016,Nebraska,
Tyler Marz,2016,Wisconsin,33.5
Kyle Murphy,2016,Stanford,33.5
Stephane Nembot,2016,Colorado,34.62
Rees Odhiambo,2016,Boise State,33.25
Dominique Robertson,2016,West Georgia,36.0
Brandon Shell,2016,South Carolina,34.75
Pearce Slater,2016,San Diego State,35.25
Jason Spriggs,2016,Indiana,34.12
Ronnie Stanley,2016,Notre Dame,35.62
John Theus,2016,Georgia,34.5
Joe Thuney,2016,North Carolina State,32.25
Cole Toner,2016,Harvard,33.12
Laremy Tunsil,2016,Mississippi,34.25
Halapoulivaati Vaitai,2016,TCU,34.25
Cody Whitehair,2016,Kansas State,32.38
Avery Young,2016,Auburn,33.75
Adam Bisnowaty,2017,Pittsburgh,33.88
Garrett Bolles,2017,Utah,
Daniel Brunskill,2017,San Diego State,33.88
Collin Buchanan,2017,Miami (OH),32.38
Julien Davenport,2017,Bucknell,36.5
J.J. Dielman,2017,Utah,32.25
Antonio Garcia,2017,Troy,33.38
Will Holden,2017,Vanderbilt,33.25
Roderick Johnson,2017,Florida State,36.0
Javarius Leamon,2017,South Carolina State,35.25
Conor McDermott,2017,UCLA,34.75
Taylor Moton,2017,West. Michigan,34.12
Ryan Ramczyk,2017,Wisconsin,33.75
Cam Robinson,2017,Alabama,35.5
Justin Senior,2017,Mississippi State,34.0
David Sharpe,2017,Florida,35.38
Dan Skipper,2017,Arkansas,33.38
Sam Tevi,2017,Utah,34.0
Jerry Ugokwe,2017,William & Mary,35.38
Chad Wheeler,2017,USC,33.12
David Bright,2018,Stanford,33.25
Orlando Brown,2018,Oklahoma,35.0
Alex Cappa,2018,Humboldt State,32.62
Geron Christian,2018,Louisville,35.0
Tyrell Crosby,2018,Oregon,35.25
Nick Gates,2018,Nebraska,32.0
Desmond Harrison,2018,West Georgia,34.0
Jamarco Jones,2018,Ohio State,35.12
Jaryd Jones-Smith,2018,Pittsburgh,36.25
Rick Leonard,2018,Florida State,32.25
Mike McGlinchey,2018,Notre Dame,34.0
Kolton Miller,2018,UCLA,34.12
Joseph Noteboom,2018,TCU,34.38
Brian O'neill,2018,Pittsburgh,34.12
Chukwuma Okorafor,2018,West. Michigan,34.5
Brandon Parker,2018,North Carolina A&T,35.0
Timon Parris,2018,Stony Brook,33.88
Will Richardson,2018,North Carolina State,35.25
Greg Senat,2018,Wagner,34.88
Rod Taylor,2018,Mississippi,34.25
Brett Toth,2018,Army,33.38
Toby Weathersby,2018,LSU,33.25
Connor Williams,2018,Texas,33.0
Paul Adams,2019,Missouri,33.5
Jackson Barton,2019,Utah,34.0
