Player,Year,School,arm_length_inches
Adrian Amos,2015,Penn State,32.25
Detrick Bonner,2015,Virginia Tech,31.25
Ibraheim Campbell,2015,Northwestern,30.38
Landon Collins,2015,Alabama,31.5
Kurtis Drummond,2015,Michigan State,32.25
Durell Eskridge,2015,Syracuse,32.38
Clayton Geathers,2015,Central Florida,31.62
Ladarius Gunter,2015,Miami (FL),31.5
Chris Hackett,2015,TCU,31.5
Anthony Harris,2015,Virginia,32.0
Gerod Holliman,2015,Louisville,32.0
Kyshoen Jarrett,2015,Virginia Tech,31.0
Anthony Jefferson,2015,UCLA,31.5
Dean Marlowe,2015,James Madison,31.0
Tevin McDonald,2015,East. Washington,29.75
Cody Prewitt,2015,Mississippi,32.62
Damarious Randall,2015,Arizona State,30.25
Jordan Richards,2015,Stanford,32.5
James Sample,2015,Louisville,32.0
Derron Smith,2015,Fresno State,29.75
Jaquiski Tartt,2015,Samford,32.38
Jermaine Whitehead,2015,Auburn,31.0
Vonn Bell,2016,Ohio State,32.38
Lamarcus Brutus,2016,Florida State,31.5
Deon Bush,2016,Miami (FL),30.88
Tevin Carter,2016,Utah,32.0
Jeremy Cash,2016,Duke,32.38
KJ Dillon,2016,West Virginia,31.62
Kavon Frazier,2016,Central Michigan,32.25
T.J. Green,2016,Clemson,32.0
Deandre Houston-Carson,2016,William & Mary,
Karl Joseph,2016,West Virginia,32.12
Jayron Kearse,2016,Clemson,34.25
Miles Killebrew,2016,Southern Utah,32.12
Derrick Kindred,2016,TCU,31.25
Jordan Lomax,2016,Iowa,32.0
Jordan Lucas,2016,Penn State,30.12
Jalen Mills,2016,LSU,31.12
Keanu Neal,2016,Florida,32.75
Tyvis Powell,2016,Ohio State,32.75
Elijah Shumate,2016,Notre Dame,31.12
Justin Simmons,2016,Boston Col.,32.62
A.J. Stamps,2016,Kentucky,31.38
Darian Thompson,2016,Boise State,30.38
Jamal Adams,2017,LSU,33.38
Budda Baker,2017,Washington,30.75
Jamal Carter,2017,Miami (FL),31.0
Chuck Clark,2017,Virginia Tech,32.25
Justin Evans,2017,Texas A&M,32.0
Johnathan Ford,2017,Auburn,
Nate Gerry,2017,Nebraska,31.25
Josh Harvey-Clemons,2017,Louisville,35.38
Delano Hill,2017,Michigan,32.12
Malik Hooker,2017,Ohio State,32.25
Eddie Jackson,2017,Alabama,32.25
Rayshawn Jenkins,2017,Miami (FL),
Jadar Johnson,2017,Clemson,32.0
John Johnson,2017,Troy,32.0
Josh Jones,2017,North Carolina State,32.0
Desmond King,2017,Iowa,31.12
Shalom Luani,2017,Washington State,32.0
Marcus Maye,2017,Florida,32.5
Obi Melifonwu,2017,Connecticut,32.5
Montae Nicholson,2017,Michigan State,33.38
Jabrill Peppers,2017,Michigan,30.75
Tedric Thompson,2017,Colorado,31.5
Damarius Travis,2017,Minnesota,31.75
Michael Tyson,2017,Cincinnati,31.75
Marcus Williams,2017,Utah,
Xavier Woods,2017,Louisiana Tech,30.38
Marcus Allen,2018,Penn State,30.62
Troy Apke,2018,Penn State,32.38
Jessie Bates,2018,Wake Forest,31.62
Quin Blanding,2018,Virginia,31.75
Sean Chandler,2018,Temple,30.75
Dane Cruikshank,2018,Arizona,31.0
Terrell Edmunds,2018,Virginia Tech,32.75
Deshon Elliott,2018,Texas,32.25
Tre Flowers,2018,Oklahoma State,33.88
Marcell Harris,2018,Florida,32.0
Ronnie Harrison,2018,Alabama,33.38
Godwin Igwebuike,2018,Northwestern,31.25
Natrell Jamerson,2018,Wisconsin,32.62
Derwin James,2018,Florida State,33.0
Joshua Kalu,2018,Nebraska,32.75
Kameron Kelly,2018,San Diego State,31.75
Siran Neal,2018,Jacksonville State,31.12
Max Redfield,2018,Indiana (PA),30.0
Justin Reid,2018,Stanford,31.62
Stephen Roberts,2018,Auburn,31.38
Dominick Sanders,2018,Georgia,30.62
Van Smith,2018,Clemson,30.12
Trey Walker,2018,Louisiana-Lafayette,33.5
Armani Watts,2018,Texas A&M,31.0
Damon Webb,2018,Ohio State,31.25
Kyzir White,2018,West Virginia,31.62
Jordan Whitehead,2018,Pittsburgh,29.75
Johnathan Abram,2019,Mississippi State,31.38
Nasir Adderley,2019,Delaware,31.0
Ugo Amadi,2019,Oregon,31.75
John Battle,2019,LSU,31.75
Mike Bell,2019,Fresno State,
Marquise Blair,2019,Utah,30.75
Jonathan Crawford,2019,Indiana,31.5
Lukas Denis,2019,Boston Col.,31.25
D'Cota Dixon,2019,Wisconsin,29.25
Mike Edwards,2019,Kentucky,31.62
Malik Gant,2019,Marshall,30.5
Chauncey Gardner-Johnson,2019,Florida,30.88
Saquan Hampton,2019,Rutgers,31.62
Will Harris,2019,Boston Col.,31.25
Amani Hooker,2019,Iowa,30.12
Jaquan Johnson,2019,Miami (FL),29.62
Mark McLaurin,2019,Mississippi State,31.62
Taylor Rapp,2019,Washington,30.75
Sheldrick Redwine,2019,Miami (FL),31.75
Darnell Savage,2019,Maryland,31.0
