Player,Year,School,arm_length_inches
Nelson Agholor,2015,USC,32.25
Mario Alford,2015,West Virginia,31.25
Dres Anderson,2015,Utah,31.62
Kenny Bell,2015,Nebraska,31.62
Da'Ron Brown,2015,Northern Illinois,32.0
Kaelin Clay,2015,Utah,30.88
Sammie Coates,2015,Auburn,33.38
Chris Conley,2015,Georgia,33.75
Amari Cooper,2015,Alabama,31.5
Jamison Crowder,2015,Duke,30.38
DaVaris Daniels,2015,Notre Dame,31.25
Devante Davis,2015,UNLV,32.38
Geremy Davis,2015,Connecticut,32.25
Titus Davis,2015,Central Michigan,29.62
Stefon Diggs,2015,Maryland,31.25
Phillip Dorsett,2015,Miami (FL),30.25
Devin Funchess,2015,Michigan,33.5
Antwan Goodley,2015,Baylor,30.75
Dorial Green-Beckham,2015,Oklahoma,
Rashad Greene,2015,Florida State,31.62
Rannell Hall,2015,Central Florida,30.5
Justin Hardy,2015,East Carolina,32.12
Josh Harper,2015,Fresno State,30.88
Christion Jones,2015,Alabama,30.0
Dez Lewis,2015,Central Arkansas,
Tony Lippett,2015,Michigan State,32.75
Tyler Lockett,2015,Kansas State,30.0
Deon Long,2015,Maryland,31.0
Donatella Luckett,2015,Harding,31.0
Vince Mayle,2015,Washington State,31.75
Tre McBride,2015,William & Mary,32.12
Ty Montgomery,2015,Stanford,31.0
Keith Mumphery,2015,Michigan State,31.12
J.J. Nelson,2015,Ala-Birmingham,31.12
DeVante Parker,2015,Louisville,33.25
Breshad Perriman,2015,Central Florida,32.0
Ezell Ruffin,2015,San Diego State,31.12
Ross Scheuerman,2015,Lafayette,30.0
DeAndre Smelter,2015,Georgia Tech,32.62
Devin Smith,2015,Ohio State,31.0
Jaelen Strong,2015,Arizona State,32.5
Darren Waller,2015,Georgia Tech,33.25
DeAndrew White,2015,Alabama,31.0
Kevin White,2015,West Virginia,32.62
Cam Worthy,2015,East Carolina,33.5
Bralon Addison,2016,Oregon,29.5
Geronimo Allison,2016,Illinois,32.88
Demarcus Ayers,2016,Houston,31.25
Tyler Boyd,2016,Pittsburgh,32.0
Chris Brown,2016,Notre Dame,
Aaron Burbridge,2016,Michigan State,31.62
Devon Cajuste,2016,Stanford,33.0
Leonte Carroo,2016,Rutgers,31.38
Corey Coleman,2016,Baylor,30.25
Pharoh Cooper,2016,South Carolina,32.25
Cody Core,2016,Mississippi,32.0
Trevor Davis,2016,California,31.0
Josh Doctson,2016,TCU,31.88
D.J. Foster,2016,Arizona State,30.5
Will Fuller,2016,Notre Dame,30.75
Keyarris Garrett,2016,Tulsa,34.5
Rashard Higgins,2016,Colorado State,32.25
Johnny Holton,2016,Cincinnati,32.88
Cayleb Jones,2016,Arizona,32.75
Kenny Lawler,2016,California,33.38
Roger Lewis,2016,Bowling Green,32.0
Kolby Listenbee,2016,TCU,31.38
Ricardo Louis,2016,Auburn,32.38
Byron Marshall,2016,Oregon,30.25
Jalin Marshall,2016,Ohio State,31.5
Mekale McKay,2016,Cincinnati,30.62
Braxton Miller,2016,Ohio State,31.75
Malcolm Mitchell,2016,Georgia,32.62
Chris Moore,2016,Cincinnati,33.38
Marquez North,2016,Tennessee,33.38
Jordan Payton,2016,UCLA,32.5
Charone Peake,2016,Clemson,34.0
Demarcus Robinson,2016,Florida,33.0
Alonzo Russell,2016,Toledo,33.88
Rashawn Scott,2016,Miami (FL),31.38
Hunter Sharp,2016,Utah State,31.62
Tajae Sharpe,2016,Massachusetts,32.25
Sterling Shepard,2016,Oklahoma,30.38
Nelson Spruce,2016,Colorado,30.0
Michael Thomas,2016,Ohio State,32.12
Laquon Treadwell,2016,Mississippi,33.38
Duke Williams,2016,Auburn,
De'Runnya Wilson,2016,Mississippi State,33.88
Rodney Adams,2017,South Florida,32.0
Quincy Adeboyejo,2017,Mississippi,31.75
Kendrick Bourne,2017,East. Washington,32.5
Noah Brown,2017,Ohio State,31.75
K.D. Cannon,2017,Baylor,30.75
Jehu Chesson,2017,Michigan,33.25
Stacy Coley,2017,Miami (FL),32.25
Amara Darboh,2017,Michigan,32.62
Corey Davis,2017,West. Michigan,33.0
Robert Davis,2017,Georgia State,33.0
Malachi Dupre,2017,LSU,31.5
Travin Dural,2017,LSU,32.12
Amba Etta-Tawo,2017,Syracuse,32.0
Isaiah Ford,2017,Virginia Tech,32.62
Shelton Gibson,2017,West Virginia,32.0
Chris Godwin,2017,Penn State,
Kenny Golladay,2017,Northern Illinois,32.0
Chad Hansen,2017,California,32.12
Keon Hatcher,2017,Arkansas,32.0
Carlos Henderson,2017,Louisiana Tech,31.38
Mack Hollins,2017,North Carolina,33.25
Bug Howard,2017,North Carolina,33.12
Zay Jones,2017,East Carolina,32.5
Victor Bolden Jr.,2017,Oregon State,31.12
Greg Ward Jr.,2017,Houston,31.12
Cooper Kupp,2017,East. Washington,31.5
Jerome Lane,2017,Akron,31.5
Keevan Lucas,2017,Tulsa,31.88
Josh Malone,2017,Tennessee,31.38
Gabe Marks,2017,Washington State,30.38
Isaiah McKenzie,2017,Georgia,28.88
Drew Morgan,2017,Arkansas,30.38
Speedy Noil,2017,Texas A&M,30.0
Zach Pascal,2017,Old Dominion,32.0
James Quick,2017,Louisville,30.75
Michael Rector,2017,Stanford,32.5
Josh Reynolds,2017,Texas A&M,31.5
Jalen Robinette,2017,Air Force,32.38
Darreus Rogers,2017,USC,32.0
Fred Ross,2017,Mississippi State,31.25
John Ross,2017,Washington,31.5
Travis Rudolph,2017,Florida State,31.88
Curtis Samuel,2017,Ohio State,31.25
Artavis Scott,2017,Clemson,31.38
Ricky Seals-Jones,2017,Texas A&M,33.12
JuJu Smith-Schuster,2017,USC,32.88
Jamari Staples,2017,Louisville,33.5
ArDarius Stewart,2017,Alabama,32.5
Ryan Switzer,2017,North Carolina,28.0
Taywan Taylor,2017,Western Kentucky,32.62
Trent Taylor,2017,Louisiana Tech,28.75
Noel Thomas,2017,Connecticut,30.0
Dede Westbrook,2017,Oklahoma,30.62
Kermit Whitfield,2017,Florida State,30.0
Mike Williams,2017,Clemson,
Jesus Wilson,2017,Florida State,
Dante Pettis,2018,Washington,32.25
Marcell Ateman,2018,Oklahoma State,32.88
Braxton Berrios,2018,Miami (FL),28.0
Equanimeous St. brown,2018,Notre Dame,33.0
Deontay Burnett,2018,USC,31.5
Deon Cain,2018,Clemson,33.0
Antonio Callaway,2018,Florida,31.5
Dylan Cantrell,2018,Texas Tech,31.38
D.J. Chark,2018,LSU,32.38
Simmie Cobbs,2018,Indiana,32.0
Keke Coutee,2018,Texas Tech,29.88
Robert Foster,2018,Alabama,32.12
Michael Gallup,2018,Colorado State,31.5
Davon Grayson,2018,East Carolina,31.38
Daesean Hamilton,2018,Penn State,31.0
Quadree Henderson,2018,Pittsburgh,29.5
Darren Carrington II,2018,Utah,32.75
Richie James,2018,Middle Tennessee State,31.25
Christian Kirk,2018,Texas A&M,30.38
Chris Lacy,2018,Oklahoma State,31.25
Jordan Lasley,2018,UCLA,32.75
Allen Lazard,2018,Iowa State,32.25
Tavares Martin,2018,Washington State,32.12
Ray-ray McCloud,2018,Clemson,30.25
Anthony Miller,2018,Memphis,31.62
Steven Mitchell,2018,USC,30.38
Jmon Moore,2018,Missouri,32.88
D.J. Moore,2018,Maryland,
Cam Phillips,2018,Virginia Tech,30.5
Byron Pringle,2018,Kansas State,32.0
Trey Quinn,2018,SMU,30.75
Calvin Ridley,2018,Alabama,31.62
Korey Robertson,2018,Southern Miss,32.88
Jaleel Scott,2018,New Mexico State,33.5
Trequan Smith,2018,Central Florida,33.38
Courtland Sutton,2018,SMU,32.38
Auden Tate,2018,Florida State,33.75
Marquez Valdes-Scantling,2018,South Florida,32.25
James Washington,2018,Oklahoma State,32.38
Jester Weah,2018,Pittsburgh,31.12
Karaun White,2018,West Virginia,32.25
Jake Wieneke,2018,South Dakota State,33.0
Cedrick Wilson,2018,Boise State,
Javon Wims,2018,Georgia,31.5
J.J. Arcega-Whiteside,2019,Stanford,33.25
Miles Boykin,2019,Notre Dame,33.5
Tyre Brady,2019,Marshall,33.62
A.J. Brown,2019,Mississippi,32.88
Marquise Brown,2019,Oklahoma,30.5
Emmanuel Butler,2019,Northern Arizona,33.0
Hakeem Butler,2019,Iowa State,35.25
Parris Campbell,2019,Ohio State,32.25
Jamal Custis,2019,Syracuse,33.88
Felton Davis,2019,Michigan State,32.75
Ryan Davis,2019,Auburn,30.88
Johnnie Dixon,2019,Ohio State,30.25
Greg Dortch,2019,Wake Forest,29.25
Keelan Doss,2019,UC Davis,31.75
Ashton Dulin,2019,Malone University (Ohio),33.38
Jovon Durante,2019,Florida Atlantic,31.12
Jazz Ferguson,2019,Northwestern St. (LA),34.25
Travis Fulgham,2019,Old Dominion,33.75
Terry Godwin,2019,Georgia,30.0
Emanuel Hall,2019,Missouri,33.25
Mecole Hardman,2019,Georgia,30.25
Kelvin Harmon,2019,North Carolina State,32.5
N'Keal Harry,2019,Arizona State,33.0
Lil'Jordan Humphrey,2019,Texas,32.75
Jalen Hurd,2019,Baylor,32.0
Andy Isabella,2019,Massachusetts,29.75
Gary Jennings,2019,West Virginia,32.5
Anthony Johnson,2019,Buffalo,33.0
Diontae Johnson,2019,Toledo,30.75
Keesean Johnson,2019,Fresno State,32.0
Bisi Johnson,2019,Colorado State,30.75
Damarkus Lodge,2019,Mississippi,33.12
Terry McLaurin,2019,Ohio State,31.5
D.K. Metcalf,2019,Mississippi,34.88
Jakobi Meyers,2019,North Carolina State,32.0
Dillon Mitchell,2019,Oregon,31.5
Stanley Morgan,2019,Nebraska,32.38
Nyqwan Murray,2019,Florida State,31.12
Hunter Renfrow,2019,Clemson,29.12
Riley Ridley,2019,Georgia,32.62
Deebo Samuel,2019,South Carolina,31.38
David Sills,2019,West Virginia,32.0
Darius Slayton,2019,Auburn,32.75
Jaylen Smith,2019,Louisville,33.88
Cody Thompson,2019,Toledo,31.0
Jamarius Way,2019,South Alabama,33.0
Alex Wesley,2019,Northern Colorado,31.25
Antoine Wesley,2019,Texas Tech,34.0
Brandon Aiyuk,2020,Arizona State,33.5
Omar Bayless,2020,Arkansas State,31.88
Lynn Bowden,2020,Kentucky,30.88
Tony Brown,2020,Colorado,31.5
Lawrence Cager,2020,Georgia,33.38
Marquez Callaway,2020,Tennessee,32.38
Quintez Cephus,2020,Wisconsin,32.12
Chase Claypool,2020,Notre Dame,32.5
Tyrie Cleveland,2020,Florida,32.88
Isaiah Coulter,2020,Rhode Island,31.75
Gabriel Davis,2020,UCF,32.25
Quartney Davis,2020,Texas A&M,31.38
Devin Duvernay,2020,Texas,30.62
Bryan Edwards,2020,South Carolina,32.25
Chris Finke,2020,Notre Dame,29.0
