player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jahsen Wint,42914,S,MARSHALL,11,4,5.2,0,0,214,65.4,64.3,83.2,53.8,62.7,63.7,18.2,2,0,65,68,3.1,2,5
Mason White,43872,CB,TCU,3,0,,0,0,305,63.3,64.7,77.0,,65.3,73.5,,0,0,24,24,0.0,0,0
Chaz Ah You,51989,LB,BYU,2,0,1.0,0,0,128,40.5,41.9,76.2,56.4,54.8,37.6,50.0,2,0,15,15,13.3,2,2
Sinjun Astani,52257,DI,USC,2,0,,0,0,326,,68.7,73.4,58.4,70.9,23.1,,0,0,7,8,0.0,0,0
Malik Vann,52555,ED,CINCINNATI,12,5,3.1,0,0,138,,73.6,82.8,65.8,75.7,72.9,7.7,1,0,133,136,4.5,6,7
Tyler Bentley,52790,DI,PITTSBURGH,12,8,1.7,0,0,268,60.0,55.3,59.7,53.0,57.1,80.8,0.0,0,1,214,218,3.3,7,11
Xavier Peters,52819,ED,FAU,6,0,3.8,0,0,165,61.1,59.0,80.9,58.1,57.9,78.4,0.0,0,0,41,41,9.8,4,4
Zaid Hamdan,52925,DI,TULSA,12,4,0.8,1,0,320,65.3,56.8,82.1,60.5,50.6,27.7,35.7,5,1,121,122,4.1,5,5
Cole Pearce,52970,LB,BALL ST,12,10,2.3,0,0,117,48.6,60.8,6.8,75.1,67.7,55.2,16.2,11,3,299,305,13.7,41,47
James Camden,53418,LB,CINCINNATI,3,1,7.0,0,0,138,,47.1,90.4,,46.7,77.4,0.0,0,0,11,11,9.1,1,2
DeShawn Pace,53549,S,CINCINNATI,11,11,9.6,0,1,138,71.4,70.5,60.2,67.5,67.8,78.5,12.1,7,1,273,274,6.6,18,40
Eric Phillips,53572,ED,CINCINNATI,12,1,2.1,0,1,138,57.3,63.5,39.8,67.0,61.3,53.3,13.3,2,2,182,184,4.4,8,12
Ryan Mullaney,53704,ED,CINCINNATI,6,1,0.0,0,0,138,60.0,70.6,73.7,57.0,70.6,75.0,0.0,0,0,20,21,5.0,1,1
Jaheim Thomas,54193,LB,ARKANSAS,12,28,4.1,0,0,111,52.4,69.0,49.3,81.6,71.7,62.3,12.7,10,2,263,267,10.3,27,41
Jordan Strachan,55198,ED,S CAROLINA,12,5,0.9,1,0,289,63.7,55.4,34.9,63.7,47.9,44.0,30.0,6,3,204,208,3.4,7,9
Zachary Ford,55353,S,TOLEDO,14,10,5.1,0,0,316,58.4,58.6,38.1,68.2,58.1,61.5,19.4,7,2,402,411,2.7,11,19
Korey Hernandez,55796,CB,E MICHIGAN,10,1,4.3,0,0,160,49.9,55.0,0.0,60.0,85.1,48.6,0.0,0,2,71,72,4.2,3,4
Deangelo Gibbs,55917,CB,S CAROLINA,1,0,,0,0,289,61.2,67.6,68.8,,60.0,,,0,0,2,2,0.0,0,0
Tavyn Jackson,56164,CB,COAST CAR,1,0,,0,0,141,,60.0,64.7,,60.0,,,0,0,1,1,0.0,0,0
Myles Jones,56220,CB,DUKE,4,0,6.0,0,0,154,89.5,87.2,80.7,,64.2,58.4,25.0,1,0,64,65,1.6,1,3
John Davis,56230,CB,N TEXAS,11,4,10.6,0,0,251,64.8,61.9,83.9,56.3,50.6,48.6,25.0,3,0,186,188,1.1,2,5
Taijh Alston,56348,ED,COLORADO,11,11,0.6,0,0,143,62.8,66.6,58.9,68.4,62.5,48.8,20.8,5,1,143,143,4.9,7,8
Demetrice Lofton,56355,ED,W GEORGIA,10,4,2.8,0,0,1177,60.0,79.6,0.0,90.2,70.6,69.1,0.0,0,5,126,131,3.2,4,6
Phil Paea,56717,DI,OKLAHOMA,2,0,,0,0,261,,30.4,0.0,,55.4,,,0,1,3,3,0.0,0,0
Marcus Buckley,56754,DI,NEW MEX ST,3,0,,0,0,242,,56.1,74.9,66.8,46.4,,,0,0,11,11,0.0,0,0
Popo Aumavae,56803,DI,OREGON,13,6,3.4,1,0,264,62.1,71.6,36.0,71.9,68.8,64.7,6.3,1,2,104,106,8.7,9,9
Jacob Lichtenstein,56912,DI,MIAMI FL,12,0,-0.3,0,0,220,61.0,68.6,30.7,66.7,66.8,29.6,40.0,2,1,57,58,5.3,3,3
Xavier Williams,57263,HB,KENT STATE,1,0,,0,0,201,,60.1,73.9,,60.0,,,0,0,1,1,0.0,0,0
JB Brown,57701,ED,UMASS,12,7,4.3,0,0,216,52.7,53.4,2.4,62.8,54.2,55.2,3.8,1,5,225,231,4.4,10,18
Bryson Jackson,57738,S,BAYLOR,12,2,5.9,0,0,118,43.0,49.4,89.9,63.3,52.2,33.5,19.2,5,0,176,180,5.7,10,19
Jerry Roberts,57759,LB,UMASS,10,17,3.2,0,0,216,61.0,54.4,85.0,63.3,50.1,35.5,22.0,11,0,261,266,6.1,16,22
Isaac Ukwu,57888,ED,OLE MISS,13,5,2.7,0,0,226,72.0,73.5,56.7,80.8,60.5,70.4,10.0,2,2,236,241,4.7,11,13
Malik Robinson,58044,LB,HOUSTON,12,25,3.1,0,0,182,33.4,42.4,57.0,66.2,49.3,69.4,14.3,10,2,347,356,6.1,21,35
Monty Montgomery,58203,LB,OLE MISS,9,3,4.0,0,0,226,29.3,35.8,5.7,59.0,50.8,29.1,38.9,7,1,81,82,6.2,5,8
Londyn Craft,60689,LB,E MICHIGAN,10,8,6.9,0,0,160,77.1,74.0,73.9,57.4,69.7,85.2,4.3,1,0,120,125,7.5,9,14
Hamze El-Zayat,61259,WR,E MICHIGAN,3,0,,0,0,160,,60.3,60.0,,60.0,,,0,0,3,3,0.0,0,0
Takulve Williams,61346,S,W KENTUCKY,9,5,7.0,0,0,346,60.2,54.2,87.0,52.2,47.1,62.8,17.2,5,1,185,187,4.3,8,19
Braden Smith,61460,WR,CINCINNATI,1,0,,0,0,138,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Jaiden Cameron,62277,ED,NWESTERN,2,0,3.0,0,0,256,,62.8,72.7,54.6,67.2,71.5,0.0,0,0,4,4,25.0,1,1
Diego Neri,62732,LB,BOWL GREEN,1,0,,0,0,122,,60.9,64.2,,60.0,,,0,0,1,1,0.0,0,0
Eddie Heckard,63024,CB,BYU,12,6,12.3,2,0,128,64.7,69.0,90.7,72.5,78.4,63.8,10.5,2,5,334,337,0.9,3,11
Jeremiah Harris,63043,S,JVILLE ST,13,5,6.0,0,0,196,76.4,79.6,88.8,59.6,82.4,71.0,5.9,2,2,328,338,4.3,14,27
Kam Butler,63872,ED,VIRGINIA,4,4,1.7,0,0,335,63.4,69.1,17.4,73.1,66.2,61.8,6.7,1,2,93,95,7.5,7,10
Will Whitson,64470,ED,COAST CAR,13,8,3.0,0,0,141,57.2,69.3,66.9,61.6,74.8,58.0,6.3,2,1,218,222,6.0,13,22
Devin Maddox,64506,WR,TOLEDO,1,0,,0,0,316,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Robi Stuart,65032,DI,C MICHIGAN,6,2,2.3,0,0,134,60.6,56.0,85.3,60.8,51.6,78.0,0.0,0,0,126,127,4.0,5,7
Josh Minkins,66051,S,LOUISVILLE,8,3,9.6,1,0,210,47.7,51.3,81.8,,58.9,65.5,15.0,3,1,96,96,4.2,4,14
Jeremiah Wood,66274,S,OHIO,9,6,2.9,2,0,259,61.8,70.7,26.4,85.8,82.3,78.3,12.5,2,2,117,118,5.1,6,8
Ty Hamilton,66298,DI,OHIO STATE,13,11,2.5,0,0,260,60.9,76.4,83.5,64.5,78.9,60.0,13.5,5,0,176,177,9.7,17,21
