player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Mason White,43872,S,OREGON ST,11,0,0,265,68.1,0,0,3,4.6,33.3,1,0,0.0,0,87,4,0,0,71.4,0,0,1,7.7,100.0,1,0.0,0,26,2,0
James Camden,53418,LB,W MICHIGAN,14,0,0,347,77.0,2,8,62,19.6,9.7,6,1,16.1,5,341,67,15,0,85.3,1,3,18,14.9,16.7,3,22.2,2,141,21,6
Malik Denkins,55516,ED,C MICHIGAN,8,0,0,134,56.0,0,0,26,100.0,3.8,1,0,0.0,0,27,27,0,0,54.8,0,0,8,100.0,0.0,0,0.0,0,8,8,0
Shaun Myers,62235,LB,COLORADO,10,0,0,143,52.4,0,3,28,25.6,3.6,1,1,5.4,0,129,33,3,0,52.1,0,0,6,15.4,0.0,0,0.0,0,52,8,0
Will Whitson,64470,ED,MISS STATE,2,0,0,227,74.8,0,4,25,100.0,20.0,5,0,16.0,2,28,28,6,0,66.1,0,2,8,100.0,25.0,2,12.5,0,9,9,2
Mister Williams,70521,LB,S DIEGO ST,13,0,0,284,72.1,2,5,33,11.2,18.2,6,0,10.6,0,304,34,7,0,81.6,2,3,16,12.6,31.3,5,15.6,0,127,16,5
Ben Florentine,70644,DI,WYOMING,12,1,0,351,69.2,5,12,255,98.9,8.2,21,0,4.9,4,270,267,21,1,70.9,3,4,73,100.0,12.3,9,7.5,2,77,77,9
Korey Foreman,70831,ED,FRESNO ST,13,1,1,169,69.4,4,10,182,91.4,14.3,26,2,6.0,4,209,191,18,0,67.1,1,8,77,94.4,18.2,14,11.0,4,89,84,13
Calvin Pitcher,70877,LB,UAB,12,0,0,321,52.3,0,2,18,17.8,0.0,0,0,11.1,1,107,19,3,0,52.9,0,1,9,21.4,0.0,0,16.7,1,42,9,2
Tate Romney,70946,LB,ARIZONA ST,10,0,0,110,53.4,0,0,5,13.2,0.0,0,1,0.0,0,53,7,0,0,55.4,0,0,2,17.6,0.0,0,0.0,0,17,3,0
Domani Jackson,71370,CB,ALABAMA,15,0,0,103,67.2,0,1,3,1.0,0.0,0,4,16.7,0,303,3,1,0,,0,0,0,0.0,,0,,0,123,0,0
Keanu Tanuvasa,71398,DI,BYU,14,1,0,128,61.9,2,16,286,100.0,5.9,17,3,3.8,2,302,302,20,0,60.0,1,5,78,100.0,6.4,5,5.1,1,84,84,7
Solomone Langi,72318,DI,S JOSE ST,11,0,0,285,66.4,2,0,68,98.6,2.9,2,0,4.4,2,73,72,4,0,66.0,1,0,10,92.3,10.0,1,5.0,0,13,12,1
Raider Damuni,72338,S,BYU,12,0,0,128,60.4,0,3,7,3.0,14.3,1,0,21.4,0,237,7,3,0,55.9,0,1,3,4.3,0.0,0,16.7,0,70,3,1
Justin Flowe,72388,LB,UNLV,8,0,0,325,56.5,0,2,11,21.1,0.0,0,1,9.1,0,57,12,2,0,55.0,0,1,4,26.7,0.0,0,12.5,0,15,4,1
Ian Shewell,72474,DI,ARIZONA ST,3,0,0,110,62.4,0,2,10,90.9,10.0,1,0,10.0,0,11,10,2,0,65.3,0,2,4,100.0,25.0,1,25.0,0,4,4,2
Jadon Pearson,72538,LB,FRESNO ST,13,0,0,169,46.5,2,7,59,14.4,1.7,1,1,7.6,0,418,60,9,0,49.0,1,2,20,13.4,5.0,1,7.5,0,149,20,3
Marco Notarainni,73389,LB,BOISE ST,14,0,0,120,62.0,10,23,116,30.4,8.6,10,1,16.8,3,411,125,36,0,62.5,3,6,37,31.0,5.4,2,14.9,1,129,40,10
Trent Whalen,73609,LB,ARKANSAS,6,0,0,111,64.6,1,2,3,13.6,33.3,1,0,50.0,0,22,3,3,0,63.1,0,1,0,0.0,,1,,0,9,0,1
Gio De Leon,73658,LB,BUFFALO,4,0,0,126,57.7,0,0,3,27.3,0.0,0,0,0.0,0,11,3,0,0,,0,0,0,0.0,,0,,0,3,0,0
Cory Hall,73699,DI,UNLV,2,0,0,325,58.0,0,1,6,100.0,0.0,0,0,8.3,0,7,7,1,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,0,0,340,68.8,0,2,15,16.7,20.0,3,0,13.3,1,96,16,3,0,60.5,0,1,5,21.4,20.0,1,10.0,0,28,6,1
Ryan Quintanar,74152,LB,USC,2,0,0,326,56.0,0,1,3,42.9,0.0,0,0,16.7,0,7,3,1,0,56.7,0,1,2,66.7,0.0,0,25.0,0,3,2,1
Justin Sinclair,74258,S,HAWAII,8,0,0,180,60.0,0,0,0,1.4,,0,2,,0,70,1,0,0,,0,0,0,0.0,,0,,0,18,0,0
Zion Branch,74395,S,GEORGIA,8,0,0,173,57.8,0,0,1,0.7,0.0,0,2,0.0,0,141,1,0,0,,0,0,0,0.0,,0,,0,49,0,0
Silas Walters,75263,S,MIAMI OH,12,1,1,221,63.9,0,5,16,3.7,12.5,2,3,15.6,0,431,16,5,0,58.3,0,2,2,1.2,0.0,0,50.0,0,173,2,2
Aneesh Vyas,75285,DI,WYOMING,9,0,0,351,50.5,1,1,131,100.0,2.3,3,0,0.8,0,139,139,2,0,52.0,0,1,38,100.0,5.3,2,1.3,0,40,40,1
Bam Booker,76122,ED,BOWL GREEN,12,1,0,122,53.8,0,7,173,100.0,3.5,6,1,2.0,0,187,187,7,0,59.1,0,4,39,100.0,7.7,3,5.1,0,44,44,4
Moroni Anae,81437,LB,UTAH,4,1,0,328,69.8,0,4,8,29.0,12.5,1,0,25.0,0,31,9,4,0,68.7,0,1,5,42.9,20.0,1,10.0,0,14,6,1
Brendon Harris,83446,S,MIDDLE TN,12,0,0,224,60.5,0,0,10,4.7,10.0,1,0,0.0,0,211,10,0,0,57.9,0,0,2,2.8,0.0,0,0.0,0,72,2,0
Jayden Dunlap,85725,CB,BYU,10,0,1,128,71.4,0,0,1,1.2,100.0,1,1,0.0,0,84,1,0,0,71.4,0,0,1,5.6,100.0,1,0.0,0,18,1,0
Gracen Halton,85774,DI,OKLAHOMA,13,1,0,261,76.9,3,22,240,98.9,10.4,25,1,7.3,5,262,259,30,0,72.9,1,8,90,100.0,14.4,13,8.3,3,98,98,12
Kalib Perry,86267,LB,LOUISVILLE,13,1,0,210,51.5,1,5,42,19.3,2.4,1,0,7.1,0,228,44,6,1,53.9,1,1,16,17.2,6.3,1,6.3,0,93,16,2
Blake Ruffin,86298,S,LOUISVILLE,5,0,0,210,58.9,0,0,2,4.9,0.0,0,0,0.0,0,41,2,0,0,59.7,0,0,1,7.7,0.0,0,0.0,0,13,1,0
Jalil Tucker,86578,CB,OREGON ST,11,0,1,265,63.7,1,0,5,2.2,0.0,0,5,10.0,0,276,6,1,0,65.7,1,0,1,1.0,0.0,0,50.0,0,100,1,1
